nice: cannot set niceness: Permission denied
Precompiling Pkg...
    983.1 ms  ✓ Logging
   1083.4 ms  ✓ nghttp2_jll
   1083.7 ms  ✓ Unicode
   1106.7 ms  ✓ UUIDs
   1175.2 ms  ✓ MozillaCACerts_jll
   1180.1 ms  ✓ Zlib_jll
   1231.1 ms  ✓ NetworkOptions
   1189.4 ms  ✓ Base64
   1192.9 ms  ✓ MbedTLS_jll
   1223.1 ms  ✓ p7zip_jll
    320.6 ms  ✓ LibSSH2_jll
    469.9 ms  ✓ Printf
    380.5 ms  ✓ LibCURL_jll
    419.8 ms  ✓ LibGit2_jll
   2112.0 ms  ✓ ArgTools
    592.0 ms  ✓ LibCURL
    561.2 ms  ✓ Tar
   2330.8 ms  ✓ Dates
   2906.2 ms  ✓ Markdown
   2320.4 ms  ✓ LibGit2
    448.1 ms  ✓ TOML
   2954.1 ms  ✓ Downloads
  39437.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1795.0 ms  ✓ SimpleUnPack
   1796.6 ms  ✓ MuladdMacro
   1789.9 ms  ✓ UnPack
   1800.7 ms  ✓ IteratorInterfaceExtensions
   1964.8 ms  ✓ CommonSolve
   1990.6 ms  ✓ Future
   1998.3 ms  ✓ ExprTools
   2006.2 ms  ✓ ConcreteStructs
   2381.6 ms  ✓ OpenLibm_jll
   2576.2 ms  ✓ InverseFunctions
   2879.3 ms  ✓ Statistics
   3178.4 ms  ✓ Serialization
   3444.7 ms  ✓ ADTypes
   3691.8 ms  ✓ FunctionWrappers
   1892.1 ms  ✓ EnumX
   2094.3 ms  ✓ ManualMemory
   1982.7 ms  ✓ Reexport
   1651.1 ms  ✓ SIMDTypes
   4087.1 ms  ✓ FillArrays
   2412.7 ms  ✓ SuiteSparse_jll
   2610.5 ms  ✓ CompilerSupportLibraries_jll
   2504.0 ms  ✓ Requires
   2795.7 ms  ✓ OrderedCollections
   1856.7 ms  ✓ CompositionsBase
   1750.5 ms  ✓ FastPower
   2754.2 ms  ✓ DocStringExtensions
   1798.8 ms  ✓ IfElse
   1659.3 ms  ✓ FastClosures
   2297.5 ms  ✓ CommonWorldInvalidations
   2304.0 ms  ✓ StaticArraysCore
   2505.9 ms  ✓ ConstructionBase
   2806.1 ms  ✓ EnzymeCore
   2995.6 ms  ✓ CpuId
   2449.8 ms  ✓ Compat
   7593.3 ms  ✓ ExproniconLite
   1994.0 ms  ✓ NaNMath
   1685.2 ms  ✓ RuntimeGeneratedFunctions
   1614.1 ms  ✓ FunctionWrappersWrappers
   3361.6 ms  ✓ Preferences
   5295.5 ms  ✓ IrrationalConstants
   3299.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4894.2 ms  ✓ GenericSchur
   2297.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   2108.8 ms  ✓ Adapt
   1887.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1921.8 ms  ✓ Parameters
   5200.1 ms  ✓ LazyArtifacts
   2442.9 ms  ✓ DiffResults
   2591.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
