nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1159.9 ms  ✓ p7zip_jll
   1171.2 ms  ✓ Logging
   1175.7 ms  ✓ MozillaCACerts_jll
   1241.0 ms  ✓ MbedTLS_jll
   1263.2 ms  ✓ Zlib_jll
   1271.1 ms  ✓ UUIDs
   1274.3 ms  ✓ Unicode
   1320.7 ms  ✓ NetworkOptions
   1332.5 ms  ✓ nghttp2_jll
   1325.2 ms  ✓ Base64
    422.3 ms  ✓ LibSSH2_jll
    509.3 ms  ✓ Printf
    462.6 ms  ✓ LibCURL_jll
    469.2 ms  ✓ LibGit2_jll
   2374.0 ms  ✓ ArgTools
    650.8 ms  ✓ LibCURL
    612.1 ms  ✓ Tar
   2711.0 ms  ✓ Dates
   3190.9 ms  ✓ Markdown
   2570.1 ms  ✓ LibGit2
    407.4 ms  ✓ TOML
   3301.8 ms  ✓ Downloads
  43784.3 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1831.8 ms  ✓ MuladdMacro
   1885.7 ms  ✓ IteratorInterfaceExtensions
   1923.3 ms  ✓ SimpleUnPack
   1922.0 ms  ✓ Future
   2018.3 ms  ✓ UnPack
   2078.6 ms  ✓ ExprTools
   2123.5 ms  ✓ ConcreteStructs
   2504.4 ms  ✓ OpenLibm_jll
   2857.2 ms  ✓ CommonSolve
   2864.8 ms  ✓ Statistics
   3018.2 ms  ✓ Serialization
   3305.2 ms  ✓ InverseFunctions
   3527.8 ms  ✓ FunctionWrappers
   3778.9 ms  ✓ ADTypes
   2270.0 ms  ✓ ManualMemory
   2159.9 ms  ✓ EnumX
   4308.5 ms  ✓ FillArrays
   2438.7 ms  ✓ SuiteSparse_jll
   2555.5 ms  ✓ CompilerSupportLibraries_jll
   1966.7 ms  ✓ Reexport
   1933.5 ms  ✓ SIMDTypes
   2796.6 ms  ✓ OrderedCollections
   3102.3 ms  ✓ Requires
   2006.2 ms  ✓ CompositionsBase
   1894.2 ms  ✓ FastPower
   2892.5 ms  ✓ DocStringExtensions
   1792.6 ms  ✓ IfElse
   2006.6 ms  ✓ CommonWorldInvalidations
   2201.0 ms  ✓ FastClosures
   2236.0 ms  ✓ StaticArraysCore
   3537.9 ms  ✓ EnzymeCore
   3038.4 ms  ✓ ConstructionBase
   3401.4 ms  ✓ CpuId
   2989.0 ms  ✓ Compat
   2393.5 ms  ✓ NaNMath
   8421.4 ms  ✓ ExproniconLite
   2161.3 ms  ✓ RuntimeGeneratedFunctions
   3610.2 ms  ✓ Preferences
   5849.3 ms  ✓ IrrationalConstants
   4740.0 ms  ✓ GenericSchur
   2204.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2372.6 ms  ✓ FunctionWrappersWrappers
   3266.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2602.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   5568.0 ms  ✓ LazyArtifacts
   2565.3 ms  ✓ Parameters
   2200.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2209.2 ms  ✓ DiffResults
   2906.1 ms  ✓ Adapt
   6865.5 ms  ✓ InteractiveUtils
   2486.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2492.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   4260.4 ms  ✓ ThreadingUtilities
   2606.2 ms  ✓ Compat → CompatLinearAlgebraExt
  10666.8 ms  ✓ MacroTools
   2598.1 ms  ✓ JLLWrappers
   2694.4 ms  ✓ PrecompileTools
   2093.6 ms  ✓ EnzymeCore → AdaptExt
   2927.7 ms  ✓ ArrayInterface
