nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1134.7 ms  ✓ Unicode
   1190.6 ms  ✓ Logging
   1285.9 ms  ✓ MozillaCACerts_jll
   1285.2 ms  ✓ p7zip_jll
   1295.6 ms  ✓ UUIDs
   1327.4 ms  ✓ MbedTLS_jll
   1328.2 ms  ✓ Zlib_jll
   1343.7 ms  ✓ nghttp2_jll
   1460.0 ms  ✓ NetworkOptions
   1473.2 ms  ✓ Base64
    393.9 ms  ✓ LibSSH2_jll
    592.5 ms  ✓ Printf
    493.8 ms  ✓ LibGit2_jll
    523.3 ms  ✓ LibCURL_jll
   2386.2 ms  ✓ ArgTools
    637.2 ms  ✓ LibCURL
    603.6 ms  ✓ Tar
   2188.4 ms  ✓ Dates
   2408.7 ms  ✓ LibGit2
   3174.2 ms  ✓ Markdown
    829.0 ms  ✓ TOML
   3248.1 ms  ✓ Downloads
  45016.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 51 seconds
Precompiling project...
   1824.9 ms  ✓ UnPack
   1939.0 ms  ✓ SimpleUnPack
   1973.4 ms  ✓ ConcreteStructs
   2066.8 ms  ✓ Future
   2128.7 ms  ✓ MuladdMacro
   2152.1 ms  ✓ OpenLibm_jll
   2462.5 ms  ✓ ExprTools
   2503.1 ms  ✓ InverseFunctions
   2827.2 ms  ✓ IteratorInterfaceExtensions
   2802.9 ms  ✓ Statistics
   2893.4 ms  ✓ CommonSolve
   3521.4 ms  ✓ ADTypes
   3513.0 ms  ✓ Serialization
   4073.9 ms  ✓ FunctionWrappers
   2199.5 ms  ✓ ManualMemory
   1870.0 ms  ✓ EnumX
   1848.6 ms  ✓ Reexport
   2257.9 ms  ✓ Requires
   2588.4 ms  ✓ SuiteSparse_jll
   4549.8 ms  ✓ FillArrays
   2827.7 ms  ✓ CompilerSupportLibraries_jll
   1933.7 ms  ✓ SIMDTypes
   3041.0 ms  ✓ OrderedCollections
   2755.5 ms  ✓ DocStringExtensions
   2339.6 ms  ✓ CompositionsBase
   1795.9 ms  ✓ FastClosures
   2004.4 ms  ✓ IfElse
   2055.8 ms  ✓ CommonWorldInvalidations
   2727.1 ms  ✓ ConstructionBase
   2537.6 ms  ✓ StaticArraysCore
   3501.3 ms  ✓ EnzymeCore
   3405.4 ms  ✓ CpuId
   5309.9 ms  ✓ IrrationalConstants
   3255.7 ms  ✓ Preferences
   8423.9 ms  ✓ ExproniconLite
   4947.1 ms  ✓ DifferentiationInterface
   3138.2 ms  ✓ Compat
   2603.2 ms  ✓ NaNMath
   2750.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2208.3 ms  ✓ FastPower
   4707.7 ms  ✓ GenericSchur
   2303.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2496.4 ms  ✓ RuntimeGeneratedFunctions
   2339.2 ms  ✓ Adapt
   2350.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   2764.6 ms  ✓ FunctionWrappersWrappers
   2246.1 ms  ✓ Parameters
   5497.6 ms  ✓ LazyArtifacts
   2249.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2203.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   7162.8 ms  ✓ InteractiveUtils
   2795.5 ms  ✓ DiffResults
   2460.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4303.5 ms  ✓ ThreadingUtilities
  11088.9 ms  ✓ MacroTools
   2339.1 ms  ✓ JLLWrappers
   2400.7 ms  ✓ PrecompileTools
   2364.8 ms  ✓ Compat → CompatLinearAlgebraExt
   3211.7 ms  ✓ LogExpFunctions
   2602.8 ms  ✓ GPUArraysCore
   2702.9 ms  ✓ ArrayInterface
   3297.6 ms  ✓ EnzymeCore → AdaptExt
   2660.9 ms  ✓ CommonSubexpressions
   3105.8 ms  ✓ TruncatedStacktraces
   2793.4 ms  ✓ OpenSpecFun_jll
   3406.1 ms  ✓ oneTBB_jll
   8107.1 ms  ✓ DataStructures
