nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1236.5 ms  ✓ UUIDs
   1285.9 ms  ✓ Logging
   1292.8 ms  ✓ MozillaCACerts_jll
   1296.6 ms  ✓ Unicode
   1304.6 ms  ✓ p7zip_jll
   1305.4 ms  ✓ nghttp2_jll
   1383.9 ms  ✓ Base64
   1385.2 ms  ✓ Zlib_jll
   1427.7 ms  ✓ NetworkOptions
   1386.2 ms  ✓ MbedTLS_jll
    341.0 ms  ✓ LibSSH2_jll
    529.5 ms  ✓ Printf
    463.0 ms  ✓ LibCURL_jll
    465.7 ms  ✓ LibGit2_jll
   2452.7 ms  ✓ ArgTools
    665.5 ms  ✓ LibCURL
    612.0 ms  ✓ Tar
   2724.6 ms  ✓ Dates
   3218.8 ms  ✓ Markdown
   2497.8 ms  ✓ LibGit2
    400.5 ms  ✓ TOML
   3253.3 ms  ✓ Downloads
  43958.7 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1820.4 ms  ✓ ConcreteStructs
   1826.5 ms  ✓ IteratorInterfaceExtensions
   1833.6 ms  ✓ SimpleUnPack
   1825.3 ms  ✓ Future
   2001.3 ms  ✓ UnPack
   1988.0 ms  ✓ CommonSolve
   2498.6 ms  ✓ InverseFunctions
   2604.9 ms  ✓ ExprTools
   2607.8 ms  ✓ MuladdMacro
   2897.6 ms  ✓ OpenLibm_jll
   3012.1 ms  ✓ ADTypes
   3215.5 ms  ✓ Serialization
   3350.8 ms  ✓ FunctionWrappers
   3479.1 ms  ✓ Statistics
   1966.9 ms  ✓ ManualMemory
   2378.8 ms  ✓ SuiteSparse_jll
   1921.0 ms  ✓ Reexport
   2088.9 ms  ✓ EnumX
   2823.5 ms  ✓ CompilerSupportLibraries_jll
   2703.8 ms  ✓ Requires
   4807.3 ms  ✓ FillArrays
   2913.0 ms  ✓ OrderedCollections
   2081.1 ms  ✓ CompositionsBase
   2161.6 ms  ✓ FastPower
   2629.5 ms  ✓ DocStringExtensions
   1802.4 ms  ✓ IfElse
   1904.8 ms  ✓ FastClosures
   3015.0 ms  ✓ EnzymeCore
   2319.2 ms  ✓ ConstructionBase
   2000.6 ms  ✓ CommonWorldInvalidations
   1979.7 ms  ✓ StaticArraysCore
   1606.1 ms  ✓ SIMDTypes
   3223.5 ms  ✓ CpuId
   3104.4 ms  ✓ Preferences
   2913.6 ms  ✓ Compat
   2888.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1982.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   8519.0 ms  ✓ ExproniconLite
   6008.6 ms  ✓ IrrationalConstants
   2694.2 ms  ✓ NaNMath
   4981.1 ms  ✓ GenericSchur
   3201.8 ms  ✓ RuntimeGeneratedFunctions
   2097.5 ms  ✓ FunctionWrappersWrappers
   2320.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   2299.8 ms  ✓ Parameters
   5572.0 ms  ✓ LazyArtifacts
   2998.0 ms  ✓ Adapt
   2432.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   7092.1 ms  ✓ InteractiveUtils
   3119.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2507.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   5978.1 ms  ✓ DifferentiationInterface
   2489.0 ms  ✓ DiffResults
  11364.8 ms  ✓ MacroTools
   5157.0 ms  ✓ ThreadingUtilities
   2494.6 ms  ✓ Compat → CompatLinearAlgebraExt
   3109.4 ms  ✓ PrecompileTools
  11616.2 ms  ✓ TimerOutputs
   3617.9 ms  ✓ JLLWrappers
   2698.2 ms  ✓ EnzymeCore → AdaptExt
   2879.0 ms  ✓ GPUArraysCore
   3568.3 ms  ✓ LogExpFunctions
   3305.1 ms  ✓ ArrayInterface
   2420.3 ms  ✓ TruncatedStacktraces
   2805.2 ms  ✓ CommonSubexpressions
   8019.2 ms  ✓ DataStructures
