Precompiling Pkg...
   1120.0 ms  ✓ p7zip_jll
   1122.5 ms  ✓ Logging
   1120.9 ms  ✓ MbedTLS_jll
   1126.6 ms  ✓ MozillaCACerts_jll
   1122.3 ms  ✓ Zlib_jll
   1126.2 ms  ✓ nghttp2_jll
   1126.5 ms  ✓ Unicode
   1158.2 ms  ✓ UUIDs
   1222.0 ms  ✓ Base64
   1263.5 ms  ✓ NetworkOptions
    349.9 ms  ✓ LibSSH2_jll
    440.0 ms  ✓ Printf
    373.3 ms  ✓ LibCURL_jll
    376.5 ms  ✓ LibGit2_jll
   2097.7 ms  ✓ ArgTools
    601.2 ms  ✓ LibCURL
    583.6 ms  ✓ Tar
   2488.8 ms  ✓ Dates
   2849.5 ms  ✓ Markdown
   2359.1 ms  ✓ LibGit2
    355.2 ms  ✓ TOML
   2930.5 ms  ✓ Downloads
  38817.4 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1740.3 ms  ✓ ConcreteStructs
   1751.5 ms  ✓ SimpleUnPack
   1749.3 ms  ✓ IteratorInterfaceExtensions
   1745.6 ms  ✓ UnPack
   1740.4 ms  ✓ CommonSolve
   1845.1 ms  ✓ MuladdMacro
   1859.1 ms  ✓ ExprTools
   2344.1 ms  ✓ OpenLibm_jll
   2356.4 ms  ✓ Future
   2637.9 ms  ✓ InverseFunctions
   2950.1 ms  ✓ ADTypes
   3024.2 ms  ✓ Statistics
   3145.5 ms  ✓ Serialization
   3849.9 ms  ✓ FunctionWrappers
   2101.9 ms  ✓ ManualMemory
   2003.1 ms  ✓ EnumX
   1615.4 ms  ✓ Reexport
   1786.5 ms  ✓ SIMDTypes
   2409.5 ms  ✓ SuiteSparse_jll
   2516.1 ms  ✓ CompilerSupportLibraries_jll
   2423.3 ms  ✓ Requires
   2692.2 ms  ✓ OrderedCollections
   4634.8 ms  ✓ FillArrays
   1927.8 ms  ✓ CompositionsBase
   2088.4 ms  ✓ FastPower
   2900.4 ms  ✓ DocStringExtensions
   1709.5 ms  ✓ IfElse
   1798.4 ms  ✓ FastClosures
   2305.0 ms  ✓ CommonWorldInvalidations
   2308.9 ms  ✓ StaticArraysCore
   2716.7 ms  ✓ EnzymeCore
   2791.2 ms  ✓ ConstructionBase
   2998.2 ms  ✓ CpuId
   2584.0 ms  ✓ Compat
   1998.0 ms  ✓ NaNMath
   7558.4 ms  ✓ ExproniconLite
   3221.7 ms  ✓ Preferences
   5014.5 ms  ✓ IrrationalConstants
   2516.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2103.5 ms  ✓ FunctionWrappersWrappers
   4707.3 ms  ✓ GenericSchur
   2487.6 ms  ✓ RuntimeGeneratedFunctions
   2188.2 ms  ✓ Parameters
   2297.9 ms  ✓ Adapt
   2099.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   2197.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5302.7 ms  ✓ LazyArtifacts
   6383.6 ms  ✓ InteractiveUtils
   2283.9 ms  ✓ DiffResults
   2196.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2194.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2398.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   5016.3 ms  ✓ DifferentiationInterface
   9916.1 ms  ✓ MacroTools
   4506.6 ms  ✓ ThreadingUtilities
   2494.1 ms  ✓ Compat → CompatLinearAlgebraExt
   2487.9 ms  ✓ JLLWrappers
   2383.0 ms  ✓ PrecompileTools
   2106.4 ms  ✓ EnzymeCore → AdaptExt
   2599.1 ms  ✓ GPUArraysCore
   2712.5 ms  ✓ ArrayInterface
   3214.6 ms  ✓ LogExpFunctions
   2400.4 ms  ✓ CommonSubexpressions
   2596.3 ms  ✓ TruncatedStacktraces
   9774.7 ms  ✓ Distributed
   3702.1 ms  ✓ oneTBB_jll
   2682.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   4085.5 ms  ✓ OpenSpecFun_jll
  12016.5 ms  ✓ TimerOutputs
   5512.6 ms  ✓ ChainRulesCore
   8086.6 ms  ✓ Jieko
   1994.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   4495.4 ms  ✓ Static
   4219.6 ms  ✓ MaybeInplace
   6202.0 ms  ✓ IntelOpenMP_jll
   2605.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2115.4 ms  ✓ SciMLStructures
   7387.9 ms  ✓ Setfield
   1996.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   7987.3 ms  ✓ DataStructures
   2293.2 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2103.9 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   2505.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   1997.7 ms  ✓ BitTwiddlingConvenienceFunctions
   4111.8 ms  ✓ PreallocationTools
   8795.2 ms  ✓ RecipesBase
  10532.7 ms  ✓ Accessors
   2224.4 ms  ✓ FiniteDiff
   3606.2 ms  ✓ CPUSummary
  15109.1 ms  ✓ SparseArrays
   5404.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   5004.8 ms  ✓ StaticArrayInterface
   2277.5 ms  ✓ Accessors → LinearAlgebraExt
   2186.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   5270.6 ms  ✓ MKL_jll
   2689.1 ms  ✓ PolyesterWeave
   2520.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2690.1 ms  ✓ Adapt → AdaptSparseArraysExt
   2777.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2790.0 ms  ✓ Statistics → SparseArraysExt
   2792.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   1791.4 ms  ✓ CloseOpenIntervals
   2483.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2481.6 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2006.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1934.3 ms  ✓ LayoutPointers
   9392.8 ms  ✓ SpecialFunctions
   2986.5 ms  ✓ SymbolicIndexingInterface
   1786.0 ms  ✓ StrideArraysCore
   1622.0 ms  ✓ DiffRules
   4079.6 ms  ✓ SciMLOperators
   1687.4 ms  ✓ Polyester
   1218.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1809.4 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   4204.1 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1429.9 ms  ✓ FastBroadcast
   3997.9 ms  ✓ RecursiveArrayTools
   1707.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1920.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  20850.0 ms  ✓ StaticArrays
   2868.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2956.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3044.7 ms  ✓ Adapt → AdaptStaticArraysExt
   3152.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3596.9 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3643.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3908.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3924.2 ms  ✓ Accessors → StaticArraysExt
   9661.1 ms  ✓ ForwardDiff
   2414.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   2995.1 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  18985.6 ms  ✓ SparseMatrixColorings
   3284.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3713.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   8000.9 ms  ✓ FastGaussQuadrature
   4128.1 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  20119.4 ms  ✓ Krylov
