nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1181.6 ms  ✓ MbedTLS_jll
   1188.9 ms  ✓ MozillaCACerts_jll
   1192.2 ms  ✓ UUIDs
   1219.6 ms  ✓ Zlib_jll
   1238.1 ms  ✓ Logging
   1332.5 ms  ✓ NetworkOptions
   1295.7 ms  ✓ nghttp2_jll
   1298.9 ms  ✓ Unicode
   1318.0 ms  ✓ p7zip_jll
   1418.0 ms  ✓ Base64
    437.6 ms  ✓ LibSSH2_jll
    480.6 ms  ✓ Printf
    499.6 ms  ✓ LibCURL_jll
    503.7 ms  ✓ LibGit2_jll
   2286.3 ms  ✓ ArgTools
    616.3 ms  ✓ LibCURL
    608.6 ms  ✓ Tar
   2635.1 ms  ✓ Dates
   3125.2 ms  ✓ Markdown
   2560.7 ms  ✓ LibGit2
    424.6 ms  ✓ TOML
   3222.4 ms  ✓ Downloads
  43531.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1786.1 ms  ✓ UnPack
   1806.5 ms  ✓ ConcreteStructs
   2002.2 ms  ✓ IteratorInterfaceExtensions
   2007.7 ms  ✓ MuladdMacro
   2017.2 ms  ✓ CommonSolve
   2121.7 ms  ✓ ExprTools
   2284.0 ms  ✓ OpenLibm_jll
   2315.1 ms  ✓ Future
   2325.3 ms  ✓ SimpleUnPack
   2585.9 ms  ✓ Statistics
   3308.2 ms  ✓ ADTypes
   3372.1 ms  ✓ InverseFunctions
   3614.0 ms  ✓ FunctionWrappers
   2211.5 ms  ✓ CompilerSupportLibraries_jll
   1997.9 ms  ✓ ManualMemory
   4195.1 ms  ✓ Serialization
   2499.8 ms  ✓ SuiteSparse_jll
   2080.1 ms  ✓ SIMDTypes
   2100.1 ms  ✓ Reexport
   4499.9 ms  ✓ FillArrays
   2219.2 ms  ✓ EnumX
   2673.0 ms  ✓ Requires
   3220.6 ms  ✓ OrderedCollections
   2983.6 ms  ✓ DocStringExtensions
   2187.3 ms  ✓ FastPower
   2406.0 ms  ✓ CompositionsBase
   1895.8 ms  ✓ IfElse
   1885.8 ms  ✓ FastClosures
   1995.5 ms  ✓ CommonWorldInvalidations
   2598.2 ms  ✓ ConstructionBase
   2993.5 ms  ✓ EnzymeCore
   2591.4 ms  ✓ StaticArraysCore
   3038.1 ms  ✓ CpuId
   8210.7 ms  ✓ ExproniconLite
   2392.3 ms  ✓ NaNMath
   2809.8 ms  ✓ Compat
   2394.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3565.4 ms  ✓ Preferences
   5694.5 ms  ✓ IrrationalConstants
   4691.1 ms  ✓ GenericSchur
   2399.5 ms  ✓ FunctionWrappersWrappers
   2499.8 ms  ✓ RuntimeGeneratedFunctions
   2215.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   2286.7 ms  ✓ Adapt
   2197.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   4213.8 ms  ✓ ThreadingUtilities
   5114.9 ms  ✓ DifferentiationInterface
   5699.8 ms  ✓ LazyArtifacts
   2834.1 ms  ✓ Parameters
   2605.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3010.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   8078.4 ms  ✓ InteractiveUtils
   2274.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2193.9 ms  ✓ DiffResults
  10910.4 ms  ✓ MacroTools
   2107.7 ms  ✓ Compat → CompatLinearAlgebraExt
   1985.8 ms  ✓ EnzymeCore → AdaptExt
   2797.7 ms  ✓ PrecompileTools
   3084.9 ms  ✓ JLLWrappers
   2700.0 ms  ✓ GPUArraysCore
   2978.6 ms  ✓ ArrayInterface
   3905.7 ms  ✓ LogExpFunctions
   3315.4 ms  ✓ TruncatedStacktraces
   7734.8 ms  ✓ DataStructures
   3520.9 ms  ✓ CommonSubexpressions
  10407.4 ms  ✓ Distributed
   1920.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1899.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   4101.4 ms  ✓ oneTBB_jll
   4514.6 ms  ✓ Static
   3501.2 ms  ✓ OpenSpecFun_jll
  13116.8 ms  ✓ TimerOutputs
   2076.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   6886.9 ms  ✓ Setfield
   9408.8 ms  ✓ Jieko
   2981.9 ms  ✓ SciMLStructures
   8021.0 ms  ✓ ChainRulesCore
