Precompiling Pkg...
   1028.4 ms  ✓ nghttp2_jll
   1030.4 ms  ✓ Logging
   1127.8 ms  ✓ MozillaCACerts_jll
   1129.9 ms  ✓ UUIDs
   1138.3 ms  ✓ Zlib_jll
   1187.8 ms  ✓ NetworkOptions
   1152.5 ms  ✓ Unicode
   1177.7 ms  ✓ p7zip_jll
   1218.5 ms  ✓ MbedTLS_jll
   1228.0 ms  ✓ Base64
    318.9 ms  ✓ LibSSH2_jll
    431.2 ms  ✓ Printf
    433.3 ms  ✓ LibCURL_jll
    438.6 ms  ✓ LibGit2_jll
   2032.7 ms  ✓ ArgTools
    546.2 ms  ✓ LibCURL
    558.7 ms  ✓ Tar
   2389.9 ms  ✓ Dates
   2807.6 ms  ✓ Markdown
   2291.6 ms  ✓ LibGit2
    366.6 ms  ✓ TOML
   2942.0 ms  ✓ Downloads
  39374.6 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1730.4 ms  ✓ ConcreteStructs
   1811.3 ms  ✓ IteratorInterfaceExtensions
   1820.5 ms  ✓ SimpleUnPack
   1904.5 ms  ✓ UnPack
   1933.5 ms  ✓ MuladdMacro
   2012.5 ms  ✓ Future
   2008.1 ms  ✓ CommonSolve
   2200.5 ms  ✓ OpenLibm_jll
   2429.4 ms  ✓ ExprTools
   2724.3 ms  ✓ InverseFunctions
   2817.6 ms  ✓ Statistics
   3125.6 ms  ✓ Serialization
   3210.5 ms  ✓ ADTypes
   3427.7 ms  ✓ FunctionWrappers
   1826.0 ms  ✓ ManualMemory
   1903.0 ms  ✓ EnumX
   1906.8 ms  ✓ Reexport
   2306.1 ms  ✓ SuiteSparse_jll
   1696.0 ms  ✓ SIMDTypes
   2401.1 ms  ✓ CompilerSupportLibraries_jll
   4303.7 ms  ✓ FillArrays
   2514.6 ms  ✓ Requires
   2879.7 ms  ✓ OrderedCollections
   1723.7 ms  ✓ FastPower
   2001.7 ms  ✓ CompositionsBase
   2771.4 ms  ✓ DocStringExtensions
   1976.5 ms  ✓ IfElse
   1800.3 ms  ✓ CommonWorldInvalidations
   2197.7 ms  ✓ FastClosures
   3001.1 ms  ✓ EnzymeCore
   2308.9 ms  ✓ StaticArraysCore
   2502.9 ms  ✓ ConstructionBase
   1823.8 ms  ✓ NaNMath
   2896.0 ms  ✓ CpuId
   2697.4 ms  ✓ Compat
   4887.4 ms  ✓ IrrationalConstants
   7721.0 ms  ✓ ExproniconLite
   3299.9 ms  ✓ Preferences
   2311.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2191.2 ms  ✓ DiffResults
   2393.8 ms  ✓ RuntimeGeneratedFunctions
   4988.1 ms  ✓ GenericSchur
   2106.8 ms  ✓ Parameters
   2201.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   2111.0 ms  ✓ Adapt
   2000.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5002.2 ms  ✓ LazyArtifacts
   1995.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1909.3 ms  ✓ FunctionWrappersWrappers
   6400.1 ms  ✓ InteractiveUtils
   4779.6 ms  ✓ DifferentiationInterface
   2415.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2118.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   4185.8 ms  ✓ ThreadingUtilities
   9897.4 ms  ✓ MacroTools
   1890.6 ms  ✓ Compat → CompatLinearAlgebraExt
   2421.2 ms  ✓ JLLWrappers
   2020.9 ms  ✓ EnzymeCore → AdaptExt
   2984.9 ms  ✓ LogExpFunctions
   2399.1 ms  ✓ GPUArraysCore
   2872.2 ms  ✓ PrecompileTools
   2893.9 ms  ✓ ArrayInterface
   2911.4 ms  ✓ CommonSubexpressions
   2991.2 ms  ✓ TruncatedStacktraces
   2890.2 ms  ✓ OpenSpecFun_jll
   9522.1 ms  ✓ Distributed
   3074.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3016.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
  10712.3 ms  ✓ TimerOutputs
   4904.8 ms  ✓ oneTBB_jll
   1795.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1901.5 ms  ✓ SciMLStructures
   6211.7 ms  ✓ Setfield
   2097.7 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3718.2 ms  ✓ Static
   6897.6 ms  ✓ ChainRulesCore
   3007.6 ms  ✓ MaybeInplace
   7403.0 ms  ✓ DataStructures
   9299.9 ms  ✓ Jieko
   6696.7 ms  ✓ IntelOpenMP_jll
   2208.9 ms  ✓ BitTwiddlingConvenienceFunctions
   4603.3 ms  ✓ PreallocationTools
   2486.7 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   3025.9 ms  ✓ FiniteDiff
   2088.2 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   9694.5 ms  ✓ Accessors
   2817.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   7114.4 ms  ✓ RecipesBase
  14620.7 ms  ✓ SparseArrays
   4182.0 ms  ✓ CPUSummary
   1923.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2099.2 ms  ✓ Accessors → LinearAlgebraExt
   5607.1 ms  ✓ StaticArrayInterface
   2526.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   5484.8 ms  ✓ MKL_jll
   2776.1 ms  ✓ Statistics → SparseArraysExt
   2779.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2782.0 ms  ✓ Adapt → AdaptSparseArraysExt
   2727.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   6218.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2421.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2493.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
