nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1062.0 ms  ✓ Logging
   1063.9 ms  ✓ Unicode
   1224.1 ms  ✓ nghttp2_jll
   1224.0 ms  ✓ p7zip_jll
   1225.4 ms  ✓ MozillaCACerts_jll
   1274.2 ms  ✓ UUIDs
   1318.4 ms  ✓ Zlib_jll
   1334.4 ms  ✓ MbedTLS_jll
   1381.7 ms  ✓ NetworkOptions
   1395.5 ms  ✓ Base64
    601.2 ms  ✓ Printf
    364.7 ms  ✓ LibSSH2_jll
    434.4 ms  ✓ LibCURL_jll
    479.0 ms  ✓ LibGit2_jll
   2404.3 ms  ✓ ArgTools
    640.0 ms  ✓ LibCURL
    620.7 ms  ✓ Tar
   2161.1 ms  ✓ Dates
   3029.0 ms  ✓ Markdown
    764.2 ms  ✓ TOML
   2415.5 ms  ✓ LibGit2
   3189.5 ms  ✓ Downloads
  43428.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1927.7 ms  ✓ MuladdMacro
   1957.6 ms  ✓ UnPack
   2005.2 ms  ✓ ConcreteStructs
   2022.2 ms  ✓ SimpleUnPack
   1986.2 ms  ✓ CommonSolve
   2026.0 ms  ✓ ExprTools
   2150.3 ms  ✓ InverseFunctions
   2317.6 ms  ✓ Future
   2624.2 ms  ✓ IteratorInterfaceExtensions
   2786.7 ms  ✓ OpenLibm_jll
   2998.2 ms  ✓ Statistics
   3127.5 ms  ✓ ADTypes
   3317.6 ms  ✓ Serialization
   3767.1 ms  ✓ FunctionWrappers
   4212.8 ms  ✓ FillArrays
   2295.1 ms  ✓ ManualMemory
   2405.4 ms  ✓ CompilerSupportLibraries_jll
   2083.5 ms  ✓ Reexport
   1783.9 ms  ✓ SIMDTypes
   2437.8 ms  ✓ Requires
   2544.0 ms  ✓ SuiteSparse_jll
   2338.4 ms  ✓ EnumX
   2643.0 ms  ✓ OrderedCollections
   2180.3 ms  ✓ CompositionsBase
   2034.7 ms  ✓ FastPower
   2714.2 ms  ✓ DocStringExtensions
   1889.7 ms  ✓ CommonWorldInvalidations
   2104.2 ms  ✓ IfElse
   2328.6 ms  ✓ FastClosures
   2418.6 ms  ✓ ConstructionBase
   2442.8 ms  ✓ StaticArraysCore
   2504.6 ms  ✓ SciMLPublic
   3158.2 ms  ✓ EnzymeCore
   8009.6 ms  ✓ ExproniconLite
   3360.8 ms  ✓ CpuId
   3293.8 ms  ✓ Preferences
   3248.9 ms  ✓ Compat
   2385.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5844.9 ms  ✓ IrrationalConstants
   4514.2 ms  ✓ GenericSchur
   2397.6 ms  ✓ NaNMath
   2392.4 ms  ✓ FunctionWrappersWrappers
   2415.8 ms  ✓ RuntimeGeneratedFunctions
   2202.5 ms  ✓ Adapt
   5291.3 ms  ✓ LazyArtifacts
   1883.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2245.6 ms  ✓ Parameters
   3205.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   2089.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2499.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   5163.2 ms  ✓ DifferentiationInterface
   4238.1 ms  ✓ ThreadingUtilities
   3975.4 ms  ✓ DiffResults
   2213.6 ms  ✓ PrecompileTools
  11407.6 ms  ✓ MacroTools
   2694.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2708.8 ms  ✓ ArrayInterface
   2916.2 ms  ✓ JLLWrappers
   2907.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2487.6 ms  ✓ GPUArraysCore
   3739.8 ms  ✓ LogExpFunctions
   6351.1 ms  ✓ InteractiveUtils
   3892.7 ms  ✓ EnzymeCore → AdaptExt
  10404.7 ms  ✓ TimerOutputs
   3307.3 ms  ✓ CommonSubexpressions
   9923.9 ms  ✓ Distributed
   2703.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   8710.2 ms  ✓ DataStructures
   2601.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3674.8 ms  ✓ MaybeInplace
   2863.9 ms  ✓ SciMLStructures
   4992.7 ms  ✓ Static
   2206.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2082.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2708.9 ms  ✓ OpenSpecFun_jll
   3300.5 ms  ✓ oneTBB_jll
   2403.7 ms  ✓ TruncatedStacktraces
  15851.7 ms  ✓ SparseArrays
   2210.8 ms  ✓ BitTwiddlingConvenienceFunctions
   7401.7 ms  ✓ Setfield
   5892.6 ms  ✓ IntelOpenMP_jll
   4602.0 ms  ✓ PreallocationTools
   9097.9 ms  ✓ RecipesBase
  10447.9 ms  ✓ Jieko
   2902.4 ms  ✓ Statistics → SparseArraysExt
   3000.3 ms  ✓ Adapt → AdaptSparseArraysExt
   5310.1 ms  ✓ CPUSummary
   7395.8 ms  ✓ ChainRulesCore
   2515.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3909.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   4285.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
  11204.7 ms  ✓ Accessors
   2893.7 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   6090.3 ms  ✓ StaticArrayInterface
   2945.3 ms  ✓ FiniteDiff
   2361.9 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2945.5 ms  ✓ PolyesterWeave
   2389.6 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   2521.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2883.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2509.4 ms  ✓ Accessors → LinearAlgebraExt
   2498.8 ms  ✓ LayoutPointers
   2803.1 ms  ✓ CloseOpenIntervals
   5714.8 ms  ✓ MKL_jll
   2045.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2007.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   4614.6 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2109.9 ms  ✓ StrideArraysCore
  10994.0 ms  ✓ SpecialFunctions
   3004.8 ms  ✓ SymbolicIndexingInterface
   4319.5 ms  ✓ SciMLOperators
   1786.4 ms  ✓ Polyester
   1598.4 ms  ✓ DiffRules
   1395.3 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1901.8 ms  ✓ FastBroadcast
   1999.0 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3858.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4589.5 ms  ✓ RecursiveArrayTools
   2192.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2201.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  24381.7 ms  ✓ StaticArrays
   2903.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2905.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3916.4 ms  ✓ Adapt → AdaptStaticArraysExt
  21459.9 ms  ✓ Krylov
   4286.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4215.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   4200.6 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4291.1 ms  ✓ Accessors → StaticArraysExt
   4187.3 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  21205.3 ms  ✓ SparseMatrixColorings
  10509.1 ms  ✓ ForwardDiff
   1698.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1485.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   1624.5 ms  ✓ FastPower → FastPowerForwardDiffExt
   6394.3 ms  ✓ FastGaussQuadrature
   1701.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   1707.0 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   1705.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2225.1 ms  ✓ NLSolversBase
  23345.6 ms  ✓ Moshi
   1443.5 ms  ✓ LineSearches
   6400.5 ms  ✓ SciMLBase
  15921.0 ms  ✓ ArrayLayouts
   1077.0 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1377.2 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1041.1 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   2196.5 ms  ✓ DiffEqBase
   3053.9 ms  ✓ SciMLJacobianOperators
   1847.7 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1850.0 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   2124.1 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3028.7 ms  ✓ LazyArrays
   1022.6 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   4077.5 ms  ✓ OrdinaryDiffEqCore
   3961.5 ms  ✓ LineSearch
   1142.7 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   4037.1 ms  ✓ LineSearch → LineSearchLineSearchesExt
   7925.1 ms  ✓ OrdinaryDiffEqFunctionMap
  14303.2 ms  ✓ NonlinearSolveBase
  10331.6 ms  ✓ OrdinaryDiffEqSymplecticRK
  11285.5 ms  ✓ OrdinaryDiffEqExplicitRK
  11405.2 ms  ✓ OrdinaryDiffEqPRK
  11898.6 ms  ✓ OrdinaryDiffEqFeagin
  13288.2 ms  ✓ OrdinaryDiffEqStabilizedRK
  14253.4 ms  ✓ OrdinaryDiffEqRKN
  14419.7 ms  ✓ OrdinaryDiffEqSSPRK
  14987.2 ms  ✓ OrdinaryDiffEqHighOrderRK
  11409.2 ms  ✓ OrdinaryDiffEqQPRK
   4053.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   5605.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   3803.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
  16436.4 ms  ✓ OrdinaryDiffEqLowOrderRK
   6150.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5218.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  11373.4 ms  ✓ OrdinaryDiffEqLowStorageRK
  21144.0 ms  ✓ OrdinaryDiffEqTsit5
   5307.4 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   9752.5 ms  ✓ BracketingNonlinearSolve
   2653.9 ms  ✓ OrdinaryDiffEqNordsieck
   1244.1 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   3550.1 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  30078.9 ms  ✓ LinearSolve
  16345.0 ms  ✓ NonlinearSolveSpectralMethods
   5796.0 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   5853.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   2419.7 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6862.6 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  11564.0 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  80452.7 ms  ✓ ExponentialUtilities
  22107.8 ms  ✓ SimpleNonlinearSolve
   2725.1 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   1812.9 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   3713.3 ms  ✓ OrdinaryDiffEqLinear
   9097.3 ms  ✓ OrdinaryDiffEqDifferentiation
   2410.5 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  14089.5 ms  ✓ OrdinaryDiffEqExponentialRK
  16648.4 ms  ✓ OrdinaryDiffEqExtrapolation
  29241.5 ms  ✓ NonlinearSolveQuasiNewton
  70999.1 ms  ✓ OrdinaryDiffEqVerner
   2298.7 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  39381.4 ms  ✓ NonlinearSolveFirstOrder
  34104.3 ms  ✓ OrdinaryDiffEqRosenbrock
  11988.9 ms  ✓ NonlinearSolve
   3580.5 ms  ✓ OrdinaryDiffEqNonlinearSolve
   4117.9 ms  ✓ OrdinaryDiffEqIMEXMultistep
   4144.6 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4525.8 ms  ✓ OrdinaryDiffEqPDIRK
   5585.9 ms  ✓ OrdinaryDiffEqSDIRK
  12318.5 ms  ✓ OrdinaryDiffEqBDF
  18751.0 ms  ✓ OrdinaryDiffEqFIRK
  22552.1 ms  ✓ OrdinaryDiffEqDefault
   3784.1 ms  ✓ OrdinaryDiffEq
  213 dependencies successfully precompiled in 200 seconds. 23 already precompiled.
  1 dependency had output during precompilation:
┌ Polyester
│  WARNING: using Static.static_first in module Polyester conflicts with an existing identifier.
│  WARNING: using Static.static_step in module Polyester conflicts with an existing identifier.
└  
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.7 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 797.71
	System time (seconds): 62.32
	Percent of CPU this job got: 343%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:10.27
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2039816
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 798
	Minor (reclaiming a frame) page faults: 13401097
	Voluntary context switches: 278076
	Involuntary context switches: 140290
	Swaps: 0
	File system inputs: 0
	File system outputs: 2028408
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
