Precompiling Pkg...
   1020.8 ms  ✓ MozillaCACerts_jll
   1108.2 ms  ✓ Logging
   1120.9 ms  ✓ p7zip_jll
   1119.3 ms  ✓ Zlib_jll
   1137.1 ms  ✓ UUIDs
   1133.7 ms  ✓ Unicode
   1143.8 ms  ✓ nghttp2_jll
   1220.6 ms  ✓ MbedTLS_jll
   1266.5 ms  ✓ NetworkOptions
   1222.7 ms  ✓ Base64
    317.7 ms  ✓ LibSSH2_jll
    452.6 ms  ✓ Printf
    406.2 ms  ✓ LibGit2_jll
    405.0 ms  ✓ LibCURL_jll
   2118.2 ms  ✓ ArgTools
    587.7 ms  ✓ LibCURL
    545.8 ms  ✓ Tar
   2339.6 ms  ✓ Dates
   2871.5 ms  ✓ Markdown
   2368.4 ms  ✓ LibGit2
    455.5 ms  ✓ TOML
   2952.7 ms  ✓ Downloads
  39198.8 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1781.3 ms  ✓ ConcreteStructs
   1780.1 ms  ✓ IteratorInterfaceExtensions
   1779.5 ms  ✓ Future
   1859.7 ms  ✓ MuladdMacro
   1852.7 ms  ✓ UnPack
   1966.9 ms  ✓ SimpleUnPack
   1978.6 ms  ✓ ExprTools
   2040.0 ms  ✓ CommonSolve
   2258.9 ms  ✓ InverseFunctions
   2646.3 ms  ✓ OpenLibm_jll
   2863.7 ms  ✓ Statistics
   3082.0 ms  ✓ ADTypes
   3467.2 ms  ✓ Serialization
   3777.6 ms  ✓ FunctionWrappers
   1927.5 ms  ✓ ManualMemory
   1886.7 ms  ✓ EnumX
   1815.9 ms  ✓ Reexport
   1710.2 ms  ✓ SIMDTypes
   2475.1 ms  ✓ SuiteSparse_jll
   2423.3 ms  ✓ OrderedCollections
   2588.6 ms  ✓ CompilerSupportLibraries_jll
   2504.9 ms  ✓ Requires
   4667.1 ms  ✓ FillArrays
   2610.7 ms  ✓ DocStringExtensions
   2199.1 ms  ✓ CompositionsBase
   1787.0 ms  ✓ IfElse
   2101.1 ms  ✓ FastPower
   2200.3 ms  ✓ CommonWorldInvalidations
   1912.4 ms  ✓ StaticArraysCore
   2407.6 ms  ✓ EnzymeCore
   2392.7 ms  ✓ ConstructionBase
   2294.5 ms  ✓ FastClosures
   3090.4 ms  ✓ CpuId
   3099.4 ms  ✓ Preferences
   2695.4 ms  ✓ Compat
   2587.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5285.1 ms  ✓ IrrationalConstants
   8175.4 ms  ✓ ExproniconLite
   2205.5 ms  ✓ NaNMath
   2096.9 ms  ✓ FunctionWrappersWrappers
   2409.5 ms  ✓ RuntimeGeneratedFunctions
   4580.9 ms  ✓ GenericSchur
   2100.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1995.6 ms  ✓ DiffResults
   2292.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   2503.8 ms  ✓ Parameters
   2413.2 ms  ✓ Adapt
   5385.7 ms  ✓ LazyArtifacts
   2384.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   6389.7 ms  ✓ InteractiveUtils
   2403.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2216.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   5091.4 ms  ✓ DifferentiationInterface
   3925.8 ms  ✓ ThreadingUtilities
   9800.1 ms  ✓ MacroTools
   2011.9 ms  ✓ PrecompileTools
   2000.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2116.7 ms  ✓ EnzymeCore → AdaptExt
   2312.2 ms  ✓ GPUArraysCore
   2895.5 ms  ✓ JLLWrappers
   2505.7 ms  ✓ ArrayInterface
   3207.8 ms  ✓ LogExpFunctions
   2566.7 ms  ✓ TruncatedStacktraces
   2592.9 ms  ✓ CommonSubexpressions
   9782.1 ms  ✓ Distributed
   3806.6 ms  ✓ Static
   3602.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
  11404.3 ms  ✓ TimerOutputs
   5471.3 ms  ✓ Setfield
   3002.9 ms  ✓ OpenSpecFun_jll
   3499.1 ms  ✓ oneTBB_jll
   3991.6 ms  ✓ MaybeInplace
   2290.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2110.7 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2387.6 ms  ✓ SciMLStructures
   8785.4 ms  ✓ Jieko
   6576.3 ms  ✓ ChainRulesCore
   6829.2 ms  ✓ IntelOpenMP_jll
   7800.8 ms  ✓ RecipesBase
   3209.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3512.6 ms  ✓ BitTwiddlingConvenienceFunctions
   7799.5 ms  ✓ DataStructures
   4596.8 ms  ✓ PreallocationTools
   2194.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   3281.3 ms  ✓ FiniteDiff
   2212.3 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   4590.0 ms  ✓ CPUSummary
  10306.1 ms  ✓ Accessors
   1993.0 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   4499.4 ms  ✓ StaticArrayInterface
   1311.0 ms  ✓ PolyesterWeave
   1424.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1404.5 ms  ✓ Accessors → LinearAlgebraExt
  15595.5 ms  ✓ SparseArrays
   1813.1 ms  ✓ CloseOpenIntervals
   4379.5 ms  ✓ MKL_jll
   4698.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2411.9 ms  ✓ LayoutPointers
   2497.4 ms  ✓ Adapt → AdaptSparseArraysExt
   2601.7 ms  ✓ Statistics → SparseArraysExt
   2701.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2882.1 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2898.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2284.2 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1918.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2211.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   8826.0 ms  ✓ SpecialFunctions
   4227.1 ms  ✓ SymbolicIndexingInterface
   2775.4 ms  ✓ StrideArraysCore
   1387.4 ms  ✓ DiffRules
   5260.6 ms  ✓ SciMLOperators
   1505.9 ms  ✓ Polyester
   1436.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1612.1 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3690.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1433.9 ms  ✓ FastBroadcast
   4103.7 ms  ✓ RecursiveArrayTools
  20713.7 ms  ✓ StaticArrays
   2487.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2879.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2678.5 ms  ✓ Adapt → AdaptStaticArraysExt
   2759.1 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2776.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2790.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2727.9 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2896.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3009.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2922.0 ms  ✓ Accessors → StaticArraysExt
   8408.8 ms  ✓ ForwardDiff
   2769.9 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   5595.3 ms  ✓ FastGaussQuadrature
   2983.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3002.9 ms  ✓ FastPower → FastPowerForwardDiffExt
   3087.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3399.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  17768.8 ms  ✓ SparseMatrixColorings
   2289.6 ms  ✓ NLSolversBase
  19000.6 ms  ✓ Krylov
   2076.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  23896.4 ms  ✓ Moshi
   1931.6 ms  ✓ LineSearches
   5821.7 ms  ✓ SciMLBase
  16574.5 ms  ✓ ArrayLayouts
    809.6 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
    819.8 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   1949.8 ms  ✓ DiffEqBase
   2578.2 ms  ✓ SciMLJacobianOperators
   1424.6 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1568.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1860.4 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2783.5 ms  ✓ LazyArrays
    949.1 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   3711.0 ms  ✓ OrdinaryDiffEqCore
   3810.4 ms  ✓ LineSearch
   1040.8 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   4195.0 ms  ✓ LineSearch → LineSearchLineSearchesExt
   6967.5 ms  ✓ OrdinaryDiffEqFunctionMap
   9199.7 ms  ✓ OrdinaryDiffEqSymplecticRK
  13825.5 ms  ✓ NonlinearSolveBase
   9768.5 ms  ✓ OrdinaryDiffEqExplicitRK
  10758.2 ms  ✓ OrdinaryDiffEqFeagin
  11085.2 ms  ✓ OrdinaryDiffEqHighOrderRK
  12701.9 ms  ✓ OrdinaryDiffEqStabilizedRK
  10496.8 ms  ✓ OrdinaryDiffEqQPRK
  14964.7 ms  ✓ OrdinaryDiffEqPRK
   5233.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   4482.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
  15557.6 ms  ✓ OrdinaryDiffEqRKN
   5895.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   5896.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  15684.2 ms  ✓ OrdinaryDiffEqSSPRK
   4602.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
  15798.5 ms  ✓ OrdinaryDiffEqLowOrderRK
  12840.5 ms  ✓ OrdinaryDiffEqLowStorageRK
   5990.6 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  22670.0 ms  ✓ OrdinaryDiffEqTsit5
  11498.8 ms  ✓ BracketingNonlinearSolve
   3797.2 ms  ✓ OrdinaryDiffEqNordsieck
   2297.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   3993.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  32118.0 ms  ✓ LinearSolve
  18579.5 ms  ✓ NonlinearSolveSpectralMethods
   2923.4 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6534.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   6961.1 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   7939.4 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  11038.9 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  25620.9 ms  ✓ SimpleNonlinearSolve
  82388.1 ms  ✓ ExponentialUtilities
   2493.2 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   2799.1 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
   2820.2 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
  14076.4 ms  ✓ OrdinaryDiffEqDifferentiation
   4233.6 ms  ✓ OrdinaryDiffEqLinear
   7602.2 ms  ✓ OrdinaryDiffEqExponentialRK
  10499.3 ms  ✓ OrdinaryDiffEqExtrapolation
  32676.6 ms  ✓ NonlinearSolveQuasiNewton
   4755.4 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  81546.0 ms  ✓ OrdinaryDiffEqVerner
  46145.7 ms  ✓ NonlinearSolveFirstOrder
  39241.2 ms  ✓ OrdinaryDiffEqRosenbrock
  12996.2 ms  ✓ NonlinearSolve
   6470.8 ms  ✓ OrdinaryDiffEqNonlinearSolve
   8269.2 ms  ✓ OrdinaryDiffEqStabilizedIRK
   8468.9 ms  ✓ OrdinaryDiffEqIMEXMultistep
   8693.2 ms  ✓ OrdinaryDiffEqPDIRK
  10137.7 ms  ✓ OrdinaryDiffEqSDIRK
  21866.9 ms  ✓ OrdinaryDiffEqBDF
  34476.7 ms  ✓ OrdinaryDiffEqFIRK
  37352.0 ms  ✓ OrdinaryDiffEqDefault
   7547.9 ms  ✓ OrdinaryDiffEq
  211 dependencies successfully precompiled in 240 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.7 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 889.01
	System time (seconds): 55.71
	Percent of CPU this job got: 330%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:45.93
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2047888
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 779
	Minor (reclaiming a frame) page faults: 13240115
	Voluntary context switches: 279528
	Involuntary context switches: 177549
	Swaps: 0
	File system inputs: 0
	File system outputs: 2011360
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
