nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1136.9 ms  ✓ MozillaCACerts_jll
   1175.2 ms  ✓ Zlib_jll
   1216.0 ms  ✓ nghttp2_jll
   1227.3 ms  ✓ Logging
   1228.5 ms  ✓ UUIDs
   1223.8 ms  ✓ Unicode
   1331.7 ms  ✓ NetworkOptions
   1302.6 ms  ✓ MbedTLS_jll
   1377.8 ms  ✓ p7zip_jll
   1385.4 ms  ✓ Base64
    374.5 ms  ✓ LibSSH2_jll
    482.7 ms  ✓ Printf
    460.6 ms  ✓ LibCURL_jll
    497.5 ms  ✓ LibGit2_jll
   2351.1 ms  ✓ ArgTools
    655.7 ms  ✓ LibCURL
    638.8 ms  ✓ Tar
   2585.4 ms  ✓ Dates
   3090.4 ms  ✓ Markdown
   2456.1 ms  ✓ LibGit2
    481.9 ms  ✓ TOML
   3241.9 ms  ✓ Downloads
  44093.2 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1829.1 ms  ✓ ConcreteStructs
   1832.5 ms  ✓ IteratorInterfaceExtensions
   2021.5 ms  ✓ MuladdMacro
   2025.7 ms  ✓ SimpleUnPack
   2048.4 ms  ✓ CommonSolve
   2277.9 ms  ✓ OpenLibm_jll
   2319.6 ms  ✓ UnPack
   2461.0 ms  ✓ InverseFunctions
   2877.5 ms  ✓ Future
   2856.0 ms  ✓ Statistics
   2998.0 ms  ✓ ExprTools
   3082.3 ms  ✓ ADTypes
   3074.5 ms  ✓ Serialization
   3424.1 ms  ✓ FunctionWrappers
   2393.4 ms  ✓ ManualMemory
   2646.9 ms  ✓ SuiteSparse_jll
   2158.2 ms  ✓ EnumX
   1739.6 ms  ✓ SIMDTypes
   2804.0 ms  ✓ CompilerSupportLibraries_jll
   2150.8 ms  ✓ Reexport
   2527.2 ms  ✓ Requires
   4884.0 ms  ✓ FillArrays
   1896.4 ms  ✓ CompositionsBase
   2891.4 ms  ✓ OrderedCollections
   2835.7 ms  ✓ DocStringExtensions
   1802.6 ms  ✓ IfElse
   1940.2 ms  ✓ CommonWorldInvalidations
   1998.8 ms  ✓ FastClosures
   3804.0 ms  ✓ EnzymeCore
   2540.3 ms  ✓ StaticArraysCore
   3000.3 ms  ✓ ConstructionBase
   2849.5 ms  ✓ SciMLPublic
   4987.2 ms  ✓ IrrationalConstants
   8177.7 ms  ✓ ExproniconLite
   3206.5 ms  ✓ CpuId
   5134.7 ms  ✓ DifferentiationInterface
   3213.6 ms  ✓ Preferences
   2868.9 ms  ✓ Compat
   2565.7 ms  ✓ NaNMath
   2450.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3261.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2434.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2037.3 ms  ✓ FunctionWrappersWrappers
   5709.4 ms  ✓ GenericSchur
