nice: cannot set niceness: Permission denied
Precompiling packages...
   1681.1 ms  ✓ Zlib_jll
   1690.5 ms  ✓ NetworkOptions
   1696.4 ms  ✓ UUIDs
   1704.7 ms  ✓ Logging
   1708.6 ms  ✓ nghttp2_jll
   1726.0 ms  ✓ MozillaCACerts_jll
   1728.2 ms  ✓ p7zip_jll
   1731.2 ms  ✓ Base64
   1816.6 ms  ✓ OpenSSL_jll
   1806.1 ms  ✓ Unicode
    370.1 ms  ✓ LibSSH2_jll
    539.9 ms  ✓ Printf
    448.9 ms  ✓ LibGit2_jll
    447.0 ms  ✓ LibCURL_jll
   3173.1 ms  ✓ ArgTools
    749.1 ms  ✓ LibCURL
    637.9 ms  ✓ Tar
   2128.1 ms  ✓ Dates
   2214.8 ms  ✓ LibGit2
    439.3 ms  ✓ TOML
   2554.8 ms  ✓ Downloads
   8388.0 ms  ✓ StyledStrings
   1632.2 ms  ✓ JuliaSyntaxHighlighting
   3894.9 ms  ✓ Markdown
  46934.7 ms  ✓ Pkg
  25 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2426.0 ms  ✓ IteratorInterfaceExtensions
   2425.4 ms  ✓ Future
   2422.6 ms  ✓ UnPack
   2465.1 ms  ✓ ConcreteStructs
   2453.8 ms  ✓ OpenLibm_jll
   2560.4 ms  ✓ MuladdMacro
   2632.8 ms  ✓ SimpleUnPack
   2691.7 ms  ✓ CommonSolve
   2940.3 ms  ✓ InverseFunctions
   3404.7 ms  ✓ Statistics
   3727.7 ms  ✓ ExprTools
   4008.2 ms  ✓ Serialization
   4753.3 ms  ✓ ADTypes
   4817.9 ms  ✓ FunctionWrappers
   5147.0 ms  ✓ FillArrays
   2754.1 ms  ✓ ManualMemory
   2798.5 ms  ✓ CompilerSupportLibraries_jll
   2297.7 ms  ✓ SIMDTypes
   3031.9 ms  ✓ SuiteSparse_jll
   2926.6 ms  ✓ EnumX
   3040.8 ms  ✓ Reexport
   3463.8 ms  ✓ OrderedCollections
   2450.9 ms  ✓ CompositionsBase
   3204.6 ms  ✓ DocStringExtensions
   4100.8 ms  ✓ Requires
   2275.4 ms  ✓ IfElse
   2762.8 ms  ✓ FastPower
   2436.2 ms  ✓ CommonWorldInvalidations
   2563.9 ms  ✓ FastClosures
   3205.4 ms  ✓ EnzymeCore
   3310.1 ms  ✓ ConstructionBase
   8549.7 ms  ✓ ExproniconLite
   3100.0 ms  ✓ SciMLPublic
   3005.3 ms  ✓ StaticArraysCore
   3657.9 ms  ✓ Compat
