nice: cannot set niceness: Permission denied
Precompiling packages...
   1449.5 ms  ✓ MozillaCACerts_jll
   1523.5 ms  ✓ Logging
   1522.6 ms  ✓ Zlib_jll
   1561.0 ms  ✓ UUIDs
   1605.4 ms  ✓ nghttp2_jll
   1640.5 ms  ✓ OpenSSL_jll
   1626.2 ms  ✓ CompilerSupportLibraries_jll
   1705.1 ms  ✓ Unicode
   1746.1 ms  ✓ NetworkOptions
   1820.7 ms  ✓ Base64
    497.3 ms  ✓ LibSSH2_jll
    592.8 ms  ✓ p7zip_jll
    656.6 ms  ✓ Printf
    458.9 ms  ✓ LibGit2_jll
    462.4 ms  ✓ LibCURL_jll
   3164.0 ms  ✓ ArgTools
    750.3 ms  ✓ LibCURL
    643.1 ms  ✓ Tar
   2954.8 ms  ✓ Dates
   3008.9 ms  ✓ LibGit2
    526.8 ms  ✓ TOML
   2962.7 ms  ✓ Downloads
   9168.4 ms  ✓ StyledStrings
   1641.8 ms  ✓ JuliaSyntaxHighlighting
   3687.6 ms  ✓ Markdown
  46028.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2502.9 ms  ✓ UnPack
   2549.5 ms  ✓ SimpleUnPack
   2548.6 ms  ✓ IteratorInterfaceExtensions
   2614.0 ms  ✓ Future
   2617.8 ms  ✓ MuladdMacro
   2637.7 ms  ✓ OpenLibm_jll
   2650.3 ms  ✓ ConcreteStructs
   2812.8 ms  ✓ ExprTools
   2997.4 ms  ✓ CommonSolve
   3295.7 ms  ✓ InverseFunctions
   3989.6 ms  ✓ Statistics
   4300.5 ms  ✓ Serialization
   4350.2 ms  ✓ ADTypes
   2438.0 ms  ✓ SIMDTypes
   2659.0 ms  ✓ EnumX
   2957.0 ms  ✓ ManualMemory
   3009.4 ms  ✓ SuiteSparse_jll
   5546.1 ms  ✓ FillArrays
   2441.4 ms  ✓ CompositionsBase
   3529.5 ms  ✓ DocStringExtensions
   2501.4 ms  ✓ FastPower
   4900.4 ms  ✓ Requires
   2556.1 ms  ✓ IfElse
   2543.8 ms  ✓ CommonWorldInvalidations
   2603.5 ms  ✓ FastClosures
   3860.0 ms  ✓ EnzymeCore
   2960.4 ms  ✓ SciMLPublic
   2900.2 ms  ✓ StaticArraysCore
   3295.8 ms  ✓ LoggingExtras
   2093.4 ms  ✓ Reexport
  11613.9 ms  ✓ FunctionWrappers
