nice: cannot set niceness: Permission denied
Precompiling packages...
   1613.6 ms  ✓ UUIDs
   1613.5 ms  ✓ nghttp2_jll
   1636.1 ms  ✓ Logging
   1629.0 ms  ✓ Zlib_jll
   1704.3 ms  ✓ MozillaCACerts_jll
   1740.0 ms  ✓ NetworkOptions
   1767.5 ms  ✓ OpenSSL_jll
   1745.7 ms  ✓ Unicode
   1802.8 ms  ✓ CompilerSupportLibraries_jll
   1861.2 ms  ✓ Base64
    491.8 ms  ✓ LibSSH2_jll
    550.3 ms  ✓ p7zip_jll
    687.8 ms  ✓ Printf
    477.4 ms  ✓ LibCURL_jll
    479.8 ms  ✓ LibGit2_jll
   3208.1 ms  ✓ ArgTools
    773.0 ms  ✓ LibCURL
    640.8 ms  ✓ Tar
   2965.0 ms  ✓ Dates
   3044.7 ms  ✓ LibGit2
    449.6 ms  ✓ TOML
   2961.2 ms  ✓ Downloads
   9137.3 ms  ✓ StyledStrings
   1614.8 ms  ✓ JuliaSyntaxHighlighting
   3723.7 ms  ✓ Markdown
  46286.2 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2449.5 ms  ✓ IteratorInterfaceExtensions
   2549.7 ms  ✓ Future
   2635.9 ms  ✓ ExprTools
   2637.4 ms  ✓ MuladdMacro
   2649.1 ms  ✓ SimpleUnPack
   2646.4 ms  ✓ ConcreteStructs
   2641.6 ms  ✓ UnPack
   2729.9 ms  ✓ OpenLibm_jll
   2819.4 ms  ✓ CommonSolve
   3429.2 ms  ✓ InverseFunctions
   3818.1 ms  ✓ Statistics
   4131.6 ms  ✓ Serialization
   4340.3 ms  ✓ ADTypes
   5240.6 ms  ✓ FillArrays
   2684.7 ms  ✓ Reexport
   2785.5 ms  ✓ EnumX
   2706.3 ms  ✓ SIMDTypes
   3289.4 ms  ✓ SuiteSparse_jll
   3301.8 ms  ✓ ManualMemory
   2706.0 ms  ✓ CompositionsBase
   3806.6 ms  ✓ DocStringExtensions
   2607.7 ms  ✓ FastPower
   4895.8 ms  ✓ Requires
   2504.7 ms  ✓ IfElse
   2510.3 ms  ✓ CommonWorldInvalidations
   2587.4 ms  ✓ FastClosures
   4000.1 ms  ✓ EnzymeCore
   3095.9 ms  ✓ SciMLPublic
   3001.2 ms  ✓ StaticArraysCore
   3097.1 ms  ✓ LoggingExtras
   2506.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3773.1 ms  ✓ Preferences
  11737.5 ms  ✓ FunctionWrappers
   4278.7 ms  ✓ CpuId
   6406.4 ms  ✓ GenericSchur
   5205.6 ms  ✓ LazyArtifacts
   2699.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   9505.0 ms  ✓ ConstructionBase
   2607.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  16428.8 ms  ✓ ExproniconLite
   2796.7 ms  ✓ Adapt
   2389.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   9195.2 ms  ✓ NaNMath
  14604.7 ms  ✓ IrrationalConstants
  10376.6 ms  ✓ Compat
   2985.2 ms  ✓ DiffResults
  11392.4 ms  ✓ OrderedCollections
