nice: cannot set niceness: Permission denied
Precompiling packages...
    421.4 ms  ✓ CommonSolve
    424.1 ms  ✓ Reexport
    551.8 ms  ✓ ConstructionBase
    501.3 ms  ✓ StaticArraysCore
    601.6 ms  ✓ Statistics
   1346.4 ms  ✓ IrrationalConstants
    465.3 ms  ✓ IfElse
   1050.6 ms  ✓ SuiteSparse_jll
    747.7 ms  ✓ EnzymeCore
    537.8 ms  ✓ ManualMemory
    458.4 ms  ✓ CommonWorldInvalidations
    447.5 ms  ✓ Future
   1064.0 ms  ✓ SciMLPublic
    431.3 ms  ✓ FastPower
    537.0 ms  ✓ InverseFunctions
    447.1 ms  ✓ CompositionsBase
    463.5 ms  ✓ MuladdMacro
    485.8 ms  ✓ EnumX
    780.8 ms  ✓ OpenLibm_jll
    492.5 ms  ✓ ExprTools
   2331.5 ms  ✓ ExproniconLite
   1069.9 ms  ✓ FillArrays
    468.6 ms  ✓ ConcreteStructs
    675.4 ms  ✓ OrderedCollections
    701.2 ms  ✓ ADTypes
    730.3 ms  ✓ Serialization
    708.1 ms  ✓ DocStringExtensions
    564.4 ms  ✓ FastClosures
    571.4 ms  ✓ SIMDTypes
    543.0 ms  ✓ IteratorInterfaceExtensions
   5899.6 ms  ✓ MacroTools
    803.9 ms  ✓ Requires
    795.7 ms  ✓ CpuId
   1305.1 ms  ✓ GenericSchur
    549.3 ms  ✓ LoggingExtras
    603.7 ms  ✓ Compat
   1423.6 ms  ✓ InteractiveUtils
    485.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    544.9 ms  ✓ DiffResults
    980.9 ms  ✓ LazyArtifacts
   4141.0 ms  ✓ FunctionWrappers
    472.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    462.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    555.5 ms  ✓ NaNMath
   1300.1 ms  ✓ ThreadingUtilities
   2354.3 ms  ✓ Preferences
    533.8 ms  ✓ FillArrays → FillArraysStatisticsExt
    419.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    421.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1110.3 ms  ✓ DifferentiationInterface
   1996.5 ms  ✓ Jieko
   1817.1 ms  ✓ DataStructures
    453.1 ms  ✓ RuntimeGeneratedFunctions
    573.0 ms  ✓ CommonSubexpressions
    691.1 ms  ✓ LogExpFunctions
    656.4 ms  ✓ Adapt
    560.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2862.5 ms  ✓ Distributed
   4413.2 ms  ✓ TimerOutputs
    758.8 ms  ✓ ArrayInterface
    456.3 ms  ✓ PrecompileTools
    574.8 ms  ✓ JLLWrappers
   1750.8 ms  ✓ Setfield
    643.0 ms  ✓ SciMLLogging
    607.8 ms  ✓ TruncatedStacktraces
    425.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    593.3 ms  ✓ GPUArraysCore
    470.9 ms  ✓ EnzymeCore → AdaptExt
   4510.8 ms  ✓ SparseArrays
    502.8 ms  ✓ FunctionWrappersWrappers
    494.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2644.4 ms  ✓ Accessors
    469.6 ms  ✓ SciMLStructures
    781.9 ms  ✓ MaybeInplace
   1497.2 ms  ✓ ChainRulesCore
    906.6 ms  ✓ PreallocationTools
   2023.0 ms  ✓ RecipesBase
    715.7 ms  ✓ OpenSpecFun_jll
   1097.9 ms  ✓ IntelOpenMP_jll
   1183.2 ms  ✓ oneTBB_jll
    449.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    451.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    597.5 ms  ✓ Statistics → SparseArraysExt
    665.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
    628.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    700.8 ms  ✓ Adapt → AdaptSparseArraysExt
    753.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
  10608.8 ms  ✓ Moshi
    693.9 ms  ✓ FiniteDiff
    583.5 ms  ✓ Accessors → LinearAlgebraExt
    714.2 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   7743.3 ms  ✓ Krylov
    777.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    532.9 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
    591.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
    535.5 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   1597.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1694.7 ms  ✓ MKL_jll
  15809.0 ms  ✓ StaticArrays
   3163.5 ms  ✓ SpecialFunctions
    704.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
    623.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  10012.7 ms  ✓ SparseMatrixColorings
   1197.9 ms  ✓ SymbolicIndexingInterface
    611.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1882.2 ms  ✓ SciMLOperators
    632.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
    620.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    721.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    700.0 ms  ✓ Adapt → AdaptStaticArraysExt
    749.0 ms  ✓ Accessors → StaticArraysExt
    743.0 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   1845.3 ms  ✓ FastGaussQuadrature
   2220.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
    804.8 ms  ✓ DiffRules
    929.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
    560.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    838.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   2110.5 ms  ✓ RecursiveArrayTools
    848.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  27100.7 ms  ✓ Static
    482.3 ms  ✓ BitTwiddlingConvenienceFunctions
   4230.5 ms  ✓ ForwardDiff
   1034.8 ms  ✓ CPUSummary
    682.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    488.2 ms  ✓ FastPower → FastPowerForwardDiffExt
  12461.4 ms  ✓ ArrayLayouts
    654.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    556.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    607.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    641.2 ms  ✓ PolyesterWeave
   1187.1 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
    866.0 ms  ✓ NLSolversBase
   1030.4 ms  ✓ LineSearches
   8389.8 ms  ✓ SciMLBase
    823.3 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1135.7 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2798.6 ms  ✓ LazyArrays
    752.7 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1189.2 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   2360.9 ms  ✓ SciMLJacobianOperators
   4056.7 ms  ✓ LineSearch
   1274.3 ms  ✓ LineSearch → LineSearchLineSearchesExt
   6875.8 ms  ✓ NonlinearSolveBase
   1508.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1696.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  31863.4 ms  ✓ ExponentialUtilities
   1067.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   1023.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
  19528.4 ms  ✓ StaticArrayInterface
   1583.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1985.5 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
    825.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
    623.8 ms  ✓ CloseOpenIntervals
    697.0 ms  ✓ LayoutPointers
  14000.9 ms  ✓ LinearSolve
    804.7 ms  ✓ StrideArraysCore
