nice: cannot set niceness: Permission denied
Precompiling packages...
   1499.2 ms  ✓ Unicode
   1609.8 ms  ✓ OpenSSL_jll
   1587.3 ms  ✓ UUIDs
   1691.9 ms  ✓ Logging
   1691.5 ms  ✓ CompilerSupportLibraries_jll
   1694.6 ms  ✓ MozillaCACerts_jll
   1694.0 ms  ✓ nghttp2_jll
   1691.3 ms  ✓ Zlib_jll
   1857.4 ms  ✓ NetworkOptions
   1923.9 ms  ✓ Base64
    605.3 ms  ✓ LibSSH2_jll
    641.3 ms  ✓ p7zip_jll
    852.9 ms  ✓ Printf
    489.5 ms  ✓ LibGit2_jll
    488.0 ms  ✓ LibCURL_jll
   3274.2 ms  ✓ ArgTools
    753.8 ms  ✓ LibCURL
    632.0 ms  ✓ Tar
   2971.7 ms  ✓ Dates
   3030.5 ms  ✓ LibGit2
    437.6 ms  ✓ TOML
   2982.1 ms  ✓ Downloads
   9302.4 ms  ✓ StyledStrings
   1668.5 ms  ✓ JuliaSyntaxHighlighting
   3719.6 ms  ✓ Markdown
  46117.0 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2363.6 ms  ✓ Future
   2364.4 ms  ✓ IteratorInterfaceExtensions
   2374.5 ms  ✓ ConcreteStructs
   2574.6 ms  ✓ OpenLibm_jll
   2685.6 ms  ✓ ExprTools
   2774.5 ms  ✓ MuladdMacro
   3055.0 ms  ✓ InverseFunctions
   3048.2 ms  ✓ CommonSolve
   3245.1 ms  ✓ SuiteSparse_jll
   3556.6 ms  ✓ Statistics
   4070.1 ms  ✓ ADTypes
   4080.2 ms  ✓ Serialization
   2800.3 ms  ✓ ManualMemory
   2395.8 ms  ✓ SIMDTypes
   2596.1 ms  ✓ Reexport
   2781.1 ms  ✓ EnumX
   5579.1 ms  ✓ FillArrays
   2699.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2798.7 ms  ✓ CompositionsBase
   2607.9 ms  ✓ FastPower
