nice: cannot set niceness: Permission denied
Precompiling packages...
   1485.1 ms  ✓ CompilerSupportLibraries_jll
   1509.1 ms  ✓ Logging
   1533.2 ms  ✓ UUIDs
   1793.5 ms  ✓ Unicode
   1889.9 ms  ✓ NetworkOptions
   1829.8 ms  ✓ Zlib_jll
   2019.3 ms  ✓ OpenSSL_jll
   2045.4 ms  ✓ MozillaCACerts_jll
   2038.4 ms  ✓ nghttp2_jll
   2167.9 ms  ✓ Base64
   1159.4 ms  ✓ p7zip_jll
    775.5 ms  ✓ LibSSH2_jll
   1148.9 ms  ✓ Printf
    680.6 ms  ✓ LibGit2_jll
    813.0 ms  ✓ LibCURL_jll
   4213.2 ms  ✓ ArgTools
   1081.6 ms  ✓ LibCURL
    946.8 ms  ✓ Tar
   4784.1 ms  ✓ LibGit2
   5249.0 ms  ✓ Dates
    825.4 ms  ✓ TOML
   5538.8 ms  ✓ Downloads
  16908.9 ms  ✓ StyledStrings
   3027.7 ms  ✓ JuliaSyntaxHighlighting
   8360.9 ms  ✓ Markdown
  80781.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 109 seconds
Precompiling packages...
   2096.8 ms  ✓ MuladdMacro
   2344.4 ms  ✓ ExprTools
   2339.8 ms  ✓ Future
   2457.4 ms  ✓ OpenLibm_jll
   2452.7 ms  ✓ InverseFunctions
   2709.9 ms  ✓ CommonSolve
   2787.1 ms  ✓ IteratorInterfaceExtensions
   3574.2 ms  ✓ ConcreteStructs
   3562.5 ms  ✓ Serialization
   3698.9 ms  ✓ SuiteSparse_jll
   3977.6 ms  ✓ ADTypes
   4327.8 ms  ✓ Statistics
   2493.7 ms  ✓ ManualMemory
   2704.0 ms  ✓ Reexport
   5182.1 ms  ✓ FillArrays
   2901.6 ms  ✓ EnumX
   2702.2 ms  ✓ SIMDTypes
   2796.1 ms  ✓ DocStringExtensions
   2702.3 ms  ✓ FastPower
   2967.1 ms  ✓ CompositionsBase
   2725.5 ms  ✓ IfElse
   3281.5 ms  ✓ EnzymeCore
   2450.7 ms  ✓ CommonWorldInvalidations
   2489.2 ms  ✓ FastClosures
   2786.7 ms  ✓ SciMLPublic
   8902.8 ms  ✓ FunctionWrappers
   3580.9 ms  ✓ StaticArraysCore
   3213.6 ms  ✓ LoggingExtras
   3963.9 ms  ✓ CpuId
   2421.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   6014.3 ms  ✓ GenericSchur
   4573.6 ms  ✓ Preferences
   4892.7 ms  ✓ LazyArtifacts
   8518.0 ms  ✓ ConstructionBase
  10863.2 ms  ✓ OrderedCollections
   5110.1 ms  ✓ Requires
   2098.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  15485.9 ms  ✓ ExproniconLite
   2373.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3007.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   2489.8 ms  ✓ FunctionWrappersWrappers
   8881.2 ms  ✓ NaNMath
   2419.6 ms  ✓ PrecompileTools
  10943.1 ms  ✓ Compat
  15021.5 ms  ✓ IrrationalConstants
   3483.5 ms  ✓ DiffResults
   3151.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3510.6 ms  ✓ SciMLLogging
   3848.4 ms  ✓ JLLWrappers
  20407.4 ms  ✓ MacroTools
   2768.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  14747.6 ms  ✓ InteractiveUtils
   2708.5 ms  ✓ Compat → CompatLinearAlgebraExt
   3114.0 ms  ✓ Adapt
  10930.5 ms  ✓ RuntimeGeneratedFunctions
  21509.0 ms  ✓ TimerOutputs
   2885.9 ms  ✓ CommonSubexpressions
   3306.1 ms  ✓ OpenSpecFun_jll
   4263.5 ms  ✓ LogExpFunctions
  14032.7 ms  ✓ ThreadingUtilities
  14306.9 ms  ✓ DifferentiationInterface
   7111.9 ms  ✓ IntelOpenMP_jll
  18043.5 ms  ✓ Distributed
   9990.0 ms  ✓ DataStructures
   3092.3 ms  ✓ EnzymeCore → AdaptExt
  10349.4 ms  ✓ RecipesBase
   8092.4 ms  ✓ oneTBB_jll
   3739.9 ms  ✓ GPUArraysCore
