nice: cannot set niceness: Permission denied
Precompiling packages...
   1601.7 ms  ✓ Logging
   1605.7 ms  ✓ UUIDs
   1603.0 ms  ✓ MozillaCACerts_jll
   1654.7 ms  ✓ OpenSSL_jll
   1623.0 ms  ✓ nghttp2_jll
   1701.1 ms  ✓ Zlib_jll
   1709.9 ms  ✓ NetworkOptions
   1739.2 ms  ✓ CompilerSupportLibraries_jll
   1736.7 ms  ✓ Unicode
   1833.0 ms  ✓ Base64
    538.5 ms  ✓ LibSSH2_jll
    590.8 ms  ✓ p7zip_jll
    690.7 ms  ✓ Printf
    498.0 ms  ✓ LibGit2_jll
    496.5 ms  ✓ LibCURL_jll
   3190.7 ms  ✓ ArgTools
    776.4 ms  ✓ LibCURL
    634.2 ms  ✓ Tar
   2897.8 ms  ✓ Dates
   2969.9 ms  ✓ LibGit2
    442.9 ms  ✓ TOML
   2972.9 ms  ✓ Downloads
   9045.7 ms  ✓ StyledStrings
   1653.9 ms  ✓ JuliaSyntaxHighlighting
   3663.5 ms  ✓ Markdown
  45432.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 60 seconds
Precompiling packages...
   2473.9 ms  ✓ IteratorInterfaceExtensions
   2492.3 ms  ✓ MuladdMacro
   2584.3 ms  ✓ Future
   2632.9 ms  ✓ CommonSolve
   2667.7 ms  ✓ OpenLibm_jll
   2782.4 ms  ✓ ConcreteStructs
   3063.0 ms  ✓ SuiteSparse_jll
   3082.0 ms  ✓ InverseFunctions
   3281.1 ms  ✓ ExprTools
   3578.0 ms  ✓ Statistics
   3969.5 ms  ✓ Serialization
   4274.5 ms  ✓ ADTypes
   2496.1 ms  ✓ Reexport
   2394.5 ms  ✓ SIMDTypes
   2824.0 ms  ✓ EnumX
   2999.0 ms  ✓ ManualMemory
   5479.1 ms  ✓ FillArrays
   2793.9 ms  ✓ CompositionsBase
   2783.2 ms  ✓ FastPower
   3699.2 ms  ✓ DocStringExtensions
   2514.0 ms  ✓ IfElse
   2498.1 ms  ✓ CommonWorldInvalidations
   5097.7 ms  ✓ Requires
   3774.8 ms  ✓ EnzymeCore
   2608.0 ms  ✓ FastClosures
   3100.1 ms  ✓ StaticArraysCore
   3197.7 ms  ✓ SciMLPublic
   3310.0 ms  ✓ LoggingExtras
   2388.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4313.1 ms  ✓ CpuId
   3799.5 ms  ✓ Preferences
  11491.1 ms  ✓ FunctionWrappers
   6102.9 ms  ✓ GenericSchur
   5338.0 ms  ✓ LazyArtifacts
  10703.9 ms  ✓ OrderedCollections
   8804.4 ms  ✓ ConstructionBase
   2494.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   2596.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2916.7 ms  ✓ Adapt
  16584.4 ms  ✓ ExproniconLite
   2797.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
  13691.5 ms  ✓ IrrationalConstants
   8987.6 ms  ✓ NaNMath
   2598.3 ms  ✓ DiffResults
  10795.7 ms  ✓ Compat
   3201.9 ms  ✓ JLLWrappers
   2800.7 ms  ✓ PrecompileTools
   2401.6 ms  ✓ FunctionWrappersWrappers
   2403.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  19465.4 ms  ✓ MacroTools
   2506.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3496.1 ms  ✓ SciMLLogging
  10096.7 ms  ✓ RuntimeGeneratedFunctions
   2505.4 ms  ✓ EnzymeCore → AdaptExt
  14983.7 ms  ✓ InteractiveUtils
   2491.2 ms  ✓ Compat → CompatLinearAlgebraExt
   3590.3 ms  ✓ GPUArraysCore
   3717.0 ms  ✓ LogExpFunctions
  11778.8 ms  ✓ ThreadingUtilities
  12405.8 ms  ✓ DifferentiationInterface
   3504.0 ms  ✓ CommonSubexpressions
   6803.8 ms  ✓ IntelOpenMP_jll
   9901.2 ms  ✓ DataStructures
   5301.7 ms  ✓ OpenSpecFun_jll
  17487.2 ms  ✓ Distributed
  19211.2 ms  ✓ TimerOutputs
   7805.6 ms  ✓ oneTBB_jll
   4516.4 ms  ✓ TruncatedStacktraces
   9304.9 ms  ✓ Jieko
   2391.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  10606.7 ms  ✓ ArrayInterface
   2564.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2178.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2185.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   8198.6 ms  ✓ Setfield
   9710.3 ms  ✓ RecipesBase
   2691.7 ms  ✓ MaybeInplace
   5281.7 ms  ✓ MKL_jll
   2104.9 ms  ✓ FiniteDiff
   4995.6 ms  ✓ PreallocationTools
  23128.3 ms  ✓ SparseArrays
   2385.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  10502.2 ms  ✓ ChainRulesCore
   7655.8 ms  ✓ SciMLStructures
  10487.1 ms  ✓ SpecialFunctions
   3343.2 ms  ✓ Adapt → AdaptSparseArraysExt
   3396.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3472.7 ms  ✓ Statistics → SparseArraysExt
  14319.8 ms  ✓ Accessors
   3683.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3921.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3914.1 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3393.9 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2717.1 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2501.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2562.8 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   2781.1 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   3079.2 ms  ✓ DiffRules
   2098.7 ms  ✓ Accessors → LinearAlgebraExt
   5602.3 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  22409.3 ms  ✓ Static
   8491.8 ms  ✓ NLSolversBase
   8243.3 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   7488.7 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1798.7 ms  ✓ BitTwiddlingConvenienceFunctions
   3510.5 ms  ✓ CPUSummary
   7701.1 ms  ✓ SymbolicIndexingInterface
   8525.0 ms  ✓ SciMLOperators
   2286.9 ms  ✓ PolyesterWeave
   5899.2 ms  ✓ LineSearches
   1502.9 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1990.4 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  34592.8 ms  ✓ StaticArrays
  15009.4 ms  ✓ ForwardDiff
  23605.4 ms  ✓ SparseMatrixColorings
   3196.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3384.3 ms  ✓ Adapt → AdaptStaticArraysExt
   3591.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4002.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
   4088.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4273.8 ms  ✓ Accessors → StaticArraysExt
   4300.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2722.6 ms  ✓ FastPower → FastPowerForwardDiffExt
   4705.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  27183.3 ms  ✓ Krylov
   7681.4 ms  ✓ FastGaussQuadrature
   4007.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   4840.4 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   8297.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  35959.1 ms  ✓ Moshi
   5746.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  16850.4 ms  ✓ RecursiveArrayTools
    560.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    605.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    725.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  31401.0 ms  ✓ StaticArrayInterface
    506.2 ms  ✓ CloseOpenIntervals
    872.7 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
    875.7 ms  ✓ LayoutPointers
   1991.5 ms  ✓ StrideArraysCore
   1152.8 ms  ✓ Polyester
    727.3 ms  ✓ FastBroadcast
  42765.2 ms  ✓ ExponentialUtilities
    611.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  15826.9 ms  ✓ SciMLBase
   1620.2 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
