nice: cannot set niceness: Permission denied
Precompiling packages...
   1590.1 ms  ✓ MozillaCACerts_jll
   1638.8 ms  ✓ OpenSSL_jll
   1605.3 ms  ✓ UUIDs
   1613.0 ms  ✓ NetworkOptions
   1617.7 ms  ✓ Logging
   1706.3 ms  ✓ nghttp2_jll
   1708.2 ms  ✓ Zlib_jll
   1727.9 ms  ✓ Unicode
   1796.7 ms  ✓ CompilerSupportLibraries_jll
   1812.5 ms  ✓ Base64
    541.7 ms  ✓ LibSSH2_jll
    587.8 ms  ✓ p7zip_jll
    705.0 ms  ✓ Printf
    507.6 ms  ✓ LibGit2_jll
    506.0 ms  ✓ LibCURL_jll
   3229.4 ms  ✓ ArgTools
    764.0 ms  ✓ LibCURL
    639.4 ms  ✓ Tar
   2916.3 ms  ✓ Dates
   2959.7 ms  ✓ LibGit2
    433.7 ms  ✓ TOML
   2972.0 ms  ✓ Downloads
   9130.0 ms  ✓ StyledStrings
   1642.8 ms  ✓ JuliaSyntaxHighlighting
   3632.6 ms  ✓ Markdown
  45528.0 ms  ✓ Pkg
  26 dependencies successfully precompiled in 60 seconds
Precompiling packages...
   2432.8 ms  ✓ IteratorInterfaceExtensions
   2445.1 ms  ✓ MuladdMacro
   2517.0 ms  ✓ Future
   2509.1 ms  ✓ CommonSolve
   2810.3 ms  ✓ OpenLibm_jll
   2917.7 ms  ✓ ConcreteStructs
   2932.4 ms  ✓ InverseFunctions
   2942.6 ms  ✓ ExprTools
   3229.3 ms  ✓ Statistics
   3222.6 ms  ✓ SuiteSparse_jll
   4031.0 ms  ✓ Serialization
   4120.0 ms  ✓ ADTypes
   2512.4 ms  ✓ EnumX
   2327.8 ms  ✓ SIMDTypes
   2504.6 ms  ✓ Reexport
   5333.5 ms  ✓ FillArrays
   2988.8 ms  ✓ ManualMemory
   2700.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2597.5 ms  ✓ CompositionsBase
   2523.8 ms  ✓ FastPower
   3494.1 ms  ✓ DocStringExtensions
   4113.4 ms  ✓ Requires
   2817.3 ms  ✓ IfElse
   2492.6 ms  ✓ CommonWorldInvalidations
   2613.2 ms  ✓ FastClosures
   3907.9 ms  ✓ EnzymeCore
   3098.1 ms  ✓ StaticArraysCore
   3203.5 ms  ✓ SciMLPublic
   2888.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3500.3 ms  ✓ LoggingExtras
   3794.0 ms  ✓ Preferences
   4199.6 ms  ✓ CpuId
   5923.5 ms  ✓ GenericSchur
  11647.6 ms  ✓ FunctionWrappers
  10180.5 ms  ✓ OrderedCollections
   5293.9 ms  ✓ LazyArtifacts
   2604.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   8999.4 ms  ✓ ConstructionBase
   2816.0 ms  ✓ Adapt
   2408.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2580.0 ms  ✓ DiffResults
   8607.0 ms  ✓ NaNMath
  16613.7 ms  ✓ ExproniconLite
  10401.5 ms  ✓ Compat
   3504.4 ms  ✓ JLLWrappers
   2573.9 ms  ✓ PrecompileTools
   2210.7 ms  ✓ FunctionWrappersWrappers
   8899.2 ms  ✓ RuntimeGeneratedFunctions
   2697.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2373.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2226.3 ms  ✓ EnzymeCore → AdaptExt
   3282.6 ms  ✓ GPUArraysCore
  20907.6 ms  ✓ MacroTools
  13371.2 ms  ✓ IrrationalConstants
   3814.7 ms  ✓ SciMLLogging
   3006.3 ms  ✓ Compat → CompatLinearAlgebraExt
  12289.5 ms  ✓ DifferentiationInterface
  11302.2 ms  ✓ ThreadingUtilities
   4089.3 ms  ✓ OpenSpecFun_jll
  13570.0 ms  ✓ InteractiveUtils
   2913.5 ms  ✓ CommonSubexpressions
   8775.2 ms  ✓ DataStructures
  17503.6 ms  ✓ Distributed
  11175.1 ms  ✓ ArrayInterface
   6681.7 ms  ✓ oneTBB_jll
   2297.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   7999.9 ms  ✓ IntelOpenMP_jll
  20416.0 ms  ✓ TimerOutputs
   3701.6 ms  ✓ TruncatedStacktraces
   2485.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
  11078.9 ms  ✓ Jieko
   6828.1 ms  ✓ Setfield
   8626.3 ms  ✓ RecipesBase
   3023.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3718.5 ms  ✓ MaybeInplace
   5528.9 ms  ✓ LogExpFunctions
  22990.0 ms  ✓ SparseArrays
   1498.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2600.2 ms  ✓ FiniteDiff
   6333.1 ms  ✓ PreallocationTools
   5994.4 ms  ✓ MKL_jll
   3314.1 ms  ✓ Statistics → SparseArraysExt
   3381.3 ms  ✓ Adapt → AdaptSparseArraysExt
   3297.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3515.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3073.2 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2396.7 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   9009.8 ms  ✓ SciMLStructures
  11403.0 ms  ✓ ChainRulesCore
   2779.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2989.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  15700.7 ms  ✓ Accessors
   2296.3 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2301.5 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2418.0 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   2593.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
