nice: cannot set niceness: Permission denied
Precompiling packages...
   1520.4 ms  ✓ OpenSSL_jll
   1576.1 ms  ✓ Unicode
   1589.4 ms  ✓ MozillaCACerts_jll
   1603.0 ms  ✓ UUIDs
   1683.9 ms  ✓ nghttp2_jll
   1691.8 ms  ✓ Logging
   1698.3 ms  ✓ NetworkOptions
   1699.9 ms  ✓ Zlib_jll
   1716.4 ms  ✓ CompilerSupportLibraries_jll
   1916.8 ms  ✓ Base64
    651.4 ms  ✓ LibSSH2_jll
    614.2 ms  ✓ p7zip_jll
    756.8 ms  ✓ Printf
    485.2 ms  ✓ LibCURL_jll
    493.7 ms  ✓ LibGit2_jll
    752.0 ms  ✓ LibCURL
   3380.6 ms  ✓ ArgTools
    628.4 ms  ✓ Tar
   2932.8 ms  ✓ Dates
   3063.7 ms  ✓ LibGit2
    498.7 ms  ✓ TOML
   3110.0 ms  ✓ Downloads
   9297.0 ms  ✓ StyledStrings
   1627.9 ms  ✓ JuliaSyntaxHighlighting
   3768.6 ms  ✓ Markdown
  46601.6 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2406.5 ms  ✓ IteratorInterfaceExtensions
   2511.5 ms  ✓ ConcreteStructs
   2509.7 ms  ✓ OpenLibm_jll
   2609.3 ms  ✓ CommonSolve
   2702.6 ms  ✓ MuladdMacro
   2715.2 ms  ✓ Future
   3010.4 ms  ✓ ExprTools
   3197.8 ms  ✓ InverseFunctions
   3373.6 ms  ✓ SuiteSparse_jll
   3762.7 ms  ✓ Statistics
   3996.7 ms  ✓ Serialization
   4208.6 ms  ✓ ADTypes
   2411.9 ms  ✓ Reexport
   2803.5 ms  ✓ ManualMemory
   5272.7 ms  ✓ FillArrays
   2690.6 ms  ✓ SIMDTypes
   2799.9 ms  ✓ CompositionsBase
   2522.3 ms  ✓ FastPower
   2482.0 ms  ✓ IfElse
   3692.4 ms  ✓ DocStringExtensions
   4704.1 ms  ✓ Requires
   2441.1 ms  ✓ FastClosures
   2597.4 ms  ✓ CommonWorldInvalidations
   3898.4 ms  ✓ EnzymeCore
   3096.6 ms  ✓ SciMLPublic
   3023.4 ms  ✓ StaticArraysCore
   3216.3 ms  ✓ LoggingExtras
   2407.9 ms  ✓ EnumX
   3681.9 ms  ✓ Preferences
   4211.4 ms  ✓ CpuId
  12080.3 ms  ✓ FunctionWrappers
   2507.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   6207.2 ms  ✓ GenericSchur
   9995.4 ms  ✓ NaNMath
  10295.5 ms  ✓ OrderedCollections
   5214.3 ms  ✓ LazyArtifacts
   2382.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2706.1 ms  ✓ FillArrays → FillArraysStatisticsExt
  10182.0 ms  ✓ ConstructionBase
   2600.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3209.8 ms  ✓ Adapt
  16604.9 ms  ✓ ExproniconLite
   2542.3 ms  ✓ DiffResults
  14503.7 ms  ✓ IrrationalConstants
   2705.8 ms  ✓ PrecompileTools
  10484.1 ms  ✓ Compat
   3496.1 ms  ✓ JLLWrappers
   2798.0 ms  ✓ FunctionWrappersWrappers
   4194.1 ms  ✓ SciMLLogging
   2494.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2502.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  20284.6 ms  ✓ MacroTools
  14615.6 ms  ✓ InteractiveUtils
   3299.4 ms  ✓ GPUArraysCore
   9991.3 ms  ✓ RuntimeGeneratedFunctions
   3094.1 ms  ✓ EnzymeCore → AdaptExt
   3792.6 ms  ✓ LogExpFunctions
   2595.1 ms  ✓ Compat → CompatLinearAlgebraExt
  12324.0 ms  ✓ DifferentiationInterface
  12193.8 ms  ✓ ThreadingUtilities
   3699.5 ms  ✓ OpenSpecFun_jll
   9895.2 ms  ✓ DataStructures
   3408.4 ms  ✓ CommonSubexpressions
   3700.4 ms  ✓ TruncatedStacktraces
   2901.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  10903.9 ms  ✓ ArrayInterface
   7313.0 ms  ✓ IntelOpenMP_jll
  18203.7 ms  ✓ Distributed
  11102.1 ms  ✓ Jieko
   9787.3 ms  ✓ RecipesBase
   3086.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
  21193.1 ms  ✓ TimerOutputs
   8910.5 ms  ✓ oneTBB_jll
   6780.2 ms  ✓ Setfield
   2189.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2322.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2889.0 ms  ✓ MaybeInplace
   1903.9 ms  ✓ FiniteDiff
   4228.6 ms  ✓ PreallocationTools
   1332.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   4206.2 ms  ✓ MKL_jll
  23535.1 ms  ✓ SparseArrays
   6089.1 ms  ✓ SciMLStructures
  11001.1 ms  ✓ ChainRulesCore
   3422.1 ms  ✓ Adapt → AdaptSparseArraysExt
   3491.5 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3639.7 ms  ✓ Statistics → SparseArraysExt
   3616.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3494.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   3741.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3904.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
  15007.3 ms  ✓ Accessors
  12190.8 ms  ✓ SpecialFunctions
   2098.2 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   2410.1 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2416.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2700.1 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2318.3 ms  ✓ Accessors → LinearAlgebraExt
   2505.0 ms  ✓ DiffRules
   9675.5 ms  ✓ NLSolversBase
  24695.8 ms  ✓ Static
   6790.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   8808.3 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2292.5 ms  ✓ BitTwiddlingConvenienceFunctions
   7298.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3714.9 ms  ✓ CPUSummary
   1781.1 ms  ✓ PolyesterWeave
   8806.1 ms  ✓ SymbolicIndexingInterface
   7001.8 ms  ✓ LineSearches
   9474.7 ms  ✓ SciMLOperators
  33111.0 ms  ✓ StaticArrays
   2402.3 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3997.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3387.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3418.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3429.2 ms  ✓ Adapt → AdaptStaticArraysExt
   3572.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3500.8 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3669.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3494.7 ms  ✓ Accessors → StaticArraysExt
   5926.3 ms  ✓ FastGaussQuadrature
  18187.1 ms  ✓ ForwardDiff
  26423.4 ms  ✓ SparseMatrixColorings
   8475.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3311.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  30044.6 ms  ✓ Krylov
   3803.7 ms  ✓ FastPower → FastPowerForwardDiffExt
   4189.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   6602.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   8824.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  40109.0 ms  ✓ Moshi
  25274.2 ms  ✓ StaticArrayInterface
    731.7 ms  ✓ CloseOpenIntervals
   1110.7 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   1134.6 ms  ✓ LayoutPointers
  20871.0 ms  ✓ RecursiveArrayTools
    603.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    653.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    745.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    870.1 ms  ✓ StrideArraysCore
    641.2 ms  ✓ Polyester
    631.6 ms  ✓ FastBroadcast
    604.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  43602.0 ms  ✓ ExponentialUtilities
  11634.4 ms  ✓ SciMLBase
   1746.5 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
    894.6 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    966.2 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1845.6 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3190.3 ms  ✓ SciMLJacobianOperators
   3908.6 ms  ✓ LineSearch
   8454.4 ms  ✓ LinearSolve
   1568.2 ms  ✓ LineSearch → LineSearchLineSearchesExt
   7110.0 ms  ✓ NonlinearSolveBase
