nice: cannot set niceness: Permission denied
Precompiling packages...
   1460.8 ms  ✓ OpenSSL_jll
   1449.9 ms  ✓ nghttp2_jll
   1522.0 ms  ✓ MozillaCACerts_jll
   1536.1 ms  ✓ NetworkOptions
   1571.7 ms  ✓ Logging
   1587.0 ms  ✓ UUIDs
   1591.9 ms  ✓ Unicode
   1620.8 ms  ✓ Base64
   1742.8 ms  ✓ CompilerSupportLibraries_jll
   1805.8 ms  ✓ Zlib_jll
    665.3 ms  ✓ LibSSH2_jll
    927.2 ms  ✓ Printf
    878.2 ms  ✓ p7zip_jll
    659.3 ms  ✓ LibCURL_jll
    724.2 ms  ✓ LibGit2_jll
   3888.8 ms  ✓ ArgTools
   1349.2 ms  ✓ LibCURL
    838.2 ms  ✓ Tar
   4400.7 ms  ✓ Dates
   4203.2 ms  ✓ LibGit2
    535.9 ms  ✓ TOML
   4235.7 ms  ✓ Downloads
  12019.7 ms  ✓ StyledStrings
   2105.4 ms  ✓ JuliaSyntaxHighlighting
   4921.9 ms  ✓ Markdown
  71946.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 91 seconds
Precompiling packages...
   1494.8 ms  ✓ Future
   1679.4 ms  ✓ MuladdMacro
   1866.0 ms  ✓ CommonSolve
   1906.3 ms  ✓ OpenLibm_jll
   2192.3 ms  ✓ ConcreteStructs
   2602.4 ms  ✓ IteratorInterfaceExtensions
   2664.3 ms  ✓ Statistics
   2794.2 ms  ✓ ADTypes
   2877.1 ms  ✓ Serialization
   2948.6 ms  ✓ ExprTools
   3187.3 ms  ✓ InverseFunctions
   3487.4 ms  ✓ SuiteSparse_jll
   2099.6 ms  ✓ ManualMemory
   1085.1 ms  ✓ SIMDTypes
   2171.8 ms  ✓ EnumX
   2127.4 ms  ✓ Reexport
   1745.5 ms  ✓ FastPower
   2569.9 ms  ✓ DocStringExtensions
   2598.7 ms  ✓ CompositionsBase
   5866.5 ms  ✓ FillArrays
   2418.6 ms  ✓ CommonWorldInvalidations
   2729.0 ms  ✓ IfElse
   2269.8 ms  ✓ SciMLPublic
   4795.8 ms  ✓ Requires
   2727.6 ms  ✓ FastClosures
   3095.8 ms  ✓ StaticArraysCore
   2403.3 ms  ✓ LoggingExtras
