nice: cannot set niceness: Permission denied
Precompiling packages...
   2027.3 ms  ✓ MuladdMacro
   2032.2 ms  ✓ ConcreteStructs
   2002.2 ms  ✓ CommonSolve
   2032.1 ms  ✓ IteratorInterfaceExtensions
   2039.6 ms  ✓ LazyArtifacts
   2040.9 ms  ✓ OpenLibm_jll
   2139.5 ms  ✓ ExprTools
   2119.6 ms  ✓ CompilerSupportLibraries_jll
   2329.4 ms  ✓ InverseFunctions
   2496.5 ms  ✓ SuiteSparse_jll
   3342.3 ms  ✓ ADTypes
   4089.8 ms  ✓ FunctionWrappers
   1989.0 ms  ✓ ManualMemory
   1877.7 ms  ✓ Reexport
   1903.1 ms  ✓ EnumX
   1711.4 ms  ✓ SIMDTypes
   2412.7 ms  ✓ Compat
   2585.2 ms  ✓ Requires
   2605.5 ms  ✓ OrderedCollections
   4740.0 ms  ✓ FillArrays
   2513.9 ms  ✓ DocStringExtensions
   5129.0 ms  ✓ GenericSchur
   3403.7 ms  ✓ Preferences
   1617.4 ms  ✓ FastPower
   1790.8 ms  ✓ IfElse
   1997.1 ms  ✓ CompositionsBase
   1905.5 ms  ✓ CommonWorldInvalidations
   2000.3 ms  ✓ FastClosures
   1807.2 ms  ✓ SciMLPublic
   2681.7 ms  ✓ ConstructionBase
   3105.7 ms  ✓ CpuId
   3281.4 ms  ✓ EnzymeCore
   2489.8 ms  ✓ StaticArraysCore
   2996.6 ms  ✓ LoggingExtras
   2208.5 ms  ✓ RuntimeGeneratedFunctions
   2483.6 ms  ✓ NaNMath
   1996.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8246.5 ms  ✓ ExproniconLite
   8697.3 ms  ✓ Distributed
   1997.1 ms  ✓ Compat → CompatLinearAlgebraExt
   2399.8 ms  ✓ FunctionWrappersWrappers
   6001.2 ms  ✓ IrrationalConstants
   2222.5 ms  ✓ Adapt
   1811.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1983.7 ms  ✓ PrecompileTools
   1999.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2299.2 ms  ✓ JLLWrappers
   2082.2 ms  ✓ DiffResults
   2599.0 ms  ✓ SciMLLogging
   2207.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
