nice: cannot set niceness: Permission denied
Precompiling packages...
   1603.1 ms  ✓ Unicode
   1603.9 ms  ✓ nghttp2_jll
   1621.6 ms  ✓ Logging
   1622.8 ms  ✓ CompilerSupportLibraries_jll
   1643.7 ms  ✓ NetworkOptions
   1712.0 ms  ✓ UUIDs
   1709.6 ms  ✓ MozillaCACerts_jll
   1779.2 ms  ✓ OpenSSL_jll
   1746.7 ms  ✓ Zlib_jll
   1852.4 ms  ✓ Base64
    612.2 ms  ✓ p7zip_jll
    494.0 ms  ✓ LibSSH2_jll
    711.0 ms  ✓ Printf
    433.3 ms  ✓ LibGit2_jll
    431.5 ms  ✓ LibCURL_jll
   3159.0 ms  ✓ ArgTools
    757.1 ms  ✓ LibCURL
    645.5 ms  ✓ Tar
   2971.5 ms  ✓ Dates
   3056.2 ms  ✓ LibGit2
    447.7 ms  ✓ TOML
   2999.6 ms  ✓ Downloads
   9241.3 ms  ✓ StyledStrings
   1596.9 ms  ✓ JuliaSyntaxHighlighting
   3795.5 ms  ✓ Markdown
  46801.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2345.3 ms  ✓ IteratorInterfaceExtensions
   2450.1 ms  ✓ Future
   2551.9 ms  ✓ MuladdMacro
   2561.2 ms  ✓ ConcreteStructs
   2640.2 ms  ✓ OpenLibm_jll
   2704.6 ms  ✓ CommonSolve
   2754.2 ms  ✓ ExprTools
   3247.8 ms  ✓ InverseFunctions
   3516.2 ms  ✓ SuiteSparse_jll
   3937.9 ms  ✓ Statistics
   4260.1 ms  ✓ ADTypes
   4453.4 ms  ✓ Serialization
   2698.9 ms  ✓ ManualMemory
   2675.8 ms  ✓ Reexport
   2619.3 ms  ✓ SIMDTypes
   2967.2 ms  ✓ EnumX
   5844.8 ms  ✓ FillArrays
   2401.0 ms  ✓ CompositionsBase
   3795.8 ms  ✓ DocStringExtensions
   2772.7 ms  ✓ FastPower
   2523.1 ms  ✓ IfElse
   4674.1 ms  ✓ Requires
   2506.8 ms  ✓ FastClosures
