nice: cannot set niceness: Permission denied
Precompiling packages...
   1620.9 ms  ✓ NetworkOptions
   1641.6 ms  ✓ nghttp2_jll
   1645.4 ms  ✓ UUIDs
   1652.7 ms  ✓ Logging
   1716.8 ms  ✓ MozillaCACerts_jll
   1764.8 ms  ✓ OpenSSL_jll
   1734.7 ms  ✓ CompilerSupportLibraries_jll
   1739.8 ms  ✓ Unicode
   1752.3 ms  ✓ Zlib_jll
   1763.0 ms  ✓ Base64
    452.8 ms  ✓ LibSSH2_jll
    536.1 ms  ✓ p7zip_jll
    654.9 ms  ✓ Printf
    466.5 ms  ✓ LibGit2_jll
    464.6 ms  ✓ LibCURL_jll
   3117.7 ms  ✓ ArgTools
    757.5 ms  ✓ LibCURL
    624.1 ms  ✓ Tar
   2868.7 ms  ✓ Dates
   3049.4 ms  ✓ LibGit2
    448.6 ms  ✓ TOML
   3000.2 ms  ✓ Downloads
   9153.8 ms  ✓ StyledStrings
   1627.1 ms  ✓ JuliaSyntaxHighlighting
   3822.3 ms  ✓ Markdown
  47128.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2419.6 ms  ✓ ConcreteStructs
   2421.2 ms  ✓ Future
   2522.7 ms  ✓ MuladdMacro
   2508.8 ms  ✓ CommonSolve
   2611.6 ms  ✓ OpenLibm_jll
   2744.1 ms  ✓ ExprTools
   2921.4 ms  ✓ IteratorInterfaceExtensions
   2925.1 ms  ✓ InverseFunctions
   3209.6 ms  ✓ SuiteSparse_jll
   3506.3 ms  ✓ Statistics
   4017.3 ms  ✓ ADTypes
   4013.6 ms  ✓ Serialization
   2282.3 ms  ✓ SIMDTypes
   2508.4 ms  ✓ EnumX
   2499.1 ms  ✓ Reexport
   2798.9 ms  ✓ ManualMemory
   5413.1 ms  ✓ FillArrays
   2499.8 ms  ✓ CompositionsBase
   2800.6 ms  ✓ FastPower
   3520.3 ms  ✓ DocStringExtensions
   2222.8 ms  ✓ FastClosures
   4916.7 ms  ✓ Requires
   2408.2 ms  ✓ CommonWorldInvalidations
   3695.2 ms  ✓ EnzymeCore
   3025.8 ms  ✓ StaticArraysCore
   3225.5 ms  ✓ SciMLPublic
   3291.2 ms  ✓ LoggingExtras
   3576.7 ms  ✓ Preferences
   2628.0 ms  ✓ DiffResults
   4072.4 ms  ✓ CpuId
   5796.8 ms  ✓ GenericSchur
  11818.3 ms  ✓ FunctionWrappers
   2307.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10096.8 ms  ✓ OrderedCollections
   5124.2 ms  ✓ LazyArtifacts
   2818.0 ms  ✓ IfElse
   2602.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   9787.7 ms  ✓ ConstructionBase
   2519.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  15411.0 ms  ✓ ExproniconLite
   2484.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3493.5 ms  ✓ Adapt
  13496.9 ms  ✓ IrrationalConstants
  12493.0 ms  ✓ DifferentiationInterface
   9297.9 ms  ✓ NaNMath
   2778.0 ms  ✓ PrecompileTools
  10403.9 ms  ✓ Compat
   3333.1 ms  ✓ JLLWrappers
   3610.7 ms  ✓ SciMLLogging
   2898.2 ms  ✓ FunctionWrappersWrappers
   2725.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3493.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  13495.7 ms  ✓ InteractiveUtils
  19911.0 ms  ✓ MacroTools
   8913.1 ms  ✓ RuntimeGeneratedFunctions
   2771.0 ms  ✓ EnzymeCore → AdaptExt
   3777.6 ms  ✓ GPUArraysCore
   2585.5 ms  ✓ Compat → CompatLinearAlgebraExt
   3589.9 ms  ✓ LogExpFunctions
   3326.7 ms  ✓ TruncatedStacktraces
  11624.3 ms  ✓ ThreadingUtilities
   3798.2 ms  ✓ OpenSpecFun_jll
   8891.4 ms  ✓ DataStructures
   2910.7 ms  ✓ CommonSubexpressions
   2591.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   9201.2 ms  ✓ Jieko
   2513.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   7594.3 ms  ✓ oneTBB_jll
  10322.5 ms  ✓ ArrayInterface
   6606.5 ms  ✓ IntelOpenMP_jll
   9097.7 ms  ✓ RecipesBase
  17495.0 ms  ✓ Distributed
   6217.0 ms  ✓ Setfield
   1989.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1926.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3102.7 ms  ✓ MaybeInplace
  18314.7 ms  ✓ TimerOutputs
   2814.3 ms  ✓ FiniteDiff
   5688.4 ms  ✓ PreallocationTools
   5878.1 ms  ✓ MKL_jll
  22836.6 ms  ✓ SparseArrays
   2268.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   8405.5 ms  ✓ SciMLStructures
  12001.2 ms  ✓ ChainRulesCore
  11880.3 ms  ✓ SpecialFunctions
   3297.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3370.3 ms  ✓ Statistics → SparseArraysExt
   3298.6 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3390.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3498.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   4254.5 ms  ✓ Adapt → AdaptSparseArraysExt
  15590.2 ms  ✓ Accessors
   4026.2 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2623.9 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2675.9 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   2718.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2832.9 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2181.3 ms  ✓ Accessors → LinearAlgebraExt
   3106.3 ms  ✓ DiffRules
   6681.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  24416.3 ms  ✓ Static
   7224.5 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   8604.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   8823.5 ms  ✓ NLSolversBase
   1603.0 ms  ✓ BitTwiddlingConvenienceFunctions
   3704.6 ms  ✓ CPUSummary
   8209.1 ms  ✓ SymbolicIndexingInterface
   2183.6 ms  ✓ PolyesterWeave
   9092.5 ms  ✓ SciMLOperators
   6002.4 ms  ✓ LineSearches
   2515.6 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2895.0 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  34221.7 ms  ✓ StaticArrays
   3194.6 ms  ✓ Adapt → AdaptStaticArraysExt
   3867.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3931.4 ms  ✓ Accessors → StaticArraysExt
   4593.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4789.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
   5091.8 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  17597.1 ms  ✓ ForwardDiff
   5800.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   7007.7 ms  ✓ FastGaussQuadrature
  26918.4 ms  ✓ SparseMatrixColorings
   2026.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   2624.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   9796.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  29489.6 ms  ✓ Krylov
   5980.0 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   8113.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   6399.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  41307.2 ms  ✓ Moshi
  24568.0 ms  ✓ StaticArrayInterface
  19828.8 ms  ✓ RecursiveArrayTools
    950.5 ms  ✓ CloseOpenIntervals
   1115.8 ms  ✓ LayoutPointers
   1132.0 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
    765.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    839.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    921.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    789.1 ms  ✓ StrideArraysCore
    625.8 ms  ✓ Polyester
    633.0 ms  ✓ FastBroadcast
    595.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  42124.3 ms  ✓ ExponentialUtilities
  12021.6 ms  ✓ SciMLBase
   1753.5 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
    899.6 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1011.5 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1812.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3145.3 ms  ✓ SciMLJacobianOperators
   3910.5 ms  ✓ LineSearch
   1561.2 ms  ✓ LineSearch → LineSearchLineSearchesExt
   8532.2 ms  ✓ LinearSolve
   7198.2 ms  ✓ NonlinearSolveBase
   2329.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   2523.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   2851.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   4712.8 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   3037.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3166.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   5919.8 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   4643.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   5775.4 ms  ✓ BracketingNonlinearSolve
   2194.9 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   1186.2 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
    988.6 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
   2624.1 ms  ✓ DiffEqBase
   1807.6 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   2115.8 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2220.1 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   8692.4 ms  ✓ NonlinearSolveSpectralMethods
