nice: cannot set niceness: Permission denied
Precompiling packages...
   1562.4 ms  ✓ Zlib_jll
   1558.8 ms  ✓ CompilerSupportLibraries_jll
   1692.5 ms  ✓ OpenSSL_jll
   1663.1 ms  ✓ Logging
   1678.9 ms  ✓ UUIDs
   1687.3 ms  ✓ nghttp2_jll
   1759.5 ms  ✓ MozillaCACerts_jll
   1773.5 ms  ✓ Unicode
   1810.0 ms  ✓ NetworkOptions
   1894.5 ms  ✓ Base64
    546.0 ms  ✓ LibSSH2_jll
    652.1 ms  ✓ p7zip_jll
    656.4 ms  ✓ Printf
    458.8 ms  ✓ LibCURL_jll
    460.4 ms  ✓ LibGit2_jll
   3218.3 ms  ✓ ArgTools
    763.2 ms  ✓ LibCURL
    655.0 ms  ✓ Tar
   2949.5 ms  ✓ Dates
   3127.9 ms  ✓ LibGit2
    466.1 ms  ✓ TOML
   3098.7 ms  ✓ Downloads
   9481.9 ms  ✓ StyledStrings
   1753.8 ms  ✓ JuliaSyntaxHighlighting
   3895.9 ms  ✓ Markdown
  47204.4 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2484.2 ms  ✓ MuladdMacro
   2484.0 ms  ✓ OpenLibm_jll
   2585.7 ms  ✓ ConcreteStructs
   2590.9 ms  ✓ EnumX
   2858.8 ms  ✓ CommonSolve
   2969.4 ms  ✓ ExprTools
   2983.8 ms  ✓ InverseFunctions
   3066.0 ms  ✓ Reexport
   3470.6 ms  ✓ Statistics
   3660.4 ms  ✓ DocStringExtensions
   4084.4 ms  ✓ EnzymeCore
   4196.3 ms  ✓ Serialization
   2604.6 ms  ✓ IteratorInterfaceExtensions
   2787.1 ms  ✓ FastClosures
   2804.8 ms  ✓ CompositionsBase
   2509.7 ms  ✓ Future
   3101.1 ms  ✓ SuiteSparse_jll
   2996.3 ms  ✓ SciMLPublic
   2388.5 ms  ✓ FastPower
   2824.1 ms  ✓ StaticArraysCore
   4513.0 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   3095.4 ms  ✓ LoggingExtras
   4359.8 ms  ✓ Requires
   2578.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3804.2 ms  ✓ Preferences
   3690.9 ms  ✓ ADTypes
  10249.3 ms  ✓ ConstructionBase
   5589.8 ms  ✓ LazyArtifacts
  11378.5 ms  ✓ FunctionWrappers
   2916.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  11475.4 ms  ✓ OrderedCollections
   2592.4 ms  ✓ DiffResults
   2510.9 ms  ✓ PrecompileTools
   2818.8 ms  ✓ Adapt
   2410.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3080.3 ms  ✓ JLLWrappers
  14374.6 ms  ✓ IrrationalConstants
   3205.3 ms  ✓ SciMLLogging
   3094.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   9016.7 ms  ✓ NaNMath
   2963.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  10817.0 ms  ✓ Compat
   2515.6 ms  ✓ EnzymeCore → AdaptExt
   9404.6 ms  ✓ RuntimeGeneratedFunctions
   3687.5 ms  ✓ GPUArraysCore
   2093.8 ms  ✓ Compat → CompatLinearAlgebraExt
  13696.7 ms  ✓ InteractiveUtils
   3444.4 ms  ✓ OpenSpecFun_jll
   3307.7 ms  ✓ LogExpFunctions
  18013.8 ms  ✓ MacroTools
   8591.3 ms  ✓ DataStructures
   7709.8 ms  ✓ RecipesBase
   6244.0 ms  ✓ IntelOpenMP_jll
  19085.4 ms  ✓ TimerOutputs
   2779.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   7310.5 ms  ✓ oneTBB_jll
  11308.7 ms  ✓ DifferentiationInterface
  15216.0 ms  ✓ Distributed
   8455.6 ms  ✓ ArrayInterface
   2986.0 ms  ✓ CommonSubexpressions
   2596.1 ms  ✓ TruncatedStacktraces
   1801.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1708.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1967.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2213.9 ms  ✓ FastBroadcast
   2468.8 ms  ✓ MaybeInplace
   4216.4 ms  ✓ Setfield
   3994.9 ms  ✓ MKL_jll
   3420.9 ms  ✓ PreallocationTools
   1035.1 ms  ✓ FiniteDiff
   4182.6 ms  ✓ SciMLStructures
    598.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   7814.6 ms  ✓ SpecialFunctions
  18298.2 ms  ✓ SparseArrays
   4305.5 ms  ✓ FunctionWrappersWrappers
   1803.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1812.7 ms  ✓ Statistics → SparseArraysExt
   1912.1 ms  ✓ DiffRules
   1877.5 ms  ✓ Adapt → AdaptSparseArraysExt
   7867.5 ms  ✓ Accessors
   1914.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   1929.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1933.6 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    458.3 ms  ✓ Accessors → LinearAlgebraExt
   2110.2 ms  ✓ SymbolicIndexingInterface
   2677.7 ms  ✓ SciMLOperators
    661.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    816.9 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   4899.6 ms  ✓ ForwardDiff
   1561.2 ms  ✓ FastPower → FastPowerForwardDiffExt
   8446.1 ms  ✓ SparseMatrixColorings
   2128.0 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    795.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2720.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   9753.6 ms  ✓ Krylov
   6387.4 ms  ✓ RecursiveArrayTools
    493.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    491.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    540.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    669.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   7262.8 ms  ✓ SciMLBase
    680.1 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1850.7 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3139.6 ms  ✓ SciMLJacobianOperators
   4891.6 ms  ✓ LineSearch
   8835.6 ms  ✓ LinearSolve
   7244.2 ms  ✓ NonlinearSolveBase
   3074.3 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   1742.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   2246.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   2542.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   4948.8 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   3963.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   1919.3 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   5290.2 ms  ✓ BracketingNonlinearSolve
   6959.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   2087.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   4058.9 ms  ✓ DiffEqBase
   2779.7 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
  10492.9 ms  ✓ NonlinearSolveSpectralMethods
   1485.6 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6091.9 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   6877.1 ms  ✓ OrdinaryDiffEqCore
  11494.5 ms  ✓ SimpleNonlinearSolve
   2650.0 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
  19236.0 ms  ✓ NonlinearSolveQuasiNewton
   9065.1 ms  ✓ OrdinaryDiffEqTsit5
   2625.6 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
   7157.8 ms  ✓ OrdinaryDiffEqDifferentiation
   1791.2 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  30069.5 ms  ✓ NonlinearSolveFirstOrder
  27987.9 ms  ✓ OrdinaryDiffEqVerner
  18832.8 ms  ✓ OrdinaryDiffEqRosenbrock
  36826.3 ms  ✓ NonlinearSolve
   4200.7 ms  ✓ OrdinaryDiffEqNonlinearSolve
  10671.0 ms  ✓ OrdinaryDiffEqSDIRK
   7631.4 ms  ✓ OrdinaryDiffEqBDF
  21978.2 ms  ✓ OrdinaryDiffEqDefault
   2855.4 ms  ✓ OrdinaryDiffEq
  139 dependencies successfully precompiled in 178 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 627.32
	System time (seconds): 39.72
	Percent of CPU this job got: 276%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:01.57
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2169892
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 709
	Minor (reclaiming a frame) page faults: 11370392
	Voluntary context switches: 29793
	Involuntary context switches: 32289
	Swaps: 0
	File system inputs: 0
	File system outputs: 1381512
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
