nice: cannot set niceness: Permission denied
Precompiling packages...
   1601.9 ms  ✓ nghttp2_jll
   1693.1 ms  ✓ Logging
   1706.8 ms  ✓ UUIDs
   1710.0 ms  ✓ MozillaCACerts_jll
   1763.7 ms  ✓ Zlib_jll
   1816.4 ms  ✓ OpenSSL_jll
   1790.5 ms  ✓ Unicode
   1812.6 ms  ✓ NetworkOptions
   1810.6 ms  ✓ CompilerSupportLibraries_jll
   1897.4 ms  ✓ Base64
    475.1 ms  ✓ LibSSH2_jll
    594.8 ms  ✓ p7zip_jll
    666.3 ms  ✓ Printf
    479.8 ms  ✓ LibCURL_jll
    490.6 ms  ✓ LibGit2_jll
   3242.6 ms  ✓ ArgTools
    788.8 ms  ✓ LibCURL
    651.1 ms  ✓ Tar
   3016.5 ms  ✓ Dates
   3103.0 ms  ✓ LibGit2
    455.5 ms  ✓ TOML
   3186.0 ms  ✓ Downloads
   9521.9 ms  ✓ StyledStrings
   1695.8 ms  ✓ JuliaSyntaxHighlighting
   3940.8 ms  ✓ Markdown
  47125.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2428.5 ms  ✓ ConcreteStructs
   2558.0 ms  ✓ MuladdMacro
   2641.2 ms  ✓ Reexport
   2629.2 ms  ✓ CommonSolve
   2844.2 ms  ✓ OpenLibm_jll
   2953.0 ms  ✓ InverseFunctions
   3034.5 ms  ✓ ExprTools
   3059.6 ms  ✓ EnumX
   3537.8 ms  ✓ DocStringExtensions
   3609.4 ms  ✓ Statistics
   3834.8 ms  ✓ EnzymeCore
   4041.2 ms  ✓ Serialization
   2694.2 ms  ✓ IteratorInterfaceExtensions
   2609.7 ms  ✓ FastClosures
   2500.8 ms  ✓ CompositionsBase
   2932.5 ms  ✓ Adapt
   2508.9 ms  ✓ SafeTestsets
   2593.9 ms  ✓ Future
   3171.7 ms  ✓ SuiteSparse_jll
   2997.9 ms  ✓ SciMLPublic
   2817.7 ms  ✓ StaticArraysCore
   4097.5 ms  ✓ ADTypes
   2505.9 ms  ✓ FastPower
   4136.2 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2899.6 ms  ✓ LoggingExtras
   2414.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3900.7 ms  ✓ Preferences
  10016.9 ms  ✓ ConstructionBase
   2599.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  10561.2 ms  ✓ OrderedCollections
   5787.8 ms  ✓ LazyArtifacts
  11660.6 ms  ✓ FunctionWrappers
   2498.0 ms  ✓ EnzymeCore → AdaptExt
   3488.9 ms  ✓ GPUArraysCore
   2685.5 ms  ✓ DiffResults
   2500.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
  14208.6 ms  ✓ IrrationalConstants
   2898.7 ms  ✓ PrecompileTools
   3303.3 ms  ✓ JLLWrappers
   9802.2 ms  ✓ NaNMath
   2807.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  10715.2 ms  ✓ Compat
   3706.0 ms  ✓ SciMLLogging
   2516.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   9483.8 ms  ✓ RuntimeGeneratedFunctions
   9872.7 ms  ✓ ArrayInterface
   3591.2 ms  ✓ LogExpFunctions
   2289.4 ms  ✓ Compat → CompatLinearAlgebraExt
  13995.0 ms  ✓ InteractiveUtils
   2198.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   4295.3 ms  ✓ OpenSpecFun_jll
  17697.9 ms  ✓ MacroTools
   3406.1 ms  ✓ FastBroadcast
   3697.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2490.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6202.5 ms  ✓ IntelOpenMP_jll
   8298.9 ms  ✓ DataStructures
  11986.0 ms  ✓ DifferentiationInterface
   7408.2 ms  ✓ oneTBB_jll
  16181.8 ms  ✓ Distributed
   3971.5 ms  ✓ CommonSubexpressions
   9221.7 ms  ✓ RecipesBase
  18103.2 ms  ✓ TimerOutputs
   3324.7 ms  ✓ MaybeInplace
   2702.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   6517.5 ms  ✓ PreallocationTools
   3299.8 ms  ✓ TruncatedStacktraces
   4831.1 ms  ✓ Setfield
   7734.9 ms  ✓ SciMLStructures
   3336.2 ms  ✓ MKL_jll
    835.7 ms  ✓ FiniteDiff
    544.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   6749.3 ms  ✓ SpecialFunctions
  17209.1 ms  ✓ SparseArrays
   1850.4 ms  ✓ DiffRules
   1786.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   3801.9 ms  ✓ FunctionWrappersWrappers
   1909.1 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1904.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1969.0 ms  ✓ Statistics → SparseArraysExt
   7695.0 ms  ✓ Accessors
   2018.4 ms  ✓ Adapt → AdaptSparseArraysExt
   2025.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    449.7 ms  ✓ Accessors → LinearAlgebraExt
   2097.8 ms  ✓ SymbolicIndexingInterface
   2687.1 ms  ✓ SciMLOperators
    609.8 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    790.6 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   4903.6 ms  ✓ ForwardDiff
   1691.9 ms  ✓ FastPower → FastPowerForwardDiffExt
   8494.4 ms  ✓ SparseMatrixColorings
   2292.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    779.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2856.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   9804.3 ms  ✓ Krylov
   6483.9 ms  ✓ RecursiveArrayTools
    478.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    477.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    528.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    629.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   7443.0 ms  ✓ SciMLBase
    686.7 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1776.7 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3189.1 ms  ✓ SciMLJacobianOperators
   8488.8 ms  ✓ LinearSolve
   5512.7 ms  ✓ LineSearch
   7247.6 ms  ✓ NonlinearSolveBase
   2769.4 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   4646.1 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   2112.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   2427.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   2457.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   3978.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   2106.2 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   5040.9 ms  ✓ BracketingNonlinearSolve
   6946.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   2039.7 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   4218.0 ms  ✓ DiffEqBase
   2834.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
  10077.5 ms  ✓ NonlinearSolveSpectralMethods
   1523.1 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6332.4 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   7135.2 ms  ✓ OrdinaryDiffEqCore
  11371.5 ms  ✓ SimpleNonlinearSolve
   2401.5 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
  19503.2 ms  ✓ NonlinearSolveQuasiNewton
   9098.9 ms  ✓ OrdinaryDiffEqTsit5
   2588.7 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
   7286.9 ms  ✓ OrdinaryDiffEqDifferentiation
   1814.4 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  29959.3 ms  ✓ NonlinearSolveFirstOrder
  29143.4 ms  ✓ OrdinaryDiffEqVerner
  19254.8 ms  ✓ OrdinaryDiffEqRosenbrock
  37939.3 ms  ✓ NonlinearSolve
   4124.1 ms  ✓ OrdinaryDiffEqNonlinearSolve
  10331.7 ms  ✓ OrdinaryDiffEqSDIRK
   7349.5 ms  ✓ OrdinaryDiffEqBDF
  21259.6 ms  ✓ OrdinaryDiffEqDefault
   2760.7 ms  ✓ OrdinaryDiffEq
  139 dependencies successfully precompiled in 178 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 627.65
	System time (seconds): 39.79
	Percent of CPU this job got: 276%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:01.29
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2169320
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 800
	Minor (reclaiming a frame) page faults: 11406104
	Voluntary context switches: 29083
	Involuntary context switches: 36734
	Swaps: 0
	File system inputs: 0
	File system outputs: 1380416
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
