nice: cannot set niceness: Permission denied
Precompiling packages...
    403.5 ms  ✓ Reexport
    476.2 ms  ✓ Adapt
    592.5 ms  ✓ Statistics
    814.0 ms  ✓ SciMLPublic
    536.2 ms  ✓ ConstructionBase
    495.6 ms  ✓ StaticArraysCore
    437.9 ms  ✓ ConcreteStructs
    879.1 ms  ✓ SuiteSparse_jll
   1324.0 ms  ✓ IrrationalConstants
    711.5 ms  ✓ EnzymeCore
    478.5 ms  ✓ Future
    456.6 ms  ✓ FastPower
    547.6 ms  ✓ InverseFunctions
    709.0 ms  ✓ OrderedCollections
    440.9 ms  ✓ SafeTestsets
    560.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    712.4 ms  ✓ ADTypes
    660.6 ms  ✓ Serialization
    444.1 ms  ✓ FastClosures
    853.8 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
    599.6 ms  ✓ DocStringExtensions
    436.5 ms  ✓ MuladdMacro
    468.6 ms  ✓ EnumX
    486.9 ms  ✓ ExprTools
    656.2 ms  ✓ OpenLibm_jll
    512.3 ms  ✓ CommonSolve
    523.4 ms  ✓ IteratorInterfaceExtensions
    824.7 ms  ✓ LoggingExtras
   3839.5 ms  ✓ FunctionWrappers
    713.4 ms  ✓ Compat
   5728.3 ms  ✓ MacroTools
   1485.8 ms  ✓ InteractiveUtils
    563.2 ms  ✓ GPUArraysCore
    574.7 ms  ✓ ArrayInterface
   1001.5 ms  ✓ LazyArtifacts
    420.4 ms  ✓ EnzymeCore → AdaptExt
    438.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    476.4 ms  ✓ DiffResults
    444.3 ms  ✓ CompositionsBase
    406.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    400.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2164.8 ms  ✓ Preferences
   1084.9 ms  ✓ DifferentiationInterface
    454.8 ms  ✓ RuntimeGeneratedFunctions
    611.3 ms  ✓ LogExpFunctions
   1766.4 ms  ✓ DataStructures
    524.6 ms  ✓ NaNMath
    409.6 ms  ✓ CommonSolve → CommonSolveEnzymeCoreExt
    437.1 ms  ✓ Compat → CompatLinearAlgebraExt
    548.6 ms  ✓ CommonSubexpressions
    627.6 ms  ✓ FastBroadcast
    474.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2592.3 ms  ✓ Distributed
    426.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    759.0 ms  ✓ MaybeInplace
    409.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    779.3 ms  ✓ PrecompileTools
   1536.1 ms  ✓ Setfield
   4488.0 ms  ✓ SparseArrays
   1028.8 ms  ✓ JLLWrappers
    541.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    512.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4255.5 ms  ✓ TimerOutputs
   1035.0 ms  ✓ SciMLLogging
    960.1 ms  ✓ TruncatedStacktraces
    696.9 ms  ✓ FiniteDiff
    900.1 ms  ✓ SciMLStructures
    576.2 ms  ✓ Adapt → AdaptSparseArraysExt
   1464.3 ms  ✓ PreallocationTools
   2462.2 ms  ✓ RecipesBase
    693.7 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    706.3 ms  ✓ Statistics → SparseArraysExt
   2680.1 ms  ✓ Accessors
    614.1 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
