nice: cannot set niceness: Permission denied
Precompiling packages...
   1641.2 ms  ✓ MozillaCACerts_jll
   1658.4 ms  ✓ Logging
   1740.6 ms  ✓ nghttp2_jll
   1744.5 ms  ✓ UUIDs
   1776.0 ms  ✓ OpenSSL_jll
   1759.4 ms  ✓ Zlib_jll
   1766.3 ms  ✓ Unicode
   1835.3 ms  ✓ CompilerSupportLibraries_jll
   1851.2 ms  ✓ NetworkOptions
   1924.2 ms  ✓ Base64
    522.3 ms  ✓ LibSSH2_jll
    605.9 ms  ✓ p7zip_jll
    763.5 ms  ✓ Printf
    497.3 ms  ✓ LibGit2_jll
    495.7 ms  ✓ LibCURL_jll
   3428.6 ms  ✓ ArgTools
    817.6 ms  ✓ LibCURL
    674.6 ms  ✓ Tar
   3104.4 ms  ✓ Dates
   3331.1 ms  ✓ LibGit2
    505.9 ms  ✓ TOML
   3205.8 ms  ✓ Downloads
  10117.3 ms  ✓ StyledStrings
   1880.4 ms  ✓ JuliaSyntaxHighlighting
   4200.7 ms  ✓ Markdown
  52371.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 69 seconds
Precompiling packages...
   2293.5 ms  ✓ IteratorInterfaceExtensions
   2366.6 ms  ✓ CommonSolve
   2386.1 ms  ✓ Future
   2469.3 ms  ✓ MuladdMacro
   2491.1 ms  ✓ ConcreteStructs
   2671.1 ms  ✓ ExprTools
   2812.1 ms  ✓ EnumX
   2965.9 ms  ✓ InverseFunctions
   3084.4 ms  ✓ OpenLibm_jll
   3466.8 ms  ✓ SuiteSparse_jll
   3877.0 ms  ✓ Serialization
   3979.0 ms  ✓ ADTypes
   4077.3 ms  ✓ Statistics
   2492.2 ms  ✓ FastPower
   2518.8 ms  ✓ CompositionsBase
   2888.6 ms  ✓ Reexport
   3008.6 ms  ✓ DocStringExtensions
   2687.7 ms  ✓ FastClosures
   3206.6 ms  ✓ Adapt
   2601.2 ms  ✓ SciMLPublic
   4423.3 ms  ✓ EnzymeCore
   3085.4 ms  ✓ LoggingExtras
   3267.6 ms  ✓ StaticArraysCore
   3476.7 ms  ✓ Preferences
   5111.4 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2598.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   9938.8 ms  ✓ OrderedCollections
   5200.3 ms  ✓ LazyArtifacts
  10673.0 ms  ✓ FunctionWrappers
   3188.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   9495.5 ms  ✓ ConstructionBase
   2795.9 ms  ✓ EnzymeCore → AdaptExt
   3202.0 ms  ✓ CommonSolve → CommonSolveEnzymeCoreExt
   3897.8 ms  ✓ GPUArraysCore
   2592.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   9612.7 ms  ✓ Compat
