nice: cannot set niceness: Permission denied
Precompiling packages...
   2123.8 ms  ✓ EnumX
   2132.9 ms  ✓ ConcreteStructs
   2139.2 ms  ✓ MuladdMacro
   2134.6 ms  ✓ Reexport
   2115.2 ms  ✓ CommonSolve
   2221.1 ms  ✓ ExprTools
   2236.2 ms  ✓ OpenLibm_jll
   2383.5 ms  ✓ Adapt
   2490.8 ms  ✓ ConstructionBase
   2537.7 ms  ✓ InverseFunctions
   2830.2 ms  ✓ DocStringExtensions
   3048.2 ms  ✓ Compat
   3150.0 ms  ✓ OrderedCollections
   3613.8 ms  ✓ EnzymeCore
   3947.0 ms  ✓ FunctionWrappers
   1885.9 ms  ✓ LazyArtifacts
   1914.1 ms  ✓ IteratorInterfaceExtensions
   1987.6 ms  ✓ FastClosures
   1898.1 ms  ✓ CompositionsBase
   2105.0 ms  ✓ CompilerSupportLibraries_jll
   2391.6 ms  ✓ SuiteSparse_jll
   1820.9 ms  ✓ SciMLPublic
   2705.2 ms  ✓ LoggingExtras
   2174.9 ms  ✓ StaticArraysCore
   1914.7 ms  ✓ FastPower
   3093.3 ms  ✓ ADTypes
   5715.7 ms  ✓ IrrationalConstants
   3088.2 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2208.3 ms  ✓ NaNMath
   2305.5 ms  ✓ GPUArraysCore
   2014.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2594.1 ms  ✓ RuntimeGeneratedFunctions
   2567.6 ms  ✓ ArrayInterface
   1800.3 ms  ✓ Compat → CompatLinearAlgebraExt
   2314.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3398.3 ms  ✓ Preferences
   2083.5 ms  ✓ EnzymeCore → AdaptExt
   2068.1 ms  ✓ CommonSolve → CommonSolveEnzymeCoreExt
   2100.4 ms  ✓ DiffResults
   2796.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1998.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2188.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1886.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2101.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2601.0 ms  ✓ LogExpFunctions
   1714.0 ms  ✓ PrecompileTools
   7491.4 ms  ✓ Distributed
   2238.0 ms  ✓ JLLWrappers
   3060.8 ms  ✓ FastBroadcast
   4492.3 ms  ✓ DifferentiationInterface
   2784.5 ms  ✓ SciMLLogging
   1941.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   7409.5 ms  ✓ TimerOutputs
   9035.9 ms  ✓ MacroTools
   2291.6 ms  ✓ SciMLStructures
   6525.8 ms  ✓ DataStructures
   2096.2 ms  ✓ IntelOpenMP_jll
   2114.2 ms  ✓ oneTBB_jll
   2128.8 ms  ✓ OpenSpecFun_jll
   1494.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1295.0 ms  ✓ CommonSubexpressions
   1396.4 ms  ✓ TruncatedStacktraces
   3808.2 ms  ✓ PreallocationTools
   1805.3 ms  ✓ MaybeInplace
   1287.2 ms  ✓ MKL_jll
   4088.6 ms  ✓ RecipesBase
   2113.6 ms  ✓ Setfield
    914.4 ms  ✓ FunctionWrappersWrappers
    570.2 ms  ✓ FiniteDiff
   8333.6 ms  ✓ SparseArrays
   3022.3 ms  ✓ Accessors
   1799.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2060.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2065.1 ms  ✓ Adapt → AdaptSparseArraysExt
   2176.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   1965.5 ms  ✓ Accessors → LinearAlgebraExt
   2269.5 ms  ✓ Statistics
   2383.2 ms  ✓ AMD
   2546.8 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2630.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   5057.3 ms  ✓ SpecialFunctions
    751.0 ms  ✓ DiffRules
   1631.2 ms  ✓ SymbolicIndexingInterface
   2212.9 ms  ✓ SciMLOperators
    730.5 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    931.3 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   5581.6 ms  ✓ ForwardDiff
   6652.0 ms  ✓ RecursiveArrayTools
  11369.0 ms  ✓ SparseMatrixColorings
   2382.2 ms  ✓ FastPower → FastPowerForwardDiffExt
   2819.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2421.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2691.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3171.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   4404.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   4125.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
  14864.1 ms  ✓ Krylov
   3504.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  17713.9 ms  ✓ SparseColumnPivotedQR
    411.0 ms  ✓ SparseColumnPivotedQR → SparseColumnPivotedQRAMDExt
  11103.2 ms  ✓ SciMLBase
   2206.0 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   3412.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   4328.8 ms  ✓ SciMLJacobianOperators
  32910.8 ms  ✓ PureKLU
   3209.3 ms  ✓ LineSearch
   4316.9 ms  ✓ NonlinearSolveBase
    994.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1210.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1245.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   4404.3 ms  ✓ BracketingNonlinearSolve
   9169.7 ms  ✓ LinearSolve
   7236.0 ms  ✓ NonlinearSolveSpectralMethods
   3508.4 ms  ✓ DiffEqBase
   3536.8 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
    923.4 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4638.7 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   1146.5 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2546.4 ms  ✓ OrdinaryDiffEqCore
    945.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
  13627.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5464.3 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   8536.4 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   7815.8 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   5401.3 ms  ✓ OrdinaryDiffEqTsit5
  13886.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   9062.2 ms  ✓ SimpleNonlinearSolve
   4342.3 ms  ✓ OrdinaryDiffEqDifferentiation
   1277.3 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  11858.9 ms  ✓ NonlinearSolveQuasiNewton
   3943.0 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  26932.2 ms  ✓ OrdinaryDiffEqVerner
  33663.1 ms  ✓ NonlinearSolveFirstOrder
  28602.0 ms  ✓ OrdinaryDiffEqRosenbrock
  27467.3 ms  ✓ NonlinearSolve
   2598.9 ms  ✓ OrdinaryDiffEqNonlinearSolve
  34077.9 ms  ✓ OrdinaryDiffEqSDIRK
   6643.3 ms  ✓ OrdinaryDiffEqBDF
  20160.4 ms  ✓ OrdinaryDiffEqDefault
   2559.5 ms  ✓ OrdinaryDiffEq
  140 dependencies successfully precompiled in 198 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 600.12
	System time (seconds): 33.45
	Percent of CPU this job got: 318%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:19.19
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2243516
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 608
	Minor (reclaiming a frame) page faults: 9310027
	Voluntary context switches: 186244
	Involuntary context switches: 67885
	Swaps: 0
	File system inputs: 0
	File system outputs: 1443680
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
