nice: cannot set niceness: Permission denied
Precompiling packages...
   1936.9 ms  ✓ Reexport
   2021.1 ms  ✓ ConcreteStructs
   2123.0 ms  ✓ EnumX
   2122.8 ms  ✓ CommonSolve
   2131.9 ms  ✓ OpenLibm_jll
   2222.0 ms  ✓ ExprTools
   2261.7 ms  ✓ Adapt
   2198.3 ms  ✓ CompilerSupportLibraries_jll
   2414.0 ms  ✓ InverseFunctions
   2401.8 ms  ✓ ConstructionBase
   2487.7 ms  ✓ IteratorInterfaceExtensions
   2979.3 ms  ✓ Compat
   3236.9 ms  ✓ DocStringExtensions
   3337.9 ms  ✓ EnzymeCore
   1810.3 ms  ✓ LazyArtifacts
   1910.3 ms  ✓ FastClosures
   1892.7 ms  ✓ CompositionsBase
   4139.6 ms  ✓ FunctionWrappers
   2264.1 ms  ✓ SuiteSparse_jll
   1985.4 ms  ✓ SciMLPublic
   2200.5 ms  ✓ StaticArraysCore
   2508.0 ms  ✓ ArrayInterface
   2190.2 ms  ✓ BinaryHeaps
   2716.0 ms  ✓ LoggingExtras
   1825.3 ms  ✓ FastPower
   3307.1 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   5929.3 ms  ✓ IrrationalConstants
   2287.5 ms  ✓ NaNMath
   1916.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2499.6 ms  ✓ RuntimeGeneratedFunctions
   2403.1 ms  ✓ GPUArraysCore
   3277.8 ms  ✓ Preferences
   1917.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1893.0 ms  ✓ Compat → CompatLinearAlgebraExt
   1866.5 ms  ✓ EnzymeCore → AdaptExt
   2732.5 ms  ✓ ADTypes
   2605.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2018.3 ms  ✓ DiffResults
   1894.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1773.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1902.0 ms  ✓ PrecompileTools
   2019.1 ms  ✓ JLLWrappers
   2520.2 ms  ✓ FastBroadcast
   2153.1 ms  ✓ SciMLLogging
   1683.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   1888.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2688.1 ms  ✓ LogExpFunctions
   7203.0 ms  ✓ Distributed
   2240.0 ms  ✓ IntelOpenMP_jll
   2188.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4207.0 ms  ✓ DifferentiationInterface
   2898.7 ms  ✓ FunctionWrappersWrappers
   7608.6 ms  ✓ TimerOutputs
   3099.3 ms  ✓ MuladdMacro
   9406.2 ms  ✓ MacroTools
   3103.9 ms  ✓ SciMLStructures
   2986.2 ms  ✓ oneTBB_jll
   2915.6 ms  ✓ OpenSpecFun_jll
   1582.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   4296.0 ms  ✓ PreallocationTools
   1509.5 ms  ✓ RespecializeParams
   1390.1 ms  ✓ TruncatedStacktraces
   1500.6 ms  ✓ CommonSubexpressions
   1691.2 ms  ✓ MKL_jll
   4908.9 ms  ✓ RecipesBase
   1976.8 ms  ✓ MaybeInplace
    884.5 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   2348.2 ms  ✓ Setfield
   6031.7 ms  ✓ FindFirstFunctions
   9635.4 ms  ✓ SparseArrays
    848.9 ms  ✓ FiniteDiff
   3695.7 ms  ✓ Accessors
   2061.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2065.0 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1988.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2127.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   1685.1 ms  ✓ Accessors → LinearAlgebraExt
   2287.5 ms  ✓ Statistics
   2398.6 ms  ✓ AMD
   5523.7 ms  ✓ SpecialFunctions
   2585.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2611.3 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    800.6 ms  ✓ DiffRules
   1647.2 ms  ✓ SymbolicIndexingInterface
   2238.3 ms  ✓ SciMLOperators
    871.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3870.5 ms  ✓ ForwardDiff
   2390.7 ms  ✓ FastPower → FastPowerForwardDiffExt
