nice: cannot set niceness: Permission denied
Precompiling packages...
   1989.9 ms  ✓ DataValueInterfaces
   1993.9 ms  ✓ Reexport
   1996.8 ms  ✓ OpenLibm_jll
   1970.5 ms  ✓ IteratorInterfaceExtensions
   2004.9 ms  ✓ LaTeXStrings
   2078.6 ms  ✓ ExprTools
   2263.4 ms  ✓ ConstructionBase
   2261.6 ms  ✓ Adapt
   2294.2 ms  ✓ EnumX
   2604.2 ms  ✓ InverseFunctions
   2791.9 ms  ✓ DocStringExtensions
   3030.5 ms  ✓ Compat
   2897.3 ms  ✓ OrderedCollections
   3375.8 ms  ✓ EnzymeCore
   3768.9 ms  ✓ FunctionWrappers
   1822.6 ms  ✓ TableTraits
   1898.1 ms  ✓ LazyArtifacts
   1991.7 ms  ✓ DataAPI
   2103.3 ms  ✓ CompilerSupportLibraries_jll
   1794.4 ms  ✓ CompositionsBase
   2192.4 ms  ✓ SuiteSparse_jll
   2302.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2393.5 ms  ✓ LoggingExtras
   2212.1 ms  ✓ StaticArraysCore
   2318.0 ms  ✓ NaNMath
   1934.7 ms  ✓ FastClosures
   2908.7 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   5764.3 ms  ✓ IrrationalConstants
   1892.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3169.0 ms  ✓ Preferences
   2291.9 ms  ✓ ArrayInterface
   1895.9 ms  ✓ Compat → CompatLinearAlgebraExt
   1800.3 ms  ✓ EnzymeCore → AdaptExt
   2407.6 ms  ✓ GPUArraysCore
   1801.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5004.6 ms  ✓ Crayons
   1485.2 ms  ✓ DiffResults
   1237.1 ms  ✓ PrecompileTools
   1298.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   3093.0 ms  ✓ Tables
   1591.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1705.3 ms  ✓ JLLWrappers
   2405.4 ms  ✓ LogExpFunctions
   6597.0 ms  ✓ Distributed
   2219.8 ms  ✓ CommonSolve
   2695.7 ms  ✓ SciMLPublic
   3587.2 ms  ✓ MuladdMacro
   2589.1 ms  ✓ SciMLStructures
   3614.5 ms  ✓ FastPower
   4111.1 ms  ✓ ADTypes
   3699.9 ms  ✓ SciMLLogging
   8708.5 ms  ✓ MacroTools
   5088.7 ms  ✓ BinaryHeaps
   3112.1 ms  ✓ oneTBB_jll
   2611.3 ms  ✓ IntelOpenMP_jll
   2487.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6980.5 ms  ✓ RecipesBase
   4786.3 ms  ✓ FastBroadcast
   3603.2 ms  ✓ OpenSpecFun_jll
   2276.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3603.0 ms  ✓ FunctionWrappersWrappers
   7336.2 ms  ✓ RuntimeGeneratedFunctions
   2288.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2286.1 ms  ✓ TruncatedStacktraces
   8973.9 ms  ✓ ConcreteStructs
   2500.8 ms  ✓ CommonSubexpressions
   4908.4 ms  ✓ PreallocationTools
   2193.5 ms  ✓ RespecializeParams
   9708.2 ms  ✓ FindFirstFunctions
   2339.8 ms  ✓ MKL_jll
   4984.8 ms  ✓ DifferentiationInterface
   1323.3 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   4211.1 ms  ✓ Setfield
  13493.6 ms  ✓ SparseArrays
   1816.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
  12713.8 ms  ✓ StringManipulation
   5408.8 ms  ✓ MaybeInplace
   2804.5 ms  ✓ Adapt → AdaptSparseArraysExt
   2988.2 ms  ✓ FiniteDiff
   2803.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2979.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3016.3 ms  ✓ AMD
   3104.7 ms  ✓ Statistics
   7601.4 ms  ✓ Accessors
   2005.4 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1301.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1370.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1035.9 ms  ✓ Accessors → LinearAlgebraExt
   8388.0 ms  ✓ SpecialFunctions
   1040.2 ms  ✓ DiffRules
   2589.0 ms  ✓ SymbolicIndexingInterface
   7368.5 ms  ✓ SciMLOperators
