nice: cannot set niceness: Permission denied
Precompiling packages...
   1969.3 ms  ✓ DataValueInterfaces
   1974.0 ms  ✓ Reexport
   1942.4 ms  ✓ IteratorInterfaceExtensions
   1979.1 ms  ✓ EnumX
   2054.2 ms  ✓ OpenLibm_jll
   2067.9 ms  ✓ LaTeXStrings
   2118.0 ms  ✓ Adapt
   2176.1 ms  ✓ InverseFunctions
   2254.0 ms  ✓ ExprTools
   2405.1 ms  ✓ ConstructionBase
   2764.0 ms  ✓ DocStringExtensions
   3012.3 ms  ✓ Compat
   3056.2 ms  ✓ OrderedCollections
   3655.9 ms  ✓ EnzymeCore
   3675.3 ms  ✓ FunctionWrappers
   1820.0 ms  ✓ TableTraits
   1805.2 ms  ✓ LazyArtifacts
   1900.7 ms  ✓ FastClosures
   2133.0 ms  ✓ CompilerSupportLibraries_jll
   2188.3 ms  ✓ DataAPI
   1987.8 ms  ✓ CompositionsBase
   2323.1 ms  ✓ SuiteSparse_jll
   2828.5 ms  ✓ LoggingExtras
   2492.5 ms  ✓ StaticArraysCore
   5536.1 ms  ✓ IrrationalConstants
   2865.8 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2184.9 ms  ✓ NaNMath
   1905.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2815.4 ms  ✓ Preferences
   2189.9 ms  ✓ ArrayInterface
   1903.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1994.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2288.4 ms  ✓ GPUArraysCore
   2083.9 ms  ✓ EnzymeCore → AdaptExt
   1719.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1524.9 ms  ✓ DiffResults
   5131.5 ms  ✓ Crayons
   1408.5 ms  ✓ PrecompileTools
   1300.3 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1199.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1578.9 ms  ✓ JLLWrappers
   2722.4 ms  ✓ LogExpFunctions
   4383.1 ms  ✓ Tables
   2683.3 ms  ✓ CommonSolve
   2877.3 ms  ✓ SciMLPublic
   7303.5 ms  ✓ Distributed
   3855.3 ms  ✓ MuladdMacro
   9012.5 ms  ✓ MacroTools
   4079.8 ms  ✓ ADTypes
   3983.4 ms  ✓ FastPower
   4010.4 ms  ✓ SciMLLogging
   2709.0 ms  ✓ SciMLStructures
   5394.5 ms  ✓ BinaryHeaps
   2089.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
