nice: cannot set niceness: Permission denied
Precompiling packages...
   1391.1 ms  ✓ Logging
   1502.8 ms  ✓ UUIDs
   1666.8 ms  ✓ MozillaCACerts_jll
   1687.7 ms  ✓ CompilerSupportLibraries_jll
   1686.1 ms  ✓ Zlib_jll
   1739.5 ms  ✓ OpenSSL_jll
   1770.9 ms  ✓ NetworkOptions
   1773.5 ms  ✓ nghttp2_jll
   1772.4 ms  ✓ Unicode
   1858.6 ms  ✓ Base64
    541.4 ms  ✓ LibSSH2_jll
    579.2 ms  ✓ p7zip_jll
    650.4 ms  ✓ Printf
    459.4 ms  ✓ LibCURL_jll
    461.2 ms  ✓ LibGit2_jll
   3199.4 ms  ✓ ArgTools
    784.4 ms  ✓ LibCURL
    646.9 ms  ✓ Tar
   2944.7 ms  ✓ Dates
   3108.9 ms  ✓ LibGit2
    466.6 ms  ✓ TOML
   3063.4 ms  ✓ Downloads
   9571.8 ms  ✓ StyledStrings
   1619.3 ms  ✓ JuliaSyntaxHighlighting
   3881.8 ms  ✓ Markdown
  47917.0 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2374.3 ms  ✓ IteratorInterfaceExtensions
   2470.5 ms  ✓ LaTeXStrings
   2558.9 ms  ✓ OpenLibm_jll
   2547.3 ms  ✓ DataValueInterfaces
   2557.1 ms  ✓ Reexport
   2623.5 ms  ✓ EnumX
   2769.7 ms  ✓ ExprTools
   2777.4 ms  ✓ InverseFunctions
   3269.3 ms  ✓ SuiteSparse_jll
   3364.1 ms  ✓ Future
   3564.1 ms  ✓ Statistics
   3862.4 ms  ✓ Serialization
   4513.6 ms  ✓ DocStringExtensions
   2499.3 ms  ✓ DataAPI
   2670.4 ms  ✓ CompositionsBase
   2597.7 ms  ✓ Adapt
   2795.8 ms  ✓ FastClosures
   3602.6 ms  ✓ EnzymeCore
   2895.0 ms  ✓ StaticArraysCore
   3399.5 ms  ✓ LoggingExtras
   2486.9 ms  ✓ TableTraits
   3733.1 ms  ✓ Preferences
   2302.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5501.2 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2674.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
