nice: cannot set niceness: Permission denied
Precompiling packages...
   1590.9 ms  ✓ Logging
   1623.8 ms  ✓ UUIDs
   1706.2 ms  ✓ MozillaCACerts_jll
   1715.5 ms  ✓ nghttp2_jll
   1829.7 ms  ✓ OpenSSL_jll
   1772.8 ms  ✓ Zlib_jll
   1790.8 ms  ✓ CompilerSupportLibraries_jll
   1784.3 ms  ✓ Unicode
   1868.7 ms  ✓ Base64
   1898.4 ms  ✓ NetworkOptions
    475.1 ms  ✓ LibSSH2_jll
    554.4 ms  ✓ p7zip_jll
    662.9 ms  ✓ Printf
    471.8 ms  ✓ LibCURL_jll
    480.5 ms  ✓ LibGit2_jll
   3296.7 ms  ✓ ArgTools
    782.8 ms  ✓ LibCURL
    644.3 ms  ✓ Tar
   2893.2 ms  ✓ Dates
    462.2 ms  ✓ TOML
   3077.7 ms  ✓ LibGit2
   2994.7 ms  ✓ Downloads
   9489.8 ms  ✓ StyledStrings
   1694.0 ms  ✓ JuliaSyntaxHighlighting
   3895.2 ms  ✓ Markdown
  47748.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2406.6 ms  ✓ IteratorInterfaceExtensions
   2513.3 ms  ✓ Future
   2554.6 ms  ✓ Reexport
   2571.5 ms  ✓ DataValueInterfaces
   2715.9 ms  ✓ LaTeXStrings
   2804.6 ms  ✓ ExprTools
   2799.2 ms  ✓ OpenLibm_jll
   3141.6 ms  ✓ EnumX
   3290.6 ms  ✓ InverseFunctions
   3455.2 ms  ✓ SuiteSparse_jll
   3799.0 ms  ✓ Statistics
   3810.1 ms  ✓ DocStringExtensions
   4016.2 ms  ✓ Serialization
   2761.0 ms  ✓ CompositionsBase
   2715.6 ms  ✓ DataAPI
   2432.9 ms  ✓ FastClosures
   2980.2 ms  ✓ Adapt
   2644.4 ms  ✓ StaticArraysCore
   3799.6 ms  ✓ EnzymeCore
   3085.6 ms  ✓ LoggingExtras
   2388.5 ms  ✓ TableTraits
   4179.2 ms  ✓ Preferences
   2577.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5409.9 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
  10370.1 ms  ✓ OrderedCollections
   4892.7 ms  ✓ LazyArtifacts
   2580.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2800.7 ms  ✓ DiffResults
  12303.8 ms  ✓ FunctionWrappers
   9705.9 ms  ✓ ConstructionBase
   3696.7 ms  ✓ GPUArraysCore
   2301.7 ms  ✓ EnzymeCore → AdaptExt
   2442.9 ms  ✓ PrecompileTools
   2709.5 ms  ✓ JLLWrappers
   2487.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  10205.8 ms  ✓ NaNMath
  10632.8 ms  ✓ Compat
  13291.4 ms  ✓ Crayons
  13900.0 ms  ✓ IrrationalConstants
   3408.6 ms  ✓ CommonSolve
  13209.8 ms  ✓ InteractiveUtils
   4673.8 ms  ✓ MuladdMacro
   9622.3 ms  ✓ ArrayInterface
  18690.4 ms  ✓ MacroTools
   6214.7 ms  ✓ ADTypes
   3274.1 ms  ✓ SciMLPublic
   3505.8 ms  ✓ FastPower
   8089.9 ms  ✓ RecipesBase
   4398.6 ms  ✓ SciMLLogging
   2919.7 ms  ✓ Compat → CompatLinearAlgebraExt
   3611.9 ms  ✓ OpenSpecFun_jll
  16703.1 ms  ✓ Distributed
   6896.0 ms  ✓ BinaryHeaps
   4370.1 ms  ✓ LogExpFunctions
  12879.1 ms  ✓ Tables
   7493.1 ms  ✓ IntelOpenMP_jll
  12369.8 ms  ✓ ConcreteStructs
   2581.3 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3414.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   7993.1 ms  ✓ oneTBB_jll
   3800.7 ms  ✓ CommonSubexpressions
   2585.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2200.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3594.0 ms  ✓ TruncatedStacktraces
   7523.7 ms  ✓ FastBroadcast
   2397.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   8242.5 ms  ✓ Setfield
  26115.1 ms  ✓ SparseArrays
   8710.7 ms  ✓ MaybeInplace
  11717.2 ms  ✓ SciMLStructures
  20580.4 ms  ✓ StringManipulation
  18489.9 ms  ✓ RuntimeGeneratedFunctions
   7513.7 ms  ✓ PreallocationTools
   4176.0 ms  ✓ FiniteDiff
  20801.0 ms  ✓ FindFirstFunctions
   4481.8 ms  ✓ AMD
   3289.7 ms  ✓ Adapt → AdaptSparseArraysExt
   4112.4 ms  ✓ Statistics → SparseArraysExt
   8696.7 ms  ✓ MKL_jll
   3608.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2003.6 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
  14017.7 ms  ✓ DifferentiationInterface
  12709.5 ms  ✓ FunctionWrappersWrappers
   3198.9 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2697.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1954.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
  17624.2 ms  ✓ Accessors
   2598.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2701.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
  13889.5 ms  ✓ SpecialFunctions
   1282.6 ms  ✓ Accessors → LinearAlgebraExt
   1510.3 ms  ✓ DiffRules
   5289.9 ms  ✓ RespecializeParams
   5909.8 ms  ✓ SymbolicIndexingInterface
  19303.9 ms  ✓ SparseMatrixColorings
  15915.6 ms  ✓ SciMLOperators
  26374.3 ms  ✓ Krylov
  15165.0 ms  ✓ ForwardDiff
  24135.6 ms  ✓ SparseColumnPivotedQR
   4318.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1225.9 ms  ✓ FastPower → FastPowerForwardDiffExt
   1778.7 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1681.4 ms  ✓ SparseColumnPivotedQR → SparseColumnPivotedQRAMDExt
   2144.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   2795.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  14068.8 ms  ✓ RecursiveArrayTools
   2510.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   2522.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2528.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   2712.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3325.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  56875.8 ms  ✓ LHLFactorization
  19062.2 ms  ✓ SciMLBase
  49554.8 ms  ✓ PureKLU
    826.8 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    779.6 ms  ✓ PureKLU → PureKLUForwardDiffExt
   1216.6 ms  ✓ LHLFactorization → LHLFactorizationSparseExt
   2125.6 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   6218.3 ms  ✓ SciMLJacobianOperators
  78012.2 ms  ✓ REPL
   8068.5 ms  ✓ LineSearch
   4737.8 ms  ✓ Pkg → REPLExt
  24817.0 ms  ✓ LinearSolve
   1916.7 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2146.6 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  20393.4 ms  ✓ PrettyTables
    663.7 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   4077.0 ms  ✓ TimerOutputs
   5830.5 ms  ✓ NonlinearSolveBase
   1374.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1654.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1689.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2171.6 ms  ✓ BracketingNonlinearSolve
   3324.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   1268.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   5751.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5638.8 ms  ✓ DiffEqBase
   2551.3 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
  10446.3 ms  ✓ NonlinearSolveSpectralMethods
   1563.5 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6859.8 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
  10355.6 ms  ✓ SimpleNonlinearSolve
   8313.1 ms  ✓ OrdinaryDiffEqCore
   1386.9 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4935.0 ms  ✓ OrdinaryDiffEqDifferentiation
   2406.0 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  17893.2 ms  ✓ OrdinaryDiffEqTsit5
  31321.2 ms  ✓ NonlinearSolveQuasiNewton
   2095.8 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  32457.9 ms  ✓ OrdinaryDiffEqVerner
  49237.2 ms  ✓ NonlinearSolveFirstOrder
  48767.7 ms  ✓ OrdinaryDiffEqRosenbrock
  51964.4 ms  ✓ NonlinearSolve
   4580.0 ms  ✓ OrdinaryDiffEqNonlinearSolve
  30917.9 ms  ✓ OrdinaryDiffEqSDIRK
  24431.1 ms  ✓ OrdinaryDiffEqBDF
  65909.8 ms  ✓ OrdinaryDiffEqDefault
   3518.5 ms  ✓ OrdinaryDiffEq
  158 dependencies successfully precompiled in 366 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 109 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.7 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1215.38
	System time (seconds): 52.56
	Percent of CPU this job got: 295%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:09.80
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3001960
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 993
	Minor (reclaiming a frame) page faults: 15531743
	Voluntary context switches: 36475
	Involuntary context switches: 71181
	Swaps: 0
	File system inputs: 0
	File system outputs: 2321168
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
