nice: cannot set niceness: Permission denied
Precompiling packages...
   1513.5 ms  ✓ UUIDs
   1636.5 ms  ✓ NetworkOptions
   1699.0 ms  ✓ Logging
   1757.2 ms  ✓ OpenSSL_jll
   1724.8 ms  ✓ nghttp2_jll
   1738.3 ms  ✓ MozillaCACerts_jll
   1800.4 ms  ✓ Zlib_jll
   1802.7 ms  ✓ Base64
   1819.7 ms  ✓ CompilerSupportLibraries_jll
   1823.4 ms  ✓ Unicode
    503.6 ms  ✓ LibSSH2_jll
    575.4 ms  ✓ p7zip_jll
    641.9 ms  ✓ Printf
    484.8 ms  ✓ LibGit2_jll
    490.5 ms  ✓ LibCURL_jll
   3274.7 ms  ✓ ArgTools
    780.2 ms  ✓ LibCURL
    649.1 ms  ✓ Tar
   2956.4 ms  ✓ Dates
    451.5 ms  ✓ TOML
   3164.5 ms  ✓ LibGit2
   3032.0 ms  ✓ Downloads
   9293.1 ms  ✓ StyledStrings
   1763.9 ms  ✓ JuliaSyntaxHighlighting
   3947.9 ms  ✓ Markdown
  47982.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2492.6 ms  ✓ IteratorInterfaceExtensions
   2594.7 ms  ✓ Future
   2579.9 ms  ✓ DataValueInterfaces
   2599.9 ms  ✓ OpenLibm_jll
   2613.8 ms  ✓ LaTeXStrings
   2687.0 ms  ✓ Reexport
   3007.2 ms  ✓ ExprTools
   3092.8 ms  ✓ SuiteSparse_jll
   3097.1 ms  ✓ InverseFunctions
   3199.8 ms  ✓ EnumX
   3410.5 ms  ✓ Statistics
   3898.3 ms  ✓ Serialization
   4085.8 ms  ✓ DocStringExtensions
   2618.5 ms  ✓ CompositionsBase
   2587.4 ms  ✓ DataAPI
   2797.5 ms  ✓ Adapt
   2609.1 ms  ✓ FastClosures
   2992.1 ms  ✓ StaticArraysCore
   3617.6 ms  ✓ EnzymeCore
   2990.3 ms  ✓ LoggingExtras
   2493.5 ms  ✓ TableTraits
   4194.7 ms  ✓ Preferences
   2404.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5608.1 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
  10286.7 ms  ✓ OrderedCollections
   5390.2 ms  ✓ LazyArtifacts
   2806.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  11304.2 ms  ✓ FunctionWrappers
   2880.9 ms  ✓ DiffResults
   3399.6 ms  ✓ GPUArraysCore
   2299.5 ms  ✓ EnzymeCore → AdaptExt
  10005.3 ms  ✓ ConstructionBase
   2107.5 ms  ✓ PrecompileTools
   2807.6 ms  ✓ JLLWrappers
   9800.5 ms  ✓ Compat
   2506.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   9979.6 ms  ✓ NaNMath
  13065.2 ms  ✓ Crayons
  14220.3 ms  ✓ IrrationalConstants
  13409.1 ms  ✓ InteractiveUtils
   3907.6 ms  ✓ CommonSolve
  17806.3 ms  ✓ MacroTools
   9887.7 ms  ✓ ArrayInterface
   5104.0 ms  ✓ MuladdMacro
   5612.3 ms  ✓ ADTypes
   3989.3 ms  ✓ FastPower
   4033.5 ms  ✓ SciMLPublic
   4274.3 ms  ✓ SciMLLogging
   9028.7 ms  ✓ RecipesBase
   3305.4 ms  ✓ Compat → CompatLinearAlgebraExt
  16380.2 ms  ✓ Distributed
   3801.3 ms  ✓ OpenSpecFun_jll
   6093.8 ms  ✓ BinaryHeaps
   3698.9 ms  ✓ LogExpFunctions
  12905.5 ms  ✓ Tables
   6707.1 ms  ✓ IntelOpenMP_jll
   7082.7 ms  ✓ oneTBB_jll
   3893.6 ms  ✓ CommonSubexpressions
  13591.3 ms  ✓ ConcreteStructs
   4280.8 ms  ✓ TruncatedStacktraces
   2406.3 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3202.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2579.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2860.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   7597.4 ms  ✓ Setfield
   7691.4 ms  ✓ MaybeInplace
