nice: cannot set niceness: Permission denied
Precompiling packages...
   1529.1 ms  ✓ MozillaCACerts_jll
   1706.6 ms  ✓ Logging
   1720.8 ms  ✓ nghttp2_jll
   1735.4 ms  ✓ UUIDs
   1845.0 ms  ✓ OpenSSL_jll
   1833.0 ms  ✓ Zlib_jll
   1844.0 ms  ✓ CompilerSupportLibraries_jll
   1841.4 ms  ✓ Unicode
   1889.0 ms  ✓ NetworkOptions
   1942.1 ms  ✓ Base64
    516.3 ms  ✓ LibSSH2_jll
    613.2 ms  ✓ p7zip_jll
    714.1 ms  ✓ Printf
    493.2 ms  ✓ LibCURL_jll
    497.1 ms  ✓ LibGit2_jll
   3362.0 ms  ✓ ArgTools
    805.1 ms  ✓ LibCURL
    668.6 ms  ✓ Tar
   3132.3 ms  ✓ Dates
   3154.6 ms  ✓ LibGit2
    456.0 ms  ✓ TOML
   3204.6 ms  ✓ Downloads
   9925.9 ms  ✓ StyledStrings
   1766.7 ms  ✓ JuliaSyntaxHighlighting
   4063.6 ms  ✓ Markdown
  50133.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 66 seconds
Precompiling packages...
   2361.5 ms  ✓ Future
   2371.8 ms  ✓ IteratorInterfaceExtensions
   2473.6 ms  ✓ OpenLibm_jll
   2557.3 ms  ✓ LaTeXStrings
   2617.5 ms  ✓ Reexport
   2744.2 ms  ✓ DataValueInterfaces
   2847.0 ms  ✓ InverseFunctions
   3136.3 ms  ✓ ExprTools
   3106.9 ms  ✓ EnumX
   3424.3 ms  ✓ SuiteSparse_jll
   3469.8 ms  ✓ Statistics
   3671.1 ms  ✓ DocStringExtensions
   4861.6 ms  ✓ Serialization
   2591.3 ms  ✓ CompositionsBase
   2605.5 ms  ✓ Adapt
   2620.8 ms  ✓ FastClosures
   2539.9 ms  ✓ StaticArraysCore
   3292.2 ms  ✓ DataAPI
   3661.2 ms  ✓ EnzymeCore
   3988.1 ms  ✓ LoggingExtras
   2316.3 ms  ✓ TableTraits
   5314.0 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   3800.3 ms  ✓ Preferences
   3514.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10549.0 ms  ✓ OrderedCollections
   2496.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5403.3 ms  ✓ LazyArtifacts
  11076.0 ms  ✓ FunctionWrappers
   9516.6 ms  ✓ ConstructionBase
   3769.7 ms  ✓ GPUArraysCore
   3057.4 ms  ✓ DiffResults
   2292.0 ms  ✓ EnzymeCore → AdaptExt
   2390.3 ms  ✓ PrecompileTools
   2397.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4187.6 ms  ✓ JLLWrappers
  13189.3 ms  ✓ IrrationalConstants
  10694.3 ms  ✓ Compat
   9783.4 ms  ✓ NaNMath
  13922.9 ms  ✓ Crayons
   8966.5 ms  ✓ ArrayInterface
   3183.8 ms  ✓ CommonSolve
  14217.4 ms  ✓ InteractiveUtils
   5192.1 ms  ✓ ADTypes
   5507.5 ms  ✓ MuladdMacro
   3409.4 ms  ✓ FastPower
  19134.8 ms  ✓ MacroTools
   3802.8 ms  ✓ SciMLPublic
   4103.8 ms  ✓ SciMLLogging
   8999.4 ms  ✓ RecipesBase
   3910.9 ms  ✓ OpenSpecFun_jll
   3709.6 ms  ✓ Compat → CompatLinearAlgebraExt
   4619.7 ms  ✓ LogExpFunctions
   6539.3 ms  ✓ BinaryHeaps
  18429.7 ms  ✓ Distributed
   7004.3 ms  ✓ IntelOpenMP_jll
   3406.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   7007.0 ms  ✓ oneTBB_jll
   2790.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
  13212.8 ms  ✓ ConcreteStructs
  16503.8 ms  ✓ Tables
   2683.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2303.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3205.8 ms  ✓ CommonSubexpressions
   7912.9 ms  ✓ FastBroadcast
   3485.4 ms  ✓ TruncatedStacktraces
   3100.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  24694.7 ms  ✓ SparseArrays
   7591.7 ms  ✓ Setfield
   8298.7 ms  ✓ MaybeInplace
  11899.0 ms  ✓ SciMLStructures
  18315.2 ms  ✓ RuntimeGeneratedFunctions
   8401.1 ms  ✓ PreallocationTools
   4301.7 ms  ✓ AMD
  19789.4 ms  ✓ FindFirstFunctions
  21396.1 ms  ✓ StringManipulation
  12957.6 ms  ✓ DifferentiationInterface
   4710.1 ms  ✓ Statistics → SparseArraysExt
   3604.6 ms  ✓ Adapt → AdaptSparseArraysExt
   2979.2 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2136.9 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   8794.1 ms  ✓ MKL_jll
  12316.6 ms  ✓ FunctionWrappersWrappers
   2998.6 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3688.7 ms  ✓ FiniteDiff
   2504.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2860.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2104.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  16702.7 ms  ✓ Accessors
   2403.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1126.4 ms  ✓ Accessors → LinearAlgebraExt
