nice: cannot set niceness: Permission denied
Precompiling packages...
   1944.7 ms  ✓ IteratorInterfaceExtensions
   1976.5 ms  ✓ OpenLibm_jll
   2047.0 ms  ✓ Reexport
   2064.4 ms  ✓ LaTeXStrings
   2049.0 ms  ✓ Adapt
   2075.1 ms  ✓ DataValueInterfaces
   2072.0 ms  ✓ ExprTools
   2160.8 ms  ✓ EnumX
   2261.7 ms  ✓ InverseFunctions
   2257.2 ms  ✓ ConstructionBase
   2765.9 ms  ✓ DocStringExtensions
   2912.9 ms  ✓ Compat
   3060.4 ms  ✓ OrderedCollections
   3346.9 ms  ✓ EnzymeCore
   3768.5 ms  ✓ FunctionWrappers
   1703.3 ms  ✓ LazyArtifacts
   1900.5 ms  ✓ DataAPI
   1888.8 ms  ✓ FastClosures
   2209.5 ms  ✓ CompilerSupportLibraries_jll
   2280.1 ms  ✓ SuiteSparse_jll
   2292.4 ms  ✓ CompositionsBase
   2457.4 ms  ✓ LoggingExtras
   1580.8 ms  ✓ TableTraits
   2184.5 ms  ✓ StaticArraysCore
   3001.0 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2096.8 ms  ✓ NaNMath
   5850.7 ms  ✓ IrrationalConstants
   2094.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1704.8 ms  ✓ Compat → CompatLinearAlgebraExt
   2188.3 ms  ✓ GPUArraysCore
   2304.7 ms  ✓ ArrayInterface
   1906.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3197.1 ms  ✓ Preferences
   1805.2 ms  ✓ EnzymeCore → AdaptExt
   1823.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1392.7 ms  ✓ DiffResults
   5208.9 ms  ✓ Crayons
   1106.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1140.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1120.0 ms  ✓ PrecompileTools
   1209.5 ms  ✓ JLLWrappers
   1989.2 ms  ✓ LogExpFunctions
   6800.6 ms  ✓ Distributed
   4272.0 ms  ✓ Tables
   2401.4 ms  ✓ SciMLPublic
   2778.2 ms  ✓ CommonSolve
   3595.3 ms  ✓ MuladdMacro
   8895.5 ms  ✓ MacroTools
   3794.4 ms  ✓ FastPower
   2630.7 ms  ✓ SciMLStructures
   4936.5 ms  ✓ ADTypes
   3506.0 ms  ✓ SciMLLogging
   2585.9 ms  ✓ oneTBB_jll
   5789.1 ms  ✓ BinaryHeaps
   2286.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2584.0 ms  ✓ IntelOpenMP_jll
   2601.1 ms  ✓ OpenSpecFun_jll
   6688.4 ms  ✓ RecipesBase
   6712.0 ms  ✓ RuntimeGeneratedFunctions
   2292.9 ms  ✓ TruncatedStacktraces
   2908.5 ms  ✓ CommonSubexpressions
   5895.0 ms  ✓ FastBroadcast
   4004.6 ms  ✓ FunctionWrappersWrappers
   2091.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   9171.6 ms  ✓ ConcreteStructs
   2386.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2413.4 ms  ✓ MKL_jll
   4894.5 ms  ✓ PreallocationTools
  10295.1 ms  ✓ FindFirstFunctions
   4622.3 ms  ✓ Setfield
   2017.4 ms  ✓ RespecializeParams
   4487.5 ms  ✓ DifferentiationInterface
   5215.9 ms  ✓ MaybeInplace
   1696.2 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
  14459.0 ms  ✓ SparseArrays
   1907.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
  12727.7 ms  ✓ StringManipulation
   2789.5 ms  ✓ FiniteDiff
   2618.9 ms  ✓ Adapt → AdaptSparseArraysExt
   2600.5 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
