nice: cannot set niceness: Permission denied
Precompiling packages...
   1453.8 ms  ✓ MozillaCACerts_jll
   1545.9 ms  ✓ UUIDs
   1558.9 ms  ✓ Zlib_jll
   1578.7 ms  ✓ Logging
   1653.1 ms  ✓ nghttp2_jll
   1700.3 ms  ✓ OpenSSL_jll
   1686.0 ms  ✓ Unicode
   1748.8 ms  ✓ NetworkOptions
   1756.3 ms  ✓ CompilerSupportLibraries_jll
   1825.0 ms  ✓ Base64
    503.7 ms  ✓ LibSSH2_jll
    595.0 ms  ✓ p7zip_jll
    690.4 ms  ✓ Printf
    504.5 ms  ✓ LibGit2_jll
    502.1 ms  ✓ LibCURL_jll
   3207.4 ms  ✓ ArgTools
    783.2 ms  ✓ LibCURL
    689.0 ms  ✓ Tar
   2942.6 ms  ✓ Dates
   3100.0 ms  ✓ LibGit2
    459.8 ms  ✓ TOML
   3082.7 ms  ✓ Downloads
   9524.6 ms  ✓ StyledStrings
   1698.1 ms  ✓ JuliaSyntaxHighlighting
   3979.3 ms  ✓ Markdown
  47738.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2277.4 ms  ✓ IteratorInterfaceExtensions
   2461.1 ms  ✓ Future
   2482.5 ms  ✓ OpenLibm_jll
   2765.0 ms  ✓ ExprTools
   2781.4 ms  ✓ LaTeXStrings
   2872.5 ms  ✓ InverseFunctions
   2850.9 ms  ✓ Reexport
   2952.1 ms  ✓ DataValueInterfaces
   2949.4 ms  ✓ EnumX
   3055.9 ms  ✓ SuiteSparse_jll
   3738.3 ms  ✓ Statistics
   4040.8 ms  ✓ DocStringExtensions
   4080.4 ms  ✓ Serialization
   2604.7 ms  ✓ CompositionsBase
   2617.9 ms  ✓ FastClosures
   2705.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2988.9 ms  ✓ Adapt
   2893.7 ms  ✓ DataAPI
   2810.1 ms  ✓ StaticArraysCore
   3699.5 ms  ✓ EnzymeCore
   3326.1 ms  ✓ LoggingExtras
   3894.4 ms  ✓ Preferences
   2316.5 ms  ✓ TableTraits
