Precompiling Pkg...
   1474.0 ms  ✓ Unicode
   1477.9 ms  ✓ Zlib_jll
   1480.5 ms  ✓ p7zip_jll
   1553.9 ms  ✓ Base64
   1583.3 ms  ✓ Logging
   1584.0 ms  ✓ MozillaCACerts_jll
   1583.5 ms  ✓ nghttp2_jll
   1587.0 ms  ✓ UUIDs
   1601.1 ms  ✓ MbedTLS_jll
   1765.1 ms  ✓ NetworkOptions
    604.0 ms  ✓ Printf
    482.3 ms  ✓ LibSSH2_jll
   2396.2 ms  ✓ ArgTools
    572.9 ms  ✓ LibCURL_jll
    582.8 ms  ✓ LibGit2_jll
    672.7 ms  ✓ Tar
    631.4 ms  ✓ LibCURL
   2469.9 ms  ✓ Dates
   2973.4 ms  ✓ Markdown
   2319.7 ms  ✓ LibGit2
    489.6 ms  ✓ TOML
   2877.3 ms  ✓ Downloads
  39001.6 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   2703.0 ms  ✓ SimpleUnPack
   2800.3 ms  ✓ ConcreteStructs
   2797.6 ms  ✓ UnPack
   2807.9 ms  ✓ LaTeXStrings
   2812.2 ms  ✓ Future
   2896.8 ms  ✓ MuladdMacro
   2883.5 ms  ✓ IntegerMathUtils
   2906.0 ms  ✓ IteratorInterfaceExtensions
   2914.5 ms  ✓ ExprTools
   2988.8 ms  ✓ StatsAPI
   4011.6 ms  ✓ ADTypes
   4416.9 ms  ✓ FunctionWrappers
   5300.5 ms  ✓ FillArrays
   2697.0 ms  ✓ CommonSolve
   5704.5 ms  ✓ Combinatorics
   3099.5 ms  ✓ OpenLibm_jll
   3110.1 ms  ✓ SuiteSparse_jll
   3105.0 ms  ✓ ManualMemory
   6107.7 ms  ✓ OffsetArrays
   3305.6 ms  ✓ InverseFunctions
   3404.5 ms  ✓ Statistics
   3500.2 ms  ✓ CompilerSupportLibraries_jll
   3575.3 ms  ✓ CompositeTypes
   3997.5 ms  ✓ Serialization
   4328.0 ms  ✓ OrderedCollections
   7310.4 ms  ✓ Format
   3079.8 ms  ✓ DataValueInterfaces
   3593.3 ms  ✓ Requires
   2689.1 ms  ✓ Reexport
   2598.9 ms  ✓ SIMDTypes
   2994.3 ms  ✓ EnumX
   2396.8 ms  ✓ PtrArrays
   2697.4 ms  ✓ CompositionsBase
   2702.4 ms  ✓ FastPower
   3085.5 ms  ✓ Mmap
   3378.0 ms  ✓ IntervalSets
   3604.5 ms  ✓ AbstractTrees
   3210.0 ms  ✓ Inflate
   2699.8 ms  ✓ CommonWorldInvalidations
   3125.8 ms  ✓ Parameters
   3395.7 ms  ✓ ConstructionBase
   3672.4 ms  ✓ EnzymeCore
   2790.1 ms  ✓ FastClosures
   2813.8 ms  ✓ PackageExtensionCompat
   5399.1 ms  ✓ IrrationalConstants
   3299.8 ms  ✓ DataAPI
   2724.7 ms  ✓ TermInterface
   2706.0 ms  ✓ Bijections
   2911.4 ms  ✓ StaticArraysCore
   2589.2 ms  ✓ TableTraits
   4188.5 ms  ✓ CpuId
   2800.4 ms  ✓ FunctionWrappersWrappers
   3719.3 ms  ✓ Compat
   2901.5 ms  ✓ NaNMath
   5600.6 ms  ✓ GenericLinearAlgebra
   3993.3 ms  ✓ DocStringExtensions
   5692.6 ms  ✓ GenericSchur
   4400.4 ms  ✓ Preferences
   3895.2 ms  ✓ Primes
   6777.6 ms  ✓ FastLapackInterface
   6483.7 ms  ✓ LazyArtifacts
   2891.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2517.4 ms  ✓ IfElse
   7299.9 ms  ✓ InteractiveUtils
