Precompiling Pkg...
   1037.0 ms  ✓ UUIDs
   1064.9 ms  ✓ MozillaCACerts_jll
   1171.2 ms  ✓ NetworkOptions
   1134.8 ms  ✓ Logging
   1147.2 ms  ✓ Unicode
   1156.1 ms  ✓ Zlib_jll
   1160.1 ms  ✓ nghttp2_jll
   1168.4 ms  ✓ MbedTLS_jll
   1172.6 ms  ✓ Base64
   1254.2 ms  ✓ p7zip_jll
    347.8 ms  ✓ LibSSH2_jll
    450.6 ms  ✓ Printf
    430.9 ms  ✓ LibCURL_jll
    432.1 ms  ✓ LibGit2_jll
   1998.4 ms  ✓ ArgTools
    546.0 ms  ✓ LibCURL
    581.8 ms  ✓ Tar
   2436.8 ms  ✓ Dates
   2910.6 ms  ✓ Markdown
   2303.3 ms  ✓ LibGit2
    358.5 ms  ✓ TOML
   2990.9 ms  ✓ Downloads
  41500.1 ms  ✓ Pkg
  23 dependencies successfully precompiled in 47 seconds
Precompiling project...
   1809.9 ms  ✓ SimpleUnPack
   1904.9 ms  ✓ IteratorInterfaceExtensions
   1905.9 ms  ✓ ExprTools
   1913.6 ms  ✓ UnPack
   2014.3 ms  ✓ Future
   2124.0 ms  ✓ OpenLibm_jll
   2395.2 ms  ✓ InverseFunctions
   2426.9 ms  ✓ MuladdMacro
   2717.9 ms  ✓ ConcreteStructs
   2900.1 ms  ✓ Statistics
   3011.0 ms  ✓ ADTypes
   3218.7 ms  ✓ Serialization
   3635.5 ms  ✓ FunctionWrappers
   1826.8 ms  ✓ CommonSolve
   2117.3 ms  ✓ TableTraits
   2200.8 ms  ✓ ManualMemory
   1812.3 ms  ✓ DataValueInterfaces
   1910.5 ms  ✓ EnumX
   2524.7 ms  ✓ CompilerSupportLibraries_jll
   4634.2 ms  ✓ Cassette
   2790.3 ms  ✓ OrderedCollections
   2089.9 ms  ✓ Reexport
   4817.3 ms  ✓ FillArrays
   2693.7 ms  ✓ Requires
   2084.2 ms  ✓ SIMDTypes
   5513.9 ms  ✓ OffsetArrays
   2086.3 ms  ✓ CompositionsBase
   2596.5 ms  ✓ Mmap
   2202.5 ms  ✓ FunctionWrappersWrappers
   2083.0 ms  ✓ IfElse
   2396.8 ms  ✓ Inflate
   1902.5 ms  ✓ FastClosures
   2011.9 ms  ✓ DataAPI
   2275.0 ms  ✓ CommonWorldInvalidations
   2482.1 ms  ✓ ConstructionBase
   1920.2 ms  ✓ StaticArraysCore
   2882.5 ms  ✓ EnzymeCore
   2917.5 ms  ✓ Parameters
   4901.3 ms  ✓ IrrationalConstants
   2106.4 ms  ✓ SuiteSparse_jll
   3113.0 ms  ✓ CpuId
   2207.7 ms  ✓ NaNMath
   2691.9 ms  ✓ Compat
   2890.7 ms  ✓ DocStringExtensions
   2598.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3299.0 ms  ✓ Preferences
   4312.7 ms  ✓ GenericSchur
   1787.1 ms  ✓ FastPower
   1715.2 ms  ✓ PackageExtensionCompat
   6100.7 ms  ✓ FastLapackInterface
   2312.4 ms  ✓ RuntimeGeneratedFunctions
   5106.1 ms  ✓ LazyArtifacts
   2093.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2208.3 ms  ✓ Adapt
   2303.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   6382.2 ms  ✓ InteractiveUtils
   4598.3 ms  ✓ DifferentiationInterface
   1992.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2075.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   4088.7 ms  ✓ ThreadingUtilities
   2400.0 ms  ✓ DiffResults
   1987.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2288.0 ms  ✓ Compat → CompatLinearAlgebraExt
   2900.8 ms  ✓ LogExpFunctions
   4113.5 ms  ✓ Tables
   2797.6 ms  ✓ JLLWrappers
   2696.4 ms  ✓ PrecompileTools
   2606.9 ms  ✓ ArrayInterface
   2409.1 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2708.8 ms  ✓ GPUArraysCore
   2188.8 ms  ✓ EnzymeCore → AdaptExt
   2486.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  10902.6 ms  ✓ TimerOutputs
  12193.2 ms  ✓ MacroTools
  10120.2 ms  ✓ Distributed
   3682.6 ms  ✓ oneTBB_jll
   3406.1 ms  ✓ OpenSpecFun_jll
   1900.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1902.7 ms  ✓ SciMLStructures
   2093.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   4408.8 ms  ✓ Static
   2786.6 ms  ✓ CommonSubexpressions
