Precompiling Pkg...
   1055.5 ms  ✓ MbedTLS_jll
   1056.3 ms  ✓ Unicode
   1059.2 ms  ✓ Logging
   1064.0 ms  ✓ UUIDs
   1058.9 ms  ✓ Zlib_jll
   1132.5 ms  ✓ MozillaCACerts_jll
   1206.3 ms  ✓ NetworkOptions
   1171.2 ms  ✓ nghttp2_jll
   1227.1 ms  ✓ Base64
   1230.9 ms  ✓ p7zip_jll
    413.6 ms  ✓ LibSSH2_jll
    505.9 ms  ✓ Printf
    371.9 ms  ✓ LibCURL_jll
    391.1 ms  ✓ LibGit2_jll
   2053.2 ms  ✓ ArgTools
    560.8 ms  ✓ LibCURL
    536.7 ms  ✓ Tar
   2359.0 ms  ✓ Dates
   2775.1 ms  ✓ Markdown
   2315.9 ms  ✓ LibGit2
    370.4 ms  ✓ TOML
   2848.5 ms  ✓ Downloads
  38182.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1874.7 ms  ✓ IteratorInterfaceExtensions
   1969.7 ms  ✓ MuladdMacro
   1974.9 ms  ✓ SimpleUnPack
   1975.2 ms  ✓ ConcreteStructs
   1955.9 ms  ✓ CommonSolve
   1969.6 ms  ✓ UnPack
   2065.2 ms  ✓ Future
   2279.9 ms  ✓ ExprTools
   2351.0 ms  ✓ OpenLibm_jll
   2571.3 ms  ✓ InverseFunctions
   2858.4 ms  ✓ Statistics
   3373.6 ms  ✓ ADTypes
   3449.7 ms  ✓ Serialization
   1993.4 ms  ✓ DataValueInterfaces
   3986.7 ms  ✓ FunctionWrappers
   2209.5 ms  ✓ ManualMemory
   2198.1 ms  ✓ EnumX
   1992.8 ms  ✓ Reexport
   2006.9 ms  ✓ SIMDTypes
   2596.5 ms  ✓ SuiteSparse_jll
   2799.9 ms  ✓ CompilerSupportLibraries_jll
   4759.5 ms  ✓ FillArrays
   2806.3 ms  ✓ OrderedCollections
   2999.2 ms  ✓ Requires
   2399.6 ms  ✓ Mmap
   1923.8 ms  ✓ FastPower
   5455.7 ms  ✓ OffsetArrays
   2187.4 ms  ✓ CompositionsBase
   2098.0 ms  ✓ IfElse
   1997.9 ms  ✓ CommonWorldInvalidations
