Precompiling Pkg...
   1018.5 ms  ✓ MozillaCACerts_jll
   1026.9 ms  ✓ UUIDs
   1042.5 ms  ✓ nghttp2_jll
   1116.8 ms  ✓ Logging
   1112.9 ms  ✓ MbedTLS_jll
   1138.6 ms  ✓ Unicode
   1182.8 ms  ✓ NetworkOptions
   1228.0 ms  ✓ p7zip_jll
   1225.4 ms  ✓ Zlib_jll
   1260.8 ms  ✓ Base64
    368.3 ms  ✓ LibSSH2_jll
    471.8 ms  ✓ Printf
    367.6 ms  ✓ LibGit2_jll
    366.6 ms  ✓ LibCURL_jll
   2118.4 ms  ✓ ArgTools
    605.8 ms  ✓ LibCURL
    550.2 ms  ✓ Tar
   2325.9 ms  ✓ Dates
   2844.9 ms  ✓ Markdown
   2346.7 ms  ✓ LibGit2
    419.9 ms  ✓ TOML
   2869.1 ms  ✓ Downloads
  38290.2 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1761.6 ms  ✓ UnPack
   1866.1 ms  ✓ SimpleUnPack
   1865.7 ms  ✓ ConcreteStructs
   1946.3 ms  ✓ IteratorInterfaceExtensions
   1931.5 ms  ✓ CommonSolve
   2043.7 ms  ✓ MuladdMacro
   2059.6 ms  ✓ ExprTools
   2163.9 ms  ✓ Future
   2158.2 ms  ✓ OpenLibm_jll
   2448.2 ms  ✓ InverseFunctions
   2943.9 ms  ✓ Statistics
   3158.4 ms  ✓ Serialization
   3342.7 ms  ✓ ADTypes
   1907.3 ms  ✓ DataValueInterfaces
   1804.0 ms  ✓ Reexport
   4055.4 ms  ✓ FunctionWrappers
   2114.3 ms  ✓ ManualMemory
   2198.3 ms  ✓ TableTraits
   1889.1 ms  ✓ SIMDTypes
   2187.3 ms  ✓ EnumX
   2496.9 ms  ✓ SuiteSparse_jll
   4451.4 ms  ✓ FillArrays
   2697.4 ms  ✓ CompilerSupportLibraries_jll
   2623.0 ms  ✓ Requires
   2116.9 ms  ✓ CompositionsBase
   2489.2 ms  ✓ Mmap
   2082.7 ms  ✓ FastPower
   1993.2 ms  ✓ IfElse
   2017.1 ms  ✓ CommonWorldInvalidations
   2320.3 ms  ✓ Inflate
   1988.2 ms  ✓ FastClosures
   2094.1 ms  ✓ PackageExtensionCompat
   2103.2 ms  ✓ DataAPI
   2500.2 ms  ✓ ConstructionBase
   2793.5 ms  ✓ StaticArraysCore
   3397.9 ms  ✓ EnzymeCore
   8156.3 ms  ✓ ExproniconLite
   5498.8 ms  ✓ IrrationalConstants
   2511.4 ms  ✓ Compat
   2196.1 ms  ✓ NaNMath
   3112.9 ms  ✓ CpuId
   2719.2 ms  ✓ OrderedCollections
   4776.0 ms  ✓ GenericSchur
   3397.6 ms  ✓ Preferences
   3092.7 ms  ✓ DocStringExtensions
   3090.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2698.6 ms  ✓ RuntimeGeneratedFunctions
   2010.1 ms  ✓ FunctionWrappersWrappers
   2576.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   2310.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2120.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2492.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5806.5 ms  ✓ LazyArtifacts
   2918.4 ms  ✓ Adapt
   2309.4 ms  ✓ DiffResults
   4387.7 ms  ✓ DifferentiationInterface
   7179.0 ms  ✓ InteractiveUtils
   2188.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
  11003.9 ms  ✓ MacroTools
   4496.1 ms  ✓ ThreadingUtilities
   2408.0 ms  ✓ Parameters
   2585.0 ms  ✓ Compat → CompatLinearAlgebraExt
   2397.4 ms  ✓ PrecompileTools
   2188.8 ms  ✓ EnzymeCore → AdaptExt
   2899.9 ms  ✓ JLLWrappers
   2803.1 ms  ✓ GPUArraysCore
   3306.5 ms  ✓ ArrayInterface
   3181.6 ms  ✓ CommonSubexpressions
   3995.1 ms  ✓ LogExpFunctions
   4900.6 ms  ✓ Tables
  10401.1 ms  ✓ Distributed
  11789.5 ms  ✓ TimerOutputs
   4087.1 ms  ✓ TruncatedStacktraces
   5598.5 ms  ✓ Setfield
   4195.7 ms  ✓ SimpleTraits
   3202.8 ms  ✓ oneTBB_jll
