Precompiling Pkg...
   1047.6 ms  ✓ nghttp2_jll
   1046.2 ms  ✓ Unicode
   1130.0 ms  ✓ Logging
   1183.9 ms  ✓ NetworkOptions
   1148.2 ms  ✓ MozillaCACerts_jll
   1222.9 ms  ✓ UUIDs
   1228.1 ms  ✓ MbedTLS_jll
   1230.4 ms  ✓ Zlib_jll
   1234.0 ms  ✓ p7zip_jll
   1311.9 ms  ✓ Base64
    324.2 ms  ✓ LibSSH2_jll
    526.2 ms  ✓ Printf
    400.6 ms  ✓ LibGit2_jll
    399.1 ms  ✓ LibCURL_jll
   2079.8 ms  ✓ ArgTools
    571.7 ms  ✓ LibCURL
    566.3 ms  ✓ Tar
   2346.9 ms  ✓ Dates
   2776.0 ms  ✓ Markdown
   2319.7 ms  ✓ LibGit2
    433.2 ms  ✓ TOML
   2865.1 ms  ✓ Downloads
  38628.8 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1824.4 ms  ✓ IteratorInterfaceExtensions
   1922.5 ms  ✓ UnPack
   1913.6 ms  ✓ CommonSolve
   2015.5 ms  ✓ ConcreteStructs
   2033.2 ms  ✓ SimpleUnPack
   2038.5 ms  ✓ MuladdMacro
   2215.6 ms  ✓ Future
   2217.4 ms  ✓ ExprTools
   2301.7 ms  ✓ OpenLibm_jll
   2499.2 ms  ✓ InverseFunctions
   3309.5 ms  ✓ Statistics
   3518.3 ms  ✓ ADTypes
   3512.2 ms  ✓ Serialization
   4026.3 ms  ✓ FunctionWrappers
   1906.0 ms  ✓ DataValueInterfaces
   2117.5 ms  ✓ ManualMemory
   1914.6 ms  ✓ Reexport
   1818.1 ms  ✓ SIMDTypes
   2584.2 ms  ✓ CompilerSupportLibraries_jll
   2198.3 ms  ✓ EnumX
   2494.6 ms  ✓ SuiteSparse_jll
   4826.7 ms  ✓ FillArrays
   2901.8 ms  ✓ OrderedCollections
   2979.1 ms  ✓ Requires
   1808.5 ms  ✓ FastPower
   2389.0 ms  ✓ Mmap
   1817.3 ms  ✓ CommonWorldInvalidations
   2005.3 ms  ✓ IfElse
   1904.8 ms  ✓ PackageExtensionCompat
   1996.4 ms  ✓ DataAPI
   2498.4 ms  ✓ Inflate
   2403.2 ms  ✓ ConstructionBase
   1975.7 ms  ✓ FastClosures
   2896.2 ms  ✓ EnzymeCore
   2691.1 ms  ✓ StaticArraysCore
   4200.4 ms  ✓ DifferentiationInterface
   2000.3 ms  ✓ TableTraits
   8813.1 ms  ✓ ExproniconLite
   3104.4 ms  ✓ CpuId
   5784.7 ms  ✓ IrrationalConstants
   2317.8 ms  ✓ NaNMath
   3104.0 ms  ✓ DocStringExtensions
   1809.6 ms  ✓ CompositionsBase
   3199.5 ms  ✓ Compat
   4615.5 ms  ✓ GenericSchur
   2693.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3584.5 ms  ✓ Preferences
   2111.3 ms  ✓ FunctionWrappersWrappers
   2310.7 ms  ✓ RuntimeGeneratedFunctions
   2476.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   2425.2 ms  ✓ Parameters
   2382.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2297.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   5912.5 ms  ✓ LazyArtifacts
   2987.1 ms  ✓ LogExpFunctions
   2709.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2204.0 ms  ✓ DiffResults
   7395.5 ms  ✓ InteractiveUtils
   4302.0 ms  ✓ ThreadingUtilities
  11593.6 ms  ✓ MacroTools
   2190.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2405.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2614.6 ms  ✓ Adapt
   2609.0 ms  ✓ PrecompileTools
   4180.3 ms  ✓ Tables
   2800.2 ms  ✓ JLLWrappers
   2587.6 ms  ✓ CommonSubexpressions
   3777.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2677.4 ms  ✓ TruncatedStacktraces
   3699.6 ms  ✓ SimpleTraits
   9897.9 ms  ✓ Distributed
  10994.0 ms  ✓ TimerOutputs
   2896.9 ms  ✓ EnzymeCore → AdaptExt
   3803.3 ms  ✓ GPUArraysCore
   3895.8 ms  ✓ ArrayInterface
   5503.7 ms  ✓ Setfield
   3715.9 ms  ✓ Static
   3008.4 ms  ✓ oneTBB_jll
   2206.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2181.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3294.0 ms  ✓ SharedArrays
   7296.9 ms  ✓ ChainRulesCore
  10000.9 ms  ✓ Jieko
   4488.6 ms  ✓ OpenSpecFun_jll
   3400.3 ms  ✓ MaybeInplace
   2886.1 ms  ✓ SciMLStructures
   2695.8 ms  ✓ BitTwiddlingConvenienceFunctions
   8885.0 ms  ✓ DataStructures
   6783.8 ms  ✓ IntelOpenMP_jll
   2515.2 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2519.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
  10304.6 ms  ✓ Accessors
   3209.6 ms  ✓ FiniteDiff
   2286.7 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   8818.3 ms  ✓ RecipesBase
   4589.5 ms  ✓ CPUSummary
   1483.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1691.3 ms  ✓ Accessors → LinearAlgebraExt
  17827.1 ms  ✓ SparseArrays
   6420.2 ms  ✓ StaticArrayInterface
   5514.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2305.7 ms  ✓ PolyesterWeave
   4503.4 ms  ✓ MKL_jll
   2699.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2714.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2913.9 ms  ✓ Statistics → SparseArraysExt
   2905.0 ms  ✓ Adapt → AdaptSparseArraysExt
   3014.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2692.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2684.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   4521.4 ms  ✓ SymbolicIndexingInterface
   2199.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1705.9 ms  ✓ CloseOpenIntervals
   5405.0 ms  ✓ SciMLOperators
   1908.6 ms  ✓ LayoutPointers
   3807.9 ms  ✓ SparseMatrixColorings
   8700.2 ms  ✓ SpecialFunctions
   1698.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2000.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1693.7 ms  ✓ DiffRules
   1978.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2583.0 ms  ✓ StrideArraysCore
   1331.4 ms  ✓ Polyester
   4994.1 ms  ✓ RecursiveArrayTools
   3715.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1106.8 ms  ✓ FastBroadcast
   1206.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1684.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  22438.9 ms  ✓ StaticArrays
   2753.0 ms  ✓ Adapt → AdaptStaticArraysExt
   2778.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2780.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2964.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3058.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3078.0 ms  ✓ Accessors → StaticArraysExt
   3148.7 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3155.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   8228.6 ms  ✓ ForwardDiff
   4977.1 ms  ✓ ArnoldiMethod
   3083.3 ms  ✓ FastPower → FastPowerForwardDiffExt
   3264.5 ms  ✓ PreallocationTools
   3369.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  18472.4 ms  ✓ Krylov
   3459.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3593.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
