Precompiling Pkg...
    968.9 ms  ✓ UUIDs
   1053.8 ms  ✓ nghttp2_jll
   1059.5 ms  ✓ MozillaCACerts_jll
   1069.4 ms  ✓ Logging
   1145.1 ms  ✓ p7zip_jll
   1144.2 ms  ✓ Unicode
   1165.6 ms  ✓ MbedTLS_jll
   1173.4 ms  ✓ Zlib_jll
   1277.8 ms  ✓ NetworkOptions
   1237.2 ms  ✓ Base64
    351.9 ms  ✓ LibSSH2_jll
    429.3 ms  ✓ Printf
    435.4 ms  ✓ LibCURL_jll
    442.1 ms  ✓ LibGit2_jll
   1994.3 ms  ✓ ArgTools
    534.1 ms  ✓ LibCURL
    567.4 ms  ✓ Tar
   2399.3 ms  ✓ Dates
   2849.0 ms  ✓ Markdown
   2269.7 ms  ✓ LibGit2
    392.6 ms  ✓ TOML
   2851.6 ms  ✓ Downloads
  38343.5 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1920.2 ms  ✓ SimpleUnPack
   1926.5 ms  ✓ IteratorInterfaceExtensions
   2001.5 ms  ✓ MuladdMacro
   1997.7 ms  ✓ UnPack
   2010.2 ms  ✓ ConcreteStructs
   1997.1 ms  ✓ CommonSolve
   2014.8 ms  ✓ Future
   2210.3 ms  ✓ ExprTools
   2411.4 ms  ✓ OpenLibm_jll
   2585.3 ms  ✓ InverseFunctions
   2999.5 ms  ✓ Statistics
   3590.1 ms  ✓ Serialization
   3596.7 ms  ✓ ADTypes
   3809.3 ms  ✓ FunctionWrappers
   1992.7 ms  ✓ DataValueInterfaces
   2101.0 ms  ✓ EnumX
   1894.0 ms  ✓ Reexport
   1717.7 ms  ✓ SIMDTypes
   2413.6 ms  ✓ ManualMemory
   2598.4 ms  ✓ CompilerSupportLibraries_jll
   2671.1 ms  ✓ SuiteSparse_jll
   2586.0 ms  ✓ Requires
   4808.0 ms  ✓ FillArrays
   2988.6 ms  ✓ OrderedCollections
   1991.8 ms  ✓ FastPower
   2199.7 ms  ✓ Mmap
   1802.6 ms  ✓ IfElse
   1804.0 ms  ✓ PackageExtensionCompat
   1997.1 ms  ✓ CommonWorldInvalidations
   2402.4 ms  ✓ Inflate
   1996.8 ms  ✓ FastClosures
   2096.2 ms  ✓ DataAPI
   2394.4 ms  ✓ ConstructionBase
   2106.6 ms  ✓ StaticArraysCore
   3212.4 ms  ✓ EnzymeCore
   2017.1 ms  ✓ TableTraits
   9009.0 ms  ✓ ExproniconLite
   3211.5 ms  ✓ CpuId
   2710.8 ms  ✓ Compat
   6104.9 ms  ✓ IrrationalConstants
   2414.0 ms  ✓ NaNMath
