Precompiling Pkg...
   2223.6 ms  ✓ NetworkOptions
   2178.3 ms  ✓ UUIDs
   2212.5 ms  ✓ Logging
   2235.8 ms  ✓ nghttp2_jll
   2270.9 ms  ✓ MozillaCACerts_jll
   2255.8 ms  ✓ Unicode
   2639.1 ms  ✓ Zlib_jll
   2653.8 ms  ✓ MbedTLS_jll
   2738.2 ms  ✓ p7zip_jll
   2856.8 ms  ✓ Base64
   1003.9 ms  ✓ Printf
    848.1 ms  ✓ LibSSH2_jll
    812.8 ms  ✓ LibGit2_jll
   1001.9 ms  ✓ LibCURL_jll
   6339.0 ms  ✓ ArgTools
   1893.6 ms  ✓ LibCURL
   1570.8 ms  ✓ Tar
   6708.3 ms  ✓ Dates
   7613.6 ms  ✓ Markdown
   6732.3 ms  ✓ LibGit2
   1628.0 ms  ✓ TOML
   8392.9 ms  ✓ Downloads
  92105.4 ms  ✓ Pkg
  23 dependencies successfully precompiled in 107 seconds
Precompiling project...
   1109.3 ms  ✓ Future
   1381.2 ms  ✓ ExprTools
   1494.8 ms  ✓ ConcreteStructs
   2110.1 ms  ✓ UnPack
   2419.2 ms  ✓ SimpleUnPack
   2456.6 ms  ✓ MuladdMacro
   2627.4 ms  ✓ IteratorInterfaceExtensions
   2558.6 ms  ✓ CommonSolve
   2871.8 ms  ✓ OpenLibm_jll
   3061.5 ms  ✓ Serialization
   3242.3 ms  ✓ ADTypes
   3201.5 ms  ✓ InverseFunctions
   3551.0 ms  ✓ Statistics
    794.2 ms  ✓ Reexport
   4035.7 ms  ✓ FunctionWrappers
   4034.3 ms  ✓ FillArrays
   2774.5 ms  ✓ SuiteSparse_jll
   3140.3 ms  ✓ CompilerSupportLibraries_jll
   2692.9 ms  ✓ ManualMemory
   2368.6 ms  ✓ DataValueInterfaces
   1925.1 ms  ✓ SIMDTypes
   1352.9 ms  ✓ CompositionsBase
   1900.3 ms  ✓ Mmap
   1593.0 ms  ✓ FastPower
    916.0 ms  ✓ CommonWorldInvalidations
   3039.7 ms  ✓ EnumX
   1682.4 ms  ✓ ConstructionBase
   1852.1 ms  ✓ IfElse
   3683.7 ms  ✓ OrderedCollections
   3667.2 ms  ✓ Requires
   2505.9 ms  ✓ Inflate
   1674.3 ms  ✓ FastClosures
   1886.3 ms  ✓ PackageExtensionCompat
   2099.0 ms  ✓ DataAPI
   3124.4 ms  ✓ EnzymeCore
   2310.0 ms  ✓ StaticArraysCore
   1640.0 ms  ✓ TableTraits
   3132.9 ms  ✓ DocStringExtensions
   6123.0 ms  ✓ IrrationalConstants
   3454.2 ms  ✓ Preferences
   2274.2 ms  ✓ RuntimeGeneratedFunctions
   9665.3 ms  ✓ ExproniconLite
   2931.5 ms  ✓ NaNMath
   4568.2 ms  ✓ GenericSchur
   1564.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4209.9 ms  ✓ Compat
   5089.2 ms  ✓ CpuId
   5330.1 ms  ✓ LazyArtifacts
   2797.4 ms  ✓ FunctionWrappersWrappers
   3187.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   2470.0 ms  ✓ Parameters
   2884.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3360.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  11871.1 ms  ✓ MacroTools
   3568.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   6222.7 ms  ✓ DifferentiationInterface
   2609.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   8377.4 ms  ✓ InteractiveUtils
   2349.2 ms  ✓ DiffResults
   3675.3 ms  ✓ Adapt
   1742.5 ms  ✓ Compat → CompatLinearAlgebraExt
   2729.0 ms  ✓ JLLWrappers
   5960.2 ms  ✓ ThreadingUtilities
   3495.6 ms  ✓ LogExpFunctions
   2839.3 ms  ✓ CommonSubexpressions
   3844.4 ms  ✓ PrecompileTools
   3192.2 ms  ✓ TruncatedStacktraces
   5356.8 ms  ✓ Tables
  11580.5 ms  ✓ TimerOutputs
   2450.9 ms  ✓ EnzymeCore → AdaptExt
   3613.4 ms  ✓ SimpleTraits
   3319.9 ms  ✓ ArrayInterface
   3480.7 ms  ✓ GPUArraysCore
   1314.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1877.9 ms  ✓ OpenSpecFun_jll
  13204.4 ms  ✓ Distributed
   2879.4 ms  ✓ Static
   2196.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   4333.9 ms  ✓ oneTBB_jll
   1692.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2991.5 ms  ✓ MaybeInplace
   2297.5 ms  ✓ SciMLStructures
   8250.6 ms  ✓ Setfield
   8359.1 ms  ✓ Accessors
   6504.7 ms  ✓ ChainRulesCore
   2619.7 ms  ✓ BitTwiddlingConvenienceFunctions
   2309.3 ms  ✓ FiniteDiff
   3564.5 ms  ✓ SharedArrays
   2759.3 ms  ✓ Accessors → LinearAlgebraExt
   8174.3 ms  ✓ IntelOpenMP_jll
   2614.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   3100.5 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
  17264.9 ms  ✓ SparseArrays
   8575.8 ms  ✓ RecipesBase
  13539.4 ms  ✓ Jieko
  10669.7 ms  ✓ DataStructures
   2208.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   5392.9 ms  ✓ CPUSummary
   2790.8 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   2813.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3008.7 ms  ✓ Statistics → SparseArraysExt
   4618.4 ms  ✓ SymbolicIndexingInterface
   8014.0 ms  ✓ StaticArrayInterface
   5097.9 ms  ✓ MKL_jll
   3126.9 ms  ✓ Adapt → AdaptSparseArraysExt
   3652.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   6229.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3601.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3826.7 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   4352.1 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1989.2 ms  ✓ LayoutPointers
   2571.9 ms  ✓ PolyesterWeave
   3142.9 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2481.8 ms  ✓ CloseOpenIntervals
   7730.5 ms  ✓ SciMLOperators
   1691.4 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
  13539.3 ms  ✓ SpecialFunctions
   5625.8 ms  ✓ SparseMatrixColorings
   3819.2 ms  ✓ StrideArraysCore
   1259.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2664.4 ms  ✓ DiffRules
   4741.3 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   7713.7 ms  ✓ RecursiveArrayTools
   2125.7 ms  ✓ Polyester
   2176.8 ms  ✓ FastBroadcast
   3512.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   8364.4 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2957.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  21395.9 ms  ✓ Krylov
  32713.8 ms  ✓ StaticArrays
  15296.2 ms  ✓ ForwardDiff
   3780.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3956.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3917.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4050.4 ms  ✓ Accessors → StaticArraysExt
   4779.4 ms  ✓ Adapt → AdaptStaticArraysExt
   4814.7 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4868.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   5527.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4347.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   4602.2 ms  ✓ FastPower → FastPowerForwardDiffExt
   4669.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   6883.4 ms  ✓ ArnoldiMethod
   3323.2 ms  ✓ PreallocationTools
   4091.0 ms  ✓ NLSolversBase
   8161.6 ms  ✓ FastGaussQuadrature
   4571.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  51017.5 ms  ✓ ArrayLayouts
   2732.3 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   7065.6 ms  ✓ LineSearches
  36636.9 ms  ✓ Moshi
   4555.2 ms  ✓ LazyArrays
   2401.8 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
  12491.6 ms  ✓ Graphs
   1500.1 ms  ✓ VertexSafeGraphs
   3208.8 ms  ✓ SparseDiffTools
   2153.7 ms  ✓ SparseDiffTools → SparseDiffToolsPolyesterExt
  12374.4 ms  ✓ SciMLBase
   1640.5 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   6374.7 ms  ✓ SciMLJacobianOperators
   9073.0 ms  ✓ DiffEqBase
   4144.7 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4301.6 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   5259.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   8870.0 ms  ✓ LineSearch
   2480.3 ms  ✓ LineSearch → LineSearchLineSearchesExt
   9635.6 ms  ✓ OrdinaryDiffEqCore
   2433.9 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
  21890.7 ms  ✓ NonlinearSolveBase
   9045.2 ms  ✓ OrdinaryDiffEqFunctionMap
  11257.5 ms  ✓ OrdinaryDiffEqQPRK
  11988.1 ms  ✓ OrdinaryDiffEqSymplecticRK
  12088.8 ms  ✓ OrdinaryDiffEqHighOrderRK
  13688.0 ms  ✓ OrdinaryDiffEqStabilizedRK
  14156.3 ms  ✓ OrdinaryDiffEqPRK
  15023.2 ms  ✓ OrdinaryDiffEqExplicitRK
   6191.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
  15250.3 ms  ✓ OrdinaryDiffEqFeagin
  16565.8 ms  ✓ OrdinaryDiffEqRKN
   5324.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   5605.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   7778.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  12889.6 ms  ✓ OrdinaryDiffEqLowStorageRK
  20155.8 ms  ✓ OrdinaryDiffEqLowOrderRK
   7286.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
  21269.0 ms  ✓ OrdinaryDiffEqSSPRK
  43758.6 ms  ✓ LinearSolve
  28418.0 ms  ✓ OrdinaryDiffEqTsit5
   8619.6 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  15563.4 ms  ✓ BracketingNonlinearSolve
   6870.5 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   7075.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   3319.1 ms  ✓ OrdinaryDiffEqNordsieck
   2368.6 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
  11457.0 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  21858.0 ms  ✓ NonlinearSolveSpectralMethods
   2580.2 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
  12120.2 ms  ✓ OrdinaryDiffEqDifferentiation
 134176.2 ms  ✓ ExponentialUtilities
  35613.1 ms  ✓ SimpleNonlinearSolve
   4248.8 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
  22917.5 ms  ✓ OrdinaryDiffEqExtrapolation
   3177.9 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   4087.0 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
  44204.7 ms  ✓ NonlinearSolveQuasiNewton
   8200.5 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  65424.3 ms  ✓ NonlinearSolveFirstOrder
 105806.2 ms  ✓ OrdinaryDiffEqVerner
  63690.2 ms  ✓ OrdinaryDiffEqRosenbrock
   5756.2 ms  ✓ OrdinaryDiffEqLinear
  18800.6 ms  ✓ NonlinearSolve
   6083.6 ms  ✓ OrdinaryDiffEqNonlinearSolve
   6865.9 ms  ✓ OrdinaryDiffEqIMEXMultistep
   7228.2 ms  ✓ OrdinaryDiffEqStabilizedIRK
   7558.5 ms  ✓ OrdinaryDiffEqPDIRK
   8753.6 ms  ✓ OrdinaryDiffEqSDIRK
   6451.0 ms  ✓ OrdinaryDiffEqExponentialRK
  24181.6 ms  ✓ OrdinaryDiffEqBDF
  34575.9 ms  ✓ OrdinaryDiffEqFIRK
  31154.9 ms  ✓ OrdinaryDiffEqDefault
   6294.0 ms  ✓ OrdinaryDiffEq
  221 dependencies successfully precompiled in 296 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.3 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1092.18
	System time (seconds): 63.33
	Percent of CPU this job got: 284%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:45.80
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2022136
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 689
	Minor (reclaiming a frame) page faults: 13265353
	Voluntary context switches: 255952
	Involuntary context switches: 378705
	Swaps: 0
	File system inputs: 0
	File system outputs: 1626048
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
