Precompiling Pkg...
    946.6 ms  ✓ MozillaCACerts_jll
    955.8 ms  ✓ Unicode
    968.0 ms  ✓ UUIDs
   1040.5 ms  ✓ Zlib_jll
   1076.7 ms  ✓ Logging
   1130.9 ms  ✓ MbedTLS_jll
   1142.7 ms  ✓ nghttp2_jll
   1186.2 ms  ✓ p7zip_jll
   1223.1 ms  ✓ NetworkOptions
   1247.8 ms  ✓ Base64
    352.8 ms  ✓ LibSSH2_jll
    543.3 ms  ✓ Printf
    381.8 ms  ✓ LibCURL_jll
    389.7 ms  ✓ LibGit2_jll
   2085.0 ms  ✓ ArgTools
    604.4 ms  ✓ LibCURL
    569.4 ms  ✓ Tar
   2146.3 ms  ✓ Dates
   2757.5 ms  ✓ Markdown
   2286.3 ms  ✓ LibGit2
    552.8 ms  ✓ TOML
   2815.6 ms  ✓ Downloads
  38330.4 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1906.4 ms  ✓ UnPack
   1914.4 ms  ✓ IteratorInterfaceExtensions
   1923.9 ms  ✓ ConcreteStructs
   2008.5 ms  ✓ SimpleUnPack
   2018.1 ms  ✓ LaTeXStrings
   2018.0 ms  ✓ ExprTools
   2020.5 ms  ✓ MuladdMacro
   2211.8 ms  ✓ Future
   2304.7 ms  ✓ OpenLibm_jll
   2488.1 ms  ✓ InverseFunctions
   2895.5 ms  ✓ Statistics
   3505.3 ms  ✓ ADTypes
   3690.9 ms  ✓ Serialization
   3815.5 ms  ✓ FunctionWrappers
   1900.5 ms  ✓ CommonSolve
   1892.8 ms  ✓ DataValueInterfaces
   1905.7 ms  ✓ EnumX
   2203.6 ms  ✓ ManualMemory
   1815.5 ms  ✓ Reexport
   2606.3 ms  ✓ CompilerSupportLibraries_jll
   1790.9 ms  ✓ SIMDTypes
   2782.7 ms  ✓ SuiteSparse_jll
   4717.0 ms  ✓ FillArrays
   3185.4 ms  ✓ OrderedCollections
   1889.5 ms  ✓ FastPower
   2205.3 ms  ✓ FunctionWrappersWrappers
   2292.1 ms  ✓ Mmap
   1981.3 ms  ✓ IfElse
   2892.2 ms  ✓ DocStringExtensions
   1889.8 ms  ✓ CommonWorldInvalidations
   1895.0 ms  ✓ PackageExtensionCompat
   2294.5 ms  ✓ DataAPI
   2781.7 ms  ✓ Inflate
