Precompiling Pkg...
   1064.9 ms  ✓ Zlib_jll
   1067.8 ms  ✓ nghttp2_jll
   1073.8 ms  ✓ Logging
   1182.0 ms  ✓ NetworkOptions
   1159.6 ms  ✓ MozillaCACerts_jll
   1162.2 ms  ✓ Unicode
   1172.6 ms  ✓ UUIDs
   1176.7 ms  ✓ Base64
   1190.0 ms  ✓ p7zip_jll
   1195.8 ms  ✓ MbedTLS_jll
    341.5 ms  ✓ LibSSH2_jll
    436.9 ms  ✓ Printf
    429.5 ms  ✓ LibCURL_jll
    430.7 ms  ✓ LibGit2_jll
   2009.6 ms  ✓ ArgTools
    546.2 ms  ✓ LibCURL
    568.0 ms  ✓ Tar
   2458.0 ms  ✓ Dates
   2883.0 ms  ✓ Markdown
   2285.0 ms  ✓ LibGit2
    350.5 ms  ✓ TOML
   2872.3 ms  ✓ Downloads
  38430.2 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1882.0 ms  ✓ UnPack
   1982.3 ms  ✓ MuladdMacro
   1987.5 ms  ✓ SimpleUnPack
   1991.8 ms  ✓ ConcreteStructs
   2002.0 ms  ✓ LaTeXStrings
   2074.2 ms  ✓ Future
   2174.8 ms  ✓ IteratorInterfaceExtensions
   2187.8 ms  ✓ ExprTools
   2291.1 ms  ✓ OpenLibm_jll
   2465.8 ms  ✓ InverseFunctions
   2683.7 ms  ✓ Statistics
   3188.0 ms  ✓ ADTypes
   3487.8 ms  ✓ Serialization
   1916.1 ms  ✓ CommonSolve
   3897.5 ms  ✓ FunctionWrappers
   1914.9 ms  ✓ DataValueInterfaces
   2189.5 ms  ✓ ManualMemory
   1916.6 ms  ✓ Reexport
   1777.5 ms  ✓ SIMDTypes
   2182.5 ms  ✓ EnumX
   2702.1 ms  ✓ SuiteSparse_jll
   2806.3 ms  ✓ CompilerSupportLibraries_jll
   4788.9 ms  ✓ FillArrays
   2722.1 ms  ✓ Requires
   2926.7 ms  ✓ OrderedCollections
   2076.1 ms  ✓ CompositionsBase
   1990.5 ms  ✓ FastPower
   2804.9 ms  ✓ DocStringExtensions
   1903.8 ms  ✓ IfElse
   1911.4 ms  ✓ CommonWorldInvalidations
   2017.5 ms  ✓ DataAPI
   1896.4 ms  ✓ FastClosures
   2191.5 ms  ✓ StaticArraysCore
   3188.2 ms  ✓ ConstructionBase
   3695.8 ms  ✓ EnzymeCore
   1896.1 ms  ✓ TableTraits
   2593.7 ms  ✓ Compat
   8699.5 ms  ✓ ExproniconLite
   5401.4 ms  ✓ IrrationalConstants
   3102.6 ms  ✓ CpuId
   2305.0 ms  ✓ NaNMath
   3902.4 ms  ✓ Preferences
   2908.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5298.8 ms  ✓ GenericSchur
   2215.7 ms  ✓ RuntimeGeneratedFunctions
   2098.4 ms  ✓ FunctionWrappersWrappers
   6016.8 ms  ✓ Crayons
   5399.8 ms  ✓ LazyArtifacts
   2511.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   6893.4 ms  ✓ InteractiveUtils
   2593.5 ms  ✓ Adapt
   2490.4 ms  ✓ Parameters
   2080.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   5311.7 ms  ✓ DifferentiationInterface
   2791.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2492.5 ms  ✓ DiffResults
   4383.7 ms  ✓ ThreadingUtilities
  11486.5 ms  ✓ MacroTools
   2804.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2100.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2296.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2693.0 ms  ✓ JLLWrappers
   2581.4 ms  ✓ PrecompileTools
   4088.3 ms  ✓ Tables
   3298.8 ms  ✓ LogExpFunctions
   2498.6 ms  ✓ CommonSubexpressions
   2899.7 ms  ✓ EnzymeCore → AdaptExt
   2589.0 ms  ✓ TruncatedStacktraces
   3105.6 ms  ✓ ArrayInterface
   3883.5 ms  ✓ GPUArraysCore
   9886.0 ms  ✓ Distributed
  11976.6 ms  ✓ TimerOutputs
   3026.4 ms  ✓ OpenSpecFun_jll
   3500.2 ms  ✓ oneTBB_jll
   2394.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   7096.0 ms  ✓ Setfield
   4022.9 ms  ✓ Static
   2479.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3210.2 ms  ✓ MaybeInplace
   9507.2 ms  ✓ Jieko
   2789.8 ms  ✓ SciMLStructures
   6507.9 ms  ✓ IntelOpenMP_jll
   2706.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   7809.6 ms  ✓ ChainRulesCore
   2901.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2514.5 ms  ✓ BitTwiddlingConvenienceFunctions
   9116.7 ms  ✓ DataStructures
   9394.2 ms  ✓ RecipesBase
   3514.3 ms  ✓ FiniteDiff
   2689.8 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2487.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
  11982.1 ms  ✓ Accessors
  10589.8 ms  ✓ StringManipulation
   2281.7 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   5304.6 ms  ✓ CPUSummary
  18703.3 ms  ✓ SparseArrays
   5713.7 ms  ✓ StaticArrayInterface
   2191.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2401.2 ms  ✓ Accessors → LinearAlgebraExt
   6309.1 ms  ✓ MKL_jll
   2403.4 ms  ✓ PolyesterWeave
   2588.5 ms  ✓ Adapt → AdaptSparseArraysExt
   2985.2 ms  ✓ Statistics → SparseArraysExt
   2922.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2811.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   6682.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3089.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2419.9 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2090.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2591.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1599.9 ms  ✓ CloseOpenIntervals
   4685.3 ms  ✓ SparseMatrixColorings
  11400.0 ms  ✓ SpecialFunctions
   1801.1 ms  ✓ LayoutPointers
   1897.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1901.5 ms  ✓ DiffRules
   4111.6 ms  ✓ SciMLOperators
   2500.3 ms  ✓ StrideArraysCore
   3609.4 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1570.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1595.9 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1623.7 ms  ✓ Polyester
   1013.1 ms  ✓ FastBroadcast
  23438.2 ms  ✓ StaticArrays
   2362.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2962.7 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3050.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3054.5 ms  ✓ Adapt → AdaptStaticArraysExt
   3058.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3070.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3104.7 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   8475.0 ms  ✓ ForwardDiff
   3229.4 ms  ✓ Accessors → StaticArraysExt
   2301.9 ms  ✓ FastPower → FastPowerForwardDiffExt
   2504.1 ms  ✓ PreallocationTools
   2993.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3103.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   6607.3 ms  ✓ FastGaussQuadrature
  24327.5 ms  ✓ Moshi
  18999.2 ms  ✓ Krylov
   1104.1 ms  ✓ NLSolversBase
  38875.2 ms  ✓ ArrayLayouts
   1277.2 ms  ✓ LineSearches
    510.1 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   1573.8 ms  ✓ LazyArrays
    816.6 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
  27818.8 ms  ✓ PrettyTables
   1028.2 ms  ✓ SymbolicIndexingInterface
   1561.2 ms  ✓ RecursiveArrayTools
    685.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    705.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    740.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   5589.7 ms  ✓ SciMLBase
    730.8 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1808.1 ms  ✓ DiffEqBase
   2230.1 ms  ✓ SciMLJacobianOperators
   1798.9 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1910.1 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2130.1 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3842.2 ms  ✓ OrdinaryDiffEqCore
   3836.7 ms  ✓ LineSearch
   1064.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   3340.7 ms  ✓ LineSearch → LineSearchLineSearchesExt
  12965.0 ms  ✓ NonlinearSolveBase
   9071.8 ms  ✓ OrdinaryDiffEqFunctionMap
  11559.0 ms  ✓ OrdinaryDiffEqPRK
  12468.0 ms  ✓ OrdinaryDiffEqSymplecticRK
  12669.5 ms  ✓ OrdinaryDiffEqFeagin
  13070.5 ms  ✓ OrdinaryDiffEqExplicitRK
  13172.3 ms  ✓ OrdinaryDiffEqRKN
  14088.4 ms  ✓ OrdinaryDiffEqStabilizedRK
  13190.7 ms  ✓ OrdinaryDiffEqQPRK
  16377.3 ms  ✓ OrdinaryDiffEqSSPRK
  17295.2 ms  ✓ OrdinaryDiffEqHighOrderRK
  10111.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
  19391.7 ms  ✓ OrdinaryDiffEqLowOrderRK
   8409.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
