Precompiling Pkg...
   1327.0 ms  ✓ Base64
   2048.9 ms  ✓ Logging
   2221.6 ms  ✓ NetworkOptions
   2551.6 ms  ✓ MozillaCACerts_jll
   2621.2 ms  ✓ UUIDs
   2542.5 ms  ✓ Unicode
   2632.5 ms  ✓ MbedTLS_jll
   2698.7 ms  ✓ nghttp2_jll
   2720.8 ms  ✓ p7zip_jll
   2793.5 ms  ✓ Zlib_jll
   1168.7 ms  ✓ LibSSH2_jll
   1825.6 ms  ✓ Printf
   1351.0 ms  ✓ LibGit2_jll
   1455.7 ms  ✓ LibCURL_jll
   5831.0 ms  ✓ ArgTools
   1266.3 ms  ✓ Tar
   1777.1 ms  ✓ LibCURL
   8253.5 ms  ✓ Markdown
   5848.2 ms  ✓ LibGit2
   7109.6 ms  ✓ Dates
    786.8 ms  ✓ TOML
   7953.6 ms  ✓ Downloads
 109581.4 ms  ✓ Pkg
  23 dependencies successfully precompiled in 125 seconds
Precompiling project...
   2075.4 ms  ✓ IteratorInterfaceExtensions
   2392.1 ms  ✓ SimpleUnPack
   2519.9 ms  ✓ MuladdMacro
   2705.8 ms  ✓ LaTeXStrings
   2715.3 ms  ✓ UnPack
   2991.7 ms  ✓ ConcreteStructs
   2969.8 ms  ✓ OpenLibm_jll
   3092.6 ms  ✓ ExprTools
   3119.0 ms  ✓ InverseFunctions
   3257.9 ms  ✓ Future
   3996.4 ms  ✓ Serialization
   4284.2 ms  ✓ FunctionWrappers
   4374.1 ms  ✓ ADTypes
   2473.5 ms  ✓ CommonSolve
   4634.2 ms  ✓ Statistics
   2176.8 ms  ✓ ManualMemory
   1901.9 ms  ✓ EnumX
   1891.3 ms  ✓ Reexport
   1110.6 ms  ✓ SIMDTypes
   5782.5 ms  ✓ FillArrays
   3373.9 ms  ✓ SuiteSparse_jll
   1392.7 ms  ✓ CompositionsBase
   3154.1 ms  ✓ DataValueInterfaces
   4058.4 ms  ✓ CompilerSupportLibraries_jll
   3675.4 ms  ✓ Requires
   2002.4 ms  ✓ FastPower
