Precompiling Pkg...
   1419.6 ms  ✓ Logging
   1424.3 ms  ✓ MozillaCACerts_jll
   1428.5 ms  ✓ Unicode
   1442.5 ms  ✓ UUIDs
   1491.3 ms  ✓ Zlib_jll
   1501.1 ms  ✓ nghttp2_jll
   1502.6 ms  ✓ MbedTLS_jll
   1587.3 ms  ✓ NetworkOptions
   1558.6 ms  ✓ p7zip_jll
   1636.7 ms  ✓ Base64
    419.6 ms  ✓ LibSSH2_jll
    620.9 ms  ✓ Printf
    601.2 ms  ✓ LibCURL_jll
    612.1 ms  ✓ LibGit2_jll
   2974.5 ms  ✓ ArgTools
    820.0 ms  ✓ LibCURL
    657.0 ms  ✓ Tar
   2563.6 ms  ✓ Dates
   3795.5 ms  ✓ Markdown
   3046.0 ms  ✓ LibGit2
    996.9 ms  ✓ TOML
   3807.3 ms  ✓ Downloads
  53526.9 ms  ✓ Pkg
  23 dependencies successfully precompiled in 61 seconds
Precompiling project...
   1408.0 ms  ✓ ConcreteStructs
   1602.9 ms  ✓ ExprTools
   1708.5 ms  ✓ MuladdMacro
   1973.7 ms  ✓ IteratorInterfaceExtensions
   1984.7 ms  ✓ Future
   1995.5 ms  ✓ UnPack
   2012.9 ms  ✓ SimpleUnPack
   2192.3 ms  ✓ LaTeXStrings
   2693.3 ms  ✓ ADTypes
   2758.6 ms  ✓ OpenLibm_jll
   3052.8 ms  ✓ InverseFunctions
   3027.5 ms  ✓ Statistics
   1696.0 ms  ✓ CommonSolve
   3180.1 ms  ✓ Serialization
   3418.6 ms  ✓ FunctionWrappers
   2296.2 ms  ✓ SuiteSparse_jll
   4476.2 ms  ✓ FillArrays
   2501.9 ms  ✓ OrderedCollections
   2498.7 ms  ✓ Requires
   2483.7 ms  ✓ DataValueInterfaces
   2800.4 ms  ✓ ManualMemory
   3194.7 ms  ✓ CompilerSupportLibraries_jll
   1786.5 ms  ✓ SIMDTypes
   1579.9 ms  ✓ FastPower
   1884.2 ms  ✓ CompositionsBase
   2308.3 ms  ✓ Reexport
   2700.3 ms  ✓ EnumX
